#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904830.1	55235	66195	butyrolactone	False	salinipostin G	66	BGC0001458	https://antismash-db.secondarymetabolites.org/go/NZ_KB904830.1/55235-66195	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904830/1/55235/66195
Pseudomonas	fluorescens	PA3G8	NZ_KN639174.1	2877542	2890989	butyrolactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KN639174.1/2877542-2890989	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639174/1/2877542/2890989
Erwinia	endophytica	A41C3	NZ_RQVV01000061.1	192717	198822	butyrolactone	True	colicin V	1	BGC0001555	https://antismash-db.secondarymetabolites.org/go/NZ_RQVV01000061.1/192717-198822	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009295515.1/NZ_RQVV01000061/1/192717/198822
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	4293146	4365632	butyrolactone - t2pks hybrid	False	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	35	BGC0000262	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/4293146-4365632	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/4293146/4365632
Pseudomonas	Unclassified	NFACC42-2	NZ_FOZO01000001.1	378160	389171	butyrolactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FOZO01000001.1/378160-389171	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900116055.1/NZ_FOZO01000001/1/378160/389171
Burkholderia	gladioli	BCC1732	NZ_CADEQR010000003.1	974340	981142	butyrolactone	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CADEQR010000003.1/974340-981142	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902829585.1/NZ_CADEQR010000003/1/974340/981142
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6053292	6129594	butyrolactone - t1nrps hybrid	False	coelimycin P1	16	BGC0000038	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6053292-6129594	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6053292/6129594
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6333487	6360772	butyrolactone - furan hybrid	False	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	5	BGC0000130	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6333487-6360772	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6333487/6360772
Burkholderia	gladioli	BCC1732	NZ_CADEVO010000004.1	0	30915	butyrolactone - transat-pks-like hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CADEVO010000004.1/0-30915	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902830885.1/NZ_CADEVO010000004/1/0/30915
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	6657272	6667287	butyrolactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/6657272-6667287	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/6657272/6667287
