#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000007.1	4084	95709	lanthipeptide - t1nrps - t1pks - thioamide-nrp hybrid	False	butyrolactol A	40	BGC0001537	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000007.1/4084-95709	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000007/1/4084/95709
Pseudoalteromonas	rubra	T7	NZ_RHHY01000020.1	0	54833	t1nrps - thioamide-nrp hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RHHY01000020.1/0-54833	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003947165.1/NZ_RHHY01000020/1/0/54833
Lechevalieria	aerocolonigenes	NBRC 13195	NZ_BBOJ01000010.1	0	147847	pks-like - t1nrps - t1pks - thioamide-nrp hybrid	True	maklamicin	13	BGC0001288	https://antismash-db.secondarymetabolites.org/go/NZ_BBOJ01000010.1/0-147847	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000974445.1/NZ_BBOJ01000010/1/0/147847
Streptomyces	fradiae	ATCC 10745	NZ_CP023696.1	542474	594171	thioamide-nrp	False	auroramycin	5	BGC0001522	https://antismash-db.secondarymetabolites.org/go/NZ_CP023696.1/542474-594171	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704425.1/NZ_CP023696/1/542474/594171
Bacillus	thuringiensis	BGSC 4AQ1	NZ_NFCO01000056.1	22429	110343	t1nrps - thioamide-nrp hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NFCO01000056.1/22429-110343	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002146525.1/NZ_NFCO01000056/1/22429/110343
Streptomyces	griseorubiginosus	BTU6	NZ_CP041168.1	9080640	9151983	t1nrps - thioamide-nrp hybrid	False	lysocin	9	BGC0001657	https://antismash-db.secondarymetabolites.org/go/NZ_CP041168.1/9080640-9151983	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006516935.1/NZ_CP041168/1/9080640/9151983
Streptomyces	collinus	Tu 365	NC_021985.1	83178	135540	thioamide-nrp	False	azicemicin B	13	BGC0000202	https://antismash-db.secondarymetabolites.org/go/NC_021985.1/83178-135540	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000444875.1/NC_021985/1/83178/135540
Streptomyces	collinus	Tu 365	NC_021985.1	8136413	8190650	thioamide-nrp	False	azicemicin B	13	BGC0000202	https://antismash-db.secondarymetabolites.org/go/NC_021985.1/8136413-8190650	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000444875.1/NC_021985/1/8136413/8190650
Janthinobacterium	Unclassified	SNU WT1	NZ_CP041185.1	949995	1001235	thioamide-nrp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041185.1/949995-1001235	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006517255.1/NZ_CP041185/1/949995/1001235
Streptomyces	Unclassified	NA02950	NZ_CP054916.1	8040300	8243324	butyrolactone - hgle-ks - t1pks - thioamide-nrp hybrid	False	lorneic acid A	23	BGC0001200	https://antismash-db.secondarymetabolites.org/go/NZ_CP054916.1/8040300-8243324	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013364155.1/NZ_CP054916/1/8040300/8243324
Sinosporangium	album	CPCC 201354	NZ_FNCN01000012.1	5409	67600	t1nrps - thioamide-nrp hybrid	False	netropsin	22	BGC0000327	https://antismash-db.secondarymetabolites.org/go/NZ_FNCN01000012.1/5409-67600	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900100605.1/NZ_FNCN01000012/1/5409/67600
Paracoccus	Unclassified	J56	NZ_FXAQ01000020.1	4242	45719	thioamide-nrp	False	xantholipin	4	BGC0000279	https://antismash-db.secondarymetabolites.org/go/NZ_FXAQ01000020.1/4242-45719	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900177635.1/NZ_FXAQ01000020/1/4242/45719
Pseudoalteromonas	rubra	T7	NZ_RHIA01000024.1	9925	62670	t1nrps - thioamide-nrp hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RHIA01000024.1/9925-62670	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003947175.1/NZ_RHIA01000024/1/9925/62670
Streptomyces	griseoluteus	JCM 4765	NZ_SRRU01000001.1	845636	929145	t1nrps - thioamide-nrp hybrid	False	BD-12	17	BGC0001379	https://antismash-db.secondarymetabolites.org/go/NZ_SRRU01000001.1/845636-929145	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004784465.1/NZ_SRRU01000001/1/845636/929145
Streptomyces	chartreusis	ATCC 14922	NZ_CP023689.1	5554731	5632947	ladderane - t1nrps - thioamide-nrp hybrid	False	ishigamide	100	BGC0001623	https://antismash-db.secondarymetabolites.org/go/NZ_CP023689.1/5554731-5632947	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704715.1/NZ_CP023689/1/5554731/5632947
Cohnella	Unclassified	KS 22	NZ_CP041969.1	1390657	1448090	thioamide-nrp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041969.1/1390657-1448090	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014107495.1/NZ_CP041969/1/1390657/1448090
Streptomyces	corchorusii	DSM 40340	NZ_KQ948354.1	300257	379776	ladderane - t1nrps - thioamide-nrp hybrid	False	ishigamide	100	BGC0001623	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948354.1/300257-379776	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514055.1/NZ_KQ948354/1/300257/379776
Phocaeicola	vulgatus	1001271st1_G7	NZ_CP043529.1	2292510	2354232	thioamide-nrp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP043529.1/2292510-2354232	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008728395.1/NZ_CP043529/1/2292510/2354232
Campylobacter	hyointestinalis	006A-0180	NZ_FAUX01000001.1	415304	458559	thioamide-nrp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FAUX01000001.1/415304-458559	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001486965.1/NZ_FAUX01000001/1/415304/458559
Ruminiclostridium	cellulolyticum	H10	NC_011898.1	3015224	3060777	thioamide-nrp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_011898.1/3015224-3060777	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000022065.1/NC_011898/1/3015224/3060777
Ruminiclostridium	cellulolyticum	H10	NC_011898.1	3786492	3835207	thioamide-nrp	False	closthioamide	90	BGC0001891	https://antismash-db.secondarymetabolites.org/go/NC_011898.1/3786492-3835207	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000022065.1/NC_011898/1/3786492/3835207
Streptomyces	cavourensis	1AS2a	NZ_CP024957.1	6914873	7052215	t1nrps - t1pks - thioamide-nrp hybrid	False	bafilomycin B1	100	BGC0000028	https://antismash-db.secondarymetabolites.org/go/NZ_CP024957.1/6914873-7052215	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002804165.1/NZ_CP024957/1/6914873/7052215
Paenibacillus	mucilaginosus	KNP414	NC_015690.1	5527864	5615059	t1nrps - thioamide-nrp hybrid	False	brevicidine	18	BGC0001536	https://antismash-db.secondarymetabolites.org/go/NC_015690.1/5527864-5615059	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000218915.1/NC_015690/1/5527864/5615059
Streptomyces	Unclassified	CB03238	NZ_NBCN01000013.1	65983	181492	t1nrps - terpene - thioamide-nrp hybrid	False	tiancilactone	100	BGC0002019	https://antismash-db.secondarymetabolites.org/go/NZ_NBCN01000013.1/65983-181492	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002099185.1/NZ_NBCN01000013/1/65983/181492
