#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptococcus	pneumoniae	SMRU106	NZ_FDQP01000009.1	26224	49215	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000009.1/26224-49215	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000009/1/26224/49215
Salinispora	pacifica	CNQ768	NZ_KB904824.1	76738	101368	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904824.1/76738-101368	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904824/1/76738/101368
Bifidobacterium	angulatum	JCM 7096	NZ_AP012322.1	1383978	1407089	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP012322.1/1383978-1407089	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001025155.1/NZ_AP012322/1/1383978/1407089
Bifidobacterium	angulatum	GT102	NZ_CP014241.1	1953268	1976379	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014241.1/1953268-1976379	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000966445.2/NZ_CP014241/1/1953268/1976379
Methylopumilus	Unclassified	MMS-2-53	NZ_LN827929.1	790498	813075	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LN827929.1/790498-813075	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000981505.1/NZ_LN827929/1/790498/813075
Streptococcus	pneumoniae	SMRU106	NZ_FCRL01000004.1	154972	179149	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000004.1/154972-179149	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000004/1/154972/179149
Streptococcus	pneumoniae	SMRU106	NZ_FCRL01000010.1	33625	56616	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000010.1/33625-56616	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000010/1/33625/56616
Salinispora	pacifica	CNQ768	NZ_KB904848.1	2432	64852	lanthipeptide - lipolanthine - t1nrps - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904848.1/2432-64852	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904848/1/2432/64852
Bacillus	velezensis	P34	NZ_CP040378.1	68023	89901	lanthipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/68023-89901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/68023/89901
Bacillus	velezensis	P34	NZ_CP040378.1	160069	182685	lanthipeptide	False	locillomycin	35	BGC0001005	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/160069-182685	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/160069/182685
