#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Fluoribacter	dumoffii	Tex-KL	NZ_CM001371.1	2628241	2649015	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM001371.1/2628241-2649015	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000236145.1/NZ_CM001371/1/2628241/2649015
Bacillus	cereus	FORC087	NZ_WBPC01000024.1	32641	53361	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000024.1/32641-53361	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000024/1/32641/53361
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000014.1	157717	176677	cdps - terpene hybrid	True	purincyclamide	40	BGC0001986	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000014.1/157717-176677	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000014/1/157717/176677
Bacillus	licheniformis	B4089	NZ_LKPM01000019.1	147146	167896	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LKPM01000019.1/147146-167896	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001925025.1/NZ_LKPM01000019/1/147146/167896
Bacillus	subtilis	KCTC 13429	NZ_CP029465.1	3679547	3700294	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029465.1/3679547-3700294	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003148415.1/NZ_CP029465/1/3679547/3700294
Bacillus	Unclassified	TYF-LIM-B05	NZ_QXII01000003.1	763896	784646	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QXII01000003.1/763896-784646	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003717485.1/NZ_QXII01000003/1/763896/784646
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000009.1	78311	99046	cdps	False	bicyclomycin	75	BGC0001468	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000009.1/78311-99046	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000009/1/78311/99046
Pseudomonas	aeruginosa	YL84	NZ_CP007147.1	848833	869568	cdps	False	bicyclomycin	75	BGC0001468	https://antismash-db.secondarymetabolites.org/go/NZ_CP007147.1/848833-869568	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000524595.1/NZ_CP007147/1/848833/869568
Bacillus	subtilis	J-5	NZ_NJRE01000002.1	267219	287966	cdps	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NJRE01000002.1/267219-287966	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010578165.1/NZ_NJRE01000002/1/267219/287966
Pseudomonas	aeruginosa	PAK	NZ_KE137323.1	193555	214290	cdps	False	bicyclomycin	75	BGC0001468	https://antismash-db.secondarymetabolites.org/go/NZ_KE137323.1/193555-214290	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000408865.1/NZ_KE137323/1/193555/214290
