#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptococcus	salivarius	CCHSS3	NC_015760.1	742809	776926	lanthipeptide - ras-ripp hybrid	False	salivaricin 9	100	BGC0000547	https://antismash-db.secondarymetabolites.org/go/NC_015760.1/742809-776926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/742809/776926
Streptococcus	salivarius	None	NZ_LR793258.1	1342195	1364377	ras-ripp	False	WGK	100	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_LR793258.1/1342195-1364377	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902850305.1/NZ_LR793258/1/1342195/1364377
Streptococcus	thermophilus	LMG 18311	NC_006448.1	825843	847915	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_006448.1/825843-847915	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000011825.1/NC_006448/1/825843/847915
Streptococcus	thermophilus	LMG 18311	NC_006448.1	1711849	1738640	lanthipeptide - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_006448.1/1711849-1738640	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000011825.1/NC_006448/1/1711849/1738640
Streptococcus	thermophilus	TH982	NZ_CM003136.1	813933	835917	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM003136.1/813933-835917	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000572065.1/NZ_CM003136/1/813933/835917
Streptococcus	thermophilus	TH982	NZ_CM003136.1	1205662	1225651	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CM003136.1/1205662-1225651	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000572065.1/NZ_CM003136/1/1205662/1225651
Streptococcus	thermophilus	TH982	NZ_CM003136.1	1700137	1726926	lanthipeptide - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM003136.1/1700137-1726926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000572065.1/NZ_CM003136/1/1700137/1726926
Streptococcus	intermedius	B196	NC_022246.1	130948	154127	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_022246.1/130948-154127	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000463355.1/NC_022246/1/130948/154127
Lactococcus	lactis	S0	NZ_CP010050.1	1174487	1196647	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP010050.1/1174487-1196647	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000807375.1/NZ_CP010050/1/1174487/1196647
Lactococcus	lactis	S0	NZ_CP010050.1	2360232	2383316	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP010050.1/2360232-2383316	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000807375.1/NZ_CP010050/1/2360232/2383316
Lactobacillus	pentosus	SLC13	NZ_PVNY01000052.1	63841	84063	ras-ripp	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PVNY01000052.1/63841-84063	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002993435.1/NZ_PVNY01000052/1/63841/84063
Streptococcus	equinus	SI	NZ_FOYC01000001.1	344793	368812	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FOYC01000001.1/344793-368812	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900115895.1/NZ_FOYC01000001/1/344793/368812
Streptococcus	equinus	SI	NZ_FOYC01000002.1	184617	206798	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_FOYC01000002.1/184617-206798	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900115895.1/NZ_FOYC01000002/1/184617/206798
Streptococcus	suis	HNAY30	NZ_JAAVJU010000003.1	135847	158243	ras-ripp	False	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_JAAVJU010000003.1/135847-158243	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013184835.1/NZ_JAAVJU010000003/1/135847/158243
Enterococcus	faecalis	13-SD-W-01	NZ_KE351686.1	128078	150326	ras-ripp - sactipeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KE351686.1/128078-150326	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000415185.1/NZ_KE351686/1/128078/150326
Streptococcus	thermophilus	None	NZ_CP016877.1	493359	553391	lanthipeptide - ras-ripp - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016877.1/493359-553391	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001705585.1/NZ_CP016877/1/493359/553391
Streptococcus	thermophilus	None	NZ_CP016877.1	1878837	1899956	ras-ripp	True	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CP016877.1/1878837-1899956	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001705585.1/NZ_CP016877/1/1878837/1899956
