#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Sorangium	cellulosum	So ce 56	NC_010162.1	10015189	10036036	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/10015189-10036036	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/10015189/10036036
Vibrio	penaeicida	TUMSAT-NU1	NZ_BFAQ01000006.1	11589	32652	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BFAQ01000006.1/11589-32652	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002933855.1/NZ_BFAQ01000006/1/11589/32652
Vibrio	penaeicida	TUMSAT-NU1	NZ_BFAQ01000015.1	66177	86408	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BFAQ01000015.1/66177-86408	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002933855.1/NZ_BFAQ01000015/1/66177/86408
Chitinophaga	Unclassified	XS-30	NZ_CP043006.1	5151907	5172087	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP043006.1/5151907-5172087	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008086345.1/NZ_CP043006/1/5151907/5172087
Flavobacterium	Unclassified	316	NZ_JYGZ01000003.1	87641	107884	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JYGZ01000003.1/87641-107884	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000967805.1/NZ_JYGZ01000003/1/87641/107884
Chitinophaga	Unclassified	MD30	NZ_CP023254.1	3978733	4000355	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023254.1/3978733-4000355	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002290065.1/NZ_CP023254/1/3978733/4000355
Chryseobacterium	Unclassified	G0186	NZ_CP033918.1	1739901	1760123	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033918.1/1739901-1760123	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003815675.1/NZ_CP033918/1/1739901/1760123
Microcystis	aeruginosa	NIES-2549	NZ_CP011304.1	2950370	3011450	microviridin - t1nrps hybrid	False	cyanopeptin	100	BGC0000331	https://antismash-db.secondarymetabolites.org/go/NZ_CP011304.1/2950370-3011450	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000981785.2/NZ_CP011304/1/2950370/3011450
Microcystis	aeruginosa	NIES-2549	NZ_CP011304.1	3166094	3186247	microviridin	False	microviridin B	100	BGC0000592	https://antismash-db.secondarymetabolites.org/go/NZ_CP011304.1/3166094-3186247	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000981785.2/NZ_CP011304/1/3166094/3186247
Vibrio	Unclassified	vnigr-6D03	NZ_PIZL01000012.1	256260	277392	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PIZL01000012.1/256260-277392	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002835515.1/NZ_PIZL01000012/1/256260/277392
Chryseobacterium	takakiae	DSM 26898	NZ_FQVO01000010.1	39240	60281	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FQVO01000010.1/39240-60281	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900129385.1/NZ_FQVO01000010/1/39240/60281
Flavobacterium	Unclassified	GT3R68	NZ_VJZK01000003.1	286827	307055	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VJZK01000003.1/286827-307055	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007109225.1/NZ_VJZK01000003/1/286827/307055
Flavobacterium	endophyticum	DSM 29537	NZ_RBLC01000001.1	755625	775853	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RBLC01000001.1/755625-775853	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003634455.1/NZ_RBLC01000001/1/755625/775853
Flavobacterium	Unclassified	P2-65	NZ_CP058278.1	2567448	2587727	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP058278.1/2567448-2587727	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013389455.1/NZ_CP058278/1/2567448/2587727
Archangium	gephyra	DSM 2261	NZ_CP011509.1	3625319	3643913	microviridin	False	microviridin J	66	BGC0000593	https://antismash-db.secondarymetabolites.org/go/NZ_CP011509.1/3625319-3643913	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001027285.1/NZ_CP011509/1/3625319/3643913
Archangium	gephyra	DSM 2261	NZ_CP011509.1	6533678	6579450	microviridin - phenazine - t1nrps - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP011509.1/6533678-6579450	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001027285.1/NZ_CP011509/1/6533678/6579450
Olivibacter	Unclassified	LS-1	NZ_CP041643.1	3926996	3947173	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041643.1/3926996-3947173	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008245145.1/NZ_CP041643/1/3926996/3947173
Scytonema	hofmannii	PCC 7110	NZ_KQ976354.1	3589179	3832343	microviridin - t1nrps hybrid	False	nostocyclopeptide A2	42	BGC0000397	https://antismash-db.secondarymetabolites.org/go/NZ_KQ976354.1/3589179-3832343	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000346485.2/NZ_KQ976354/1/3589179/3832343
Scytonema	hofmannii	PCC 7110	NZ_KQ976354.1	9478876	9499197	bacteriocin - microviridin hybrid	False	microviridin K	25	BGC0000594	https://antismash-db.secondarymetabolites.org/go/NZ_KQ976354.1/9478876-9499197	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000346485.2/NZ_KQ976354/1/9478876/9499197
Chryseobacterium	indologenes	CI38	NZ_JACLED010000001.1	565067	585560	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLED010000001.1/565067-585560	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014220115.1/NZ_JACLED010000001/1/565067/585560
Microcystis	aeruginosa	FD4	NZ_CP046973.1	4000919	4067467	microviridin - t1nrps hybrid	False	micropeptin K139	75	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_CP046973.1/4000919-4067467	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009792235.1/NZ_CP046973/1/4000919/4067467
Stigmatella	aurantiaca	DW4/3-1	NC_014623.1	8911420	8931618	microviridin	False	microviridin K	25	BGC0000594	https://antismash-db.secondarymetabolites.org/go/NC_014623.1/8911420-8931618	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000165485.1/NC_014623/1/8911420/8931618
Sorangium	cellulosum	So ceGT47	NZ_CP012670.1	8291411	8312199	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP012670.1/8291411-8312199	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004135735.1/NZ_CP012670/1/8291411/8312199
Chitinophaga	japonensis	DSM 13484	NZ_VLLG01000002.1	1525261	1545661	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VLLG01000002.1/1525261-1545661	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007830125.1/NZ_VLLG01000002/1/1525261/1545661
Chryseobacterium	indologenes	CI38	NZ_CP022058.2	2694700	2715193	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022058.2/2694700-2715193	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002208925.2/NZ_CP022058/2/2694700/2715193
Nostoc	Unclassified	NIES-3756	NZ_AP017295.1	4201197	4221811	microviridin	False	microviridin K	62	BGC0000594	https://antismash-db.secondarymetabolites.org/go/NZ_AP017295.1/4201197-4221811	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001548375.1/NZ_AP017295/1/4201197/4221811
Chryseobacterium	gallinarum	FDAARGOS_636	NZ_CP050995.1	178387	198892	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050995.1/178387-198892	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_012273615.1/NZ_CP050995/1/178387/198892
Terrimonas	ferruginea	DSM 30193	NZ_AUDS01000008.1	43189	63654	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AUDS01000008.1/43189-63654	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000425585.1/NZ_AUDS01000008/1/43189/63654
Chryseobacterium	camelliae	Dolsongi-HT1	NZ_CP022986.1	1358179	1378662	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022986.1/1358179-1378662	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002770595.1/NZ_CP022986/1/1358179/1378662
Chryseobacterium	polytrichastri	DSM 26899	NZ_FRAV01000024.1	57021	78288	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FRAV01000024.1/57021-78288	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900142445.1/NZ_FRAV01000024/1/57021/78288
Chryseobacterium	gleum	110146	NZ_CP031676.1	1733389	1753902	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP031676.1/1733389-1753902	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004328965.1/NZ_CP031676/1/1733389/1753902
Chryseobacterium	indologenes	CI38	NZ_CP033828.1	1008190	1028683	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033828.1/1008190-1028683	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003812865.1/NZ_CP033828/1/1008190/1028683
Chryseobacterium	Unclassified	C3	NZ_JACLCU010000003.1	470621	491086	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLCU010000003.1/470621-491086	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014218905.1/NZ_JACLCU010000003/1/470621/491086
Chryseobacterium	indologenes	CI38	NZ_JACLEC010000028.1	11771	32300	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLEC010000028.1/11771-32300	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014220045.1/NZ_JACLEC010000028/1/11771/32300
Planktothrix	agardhii	NIVA-CYA 15	NZ_KE734694.1	482039	579193	betalactone - microviridin - t1nrps hybrid	False	nostocyclopeptide A2	42	BGC0000397	https://antismash-db.secondarymetabolites.org/go/NZ_KE734694.1/482039-579193	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000464665.1/NZ_KE734694/1/482039/579193
Chryseobacterium	indologenes	CI38	NZ_CP023968.1	2613147	2633640	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023968.1/2613147-2633640	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002591275.1/NZ_CP023968/1/2613147/2633640
Microcystis	aeruginosa	NIES-298	NZ_CP046058.1	4736547	4754449	microviridin	False	microviridin B	100	BGC0000592	https://antismash-db.secondarymetabolites.org/go/NZ_CP046058.1/4736547-4754449	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010196425.1/NZ_CP046058/1/4736547/4754449
Microcystis	aeruginosa	NIES-298	NZ_CP046058.1	4841935	4907212	microviridin - t1nrps hybrid	False	micropeptin K139	87	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_CP046058.1/4841935-4907212	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010196425.1/NZ_CP046058/1/4841935/4907212
Flavobacterium	jejuense	EC11	NZ_VEVQ02000019.1	59880	80111	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VEVQ02000019.1/59880-80111	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006491595.2/NZ_VEVQ02000019/1/59880/80111
Nodularia	spumigena	UHCC 0039	NZ_CP020114.1	1083463	1171709	betalactone - microviridin - t1nrps hybrid	False	nostocyclopeptide A2	85	BGC0000397	https://antismash-db.secondarymetabolites.org/go/NZ_CP020114.1/1083463-1171709	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003054475.1/NZ_CP020114/1/1083463/1171709
Microcystis	viridis	NIES-102	NZ_AP019314.1	122701	141668	microviridin	False	microviridin B	100	BGC0000592	https://antismash-db.secondarymetabolites.org/go/NZ_AP019314.1/122701-141668	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003945305.1/NZ_AP019314/1/122701/141668
Microcystis	viridis	NIES-102	NZ_AP019314.1	3400282	3468691	microviridin - t1nrps hybrid	False	micropeptin K139	75	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_AP019314.1/3400282-3468691	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003945305.1/NZ_AP019314/1/3400282/3468691
Sorangium	cellulosum	So ceGT47	NZ_CP012672.1	11622000	11642723	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP012672.1/11622000-11642723	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004135755.1/NZ_CP012672/1/11622000/11642723
Microcystis	aeruginosa	NIES-88	NZ_JXYX01000001.1	224537	243738	microviridin	False	microviridin B	80	BGC0000592	https://antismash-db.secondarymetabolites.org/go/NZ_JXYX01000001.1/224537-243738	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001578075.1/NZ_JXYX01000001/1/224537/243738
Microcystis	aeruginosa	NIES-88	NZ_JXYX01000001.1	379883	448223	microviridin - t1nrps hybrid	False	micropeptin K139	75	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_JXYX01000001.1/379883-448223	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001578075.1/NZ_JXYX01000001/1/379883/448223
Nostoc	flagelliforme	CCNUN1	NZ_CP024785.1	2917561	2937684	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP024785.1/2917561-2937684	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002813575.1/NZ_CP024785/1/2917561/2937684
Microcystis	aeruginosa	PCC 7806SL	NZ_CP020771.1	4353267	4418486	microviridin - t1nrps hybrid	False	micropeptin K139	100	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_CP020771.1/4353267-4418486	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002095975.1/NZ_CP020771/1/4353267/4418486
Chryseobacterium	Unclassified	G0162	NZ_CP033922.1	3909941	3930160	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033922.1/3909941-3930160	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003815715.1/NZ_CP033922/1/3909941/3930160
Cystobacter	fuscus	DSM 52655	NZ_CP022098.1	2634317	2670136	lanthipeptide - microviridin hybrid	False	microviridin K	25	BGC0000594	https://antismash-db.secondarymetabolites.org/go/NZ_CP022098.1/2634317-2670136	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002305875.1/NZ_CP022098/1/2634317/2670136
Cystobacter	fuscus	DSM 52655	NZ_CP022098.1	5460897	5478239	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022098.1/5460897-5478239	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002305875.1/NZ_CP022098/1/5460897/5478239
Cystobacter	fuscus	DSM 52655	NZ_CP022098.1	10374190	10394379	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022098.1/10374190-10394379	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002305875.1/NZ_CP022098/1/10374190/10394379
Bdellovibrio	bacteriovorus	EC13	NZ_LUKF01000014.1	209128	230013	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LUKF01000014.1/209128-230013	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001592755.1/NZ_LUKF01000014/1/209128/230013
Planktothrix	agardhii	NIVA-CYA 56/3	NZ_KE734727.1	220270	316902	betalactone - microviridin - t1nrps hybrid	False	anabaenopeptin	100	BGC0000302	https://antismash-db.secondarymetabolites.org/go/NZ_KE734727.1/220270-316902	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000464825.1/NZ_KE734727/1/220270/316902
Chryseobacterium	Unclassified	SN22	NZ_VTSX01000013.1	43698	64804	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VTSX01000013.1/43698-64804	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008329705.1/NZ_VTSX01000013/1/43698/64804
Chryseobacterium	indologenes	CI38	NZ_JACLDA010000002.1	365483	385976	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLDA010000002.1/365483-385976	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014220695.1/NZ_JACLDA010000002/1/365483/385976
Chryseobacterium	Unclassified	StRB126	NZ_AP014624.1	4255354	4275573	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP014624.1/4255354-4275573	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000829375.1/NZ_AP014624/1/4255354/4275573
Chryseobacterium	indologenes	CI38	NZ_CP033930.1	1995242	2015735	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033930.1/1995242-2015735	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003815935.1/NZ_CP033930/1/1995242/2015735
Sorangium	cellulosum	So0157-2	NC_021658.1	11804475	11825191	microviridin	False	microviridin B	40	BGC0000592	https://antismash-db.secondarymetabolites.org/go/NC_021658.1/11804475-11825191	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000418325.1/NC_021658/1/11804475/11825191
Chryseobacterium	indologenes	CI38	NZ_LR215967.1	1853281	1873774	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR215967.1/1853281-1873774	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900683405.1/NZ_LR215967/1/1853281/1873774
Chitinophaga	pinensis	None	NZ_LR632929.1	3078531	3098714	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR632929.1/3078531-3098714	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902167295.1/NZ_LR632929/1/3078531/3098714
Chryseobacterium	Unclassified	ERMR1:04	NZ_LIRF01000010.1	210694	231967	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LIRF01000010.1/210694-231967	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001297705.1/NZ_LIRF01000010/1/210694/231967
Microcystis	panniformis	FACHB-1757	NZ_CP011339.1	5524755	5586937	microviridin - t1nrps hybrid	False	micropeptin K139	100	BGC0001018	https://antismash-db.secondarymetabolites.org/go/NZ_CP011339.1/5524755-5586937	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001264245.1/NZ_CP011339/1/5524755/5586937
Chryseobacterium	nakagawai	G0041	NZ_CP033923.1	1567237	1587456	microviridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033923.1/1567237-1587456	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003815735.1/NZ_CP033923/1/1567237/1587456
