#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	7574316	7603072	phosphoglycolipid	False	teichomycin	83	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/7574316-7603072	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/7574316/7603072
Actinoplanes	teichomyceticus	ATCC 31121	NZ_CP023865.1	6696395	6721072	phosphoglycolipid	False	teichomycin	100	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_CP023865.1/6696395-6721072	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003711105.1/NZ_CP023865/1/6696395/6721072
Streptomyces	viridosporus	ATCC 39115	NZ_CP023700.1	6707006	6735197	phosphoglycolipid	False	teichomycin	77	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_CP023700.1/6707006-6735197	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704515.1/NZ_CP023700/1/6707006/6735197
Streptomyces	prasinus	ATCC 13879	NZ_CP023697.1	286594	314749	phosphoglycolipid	False	teichomycin	72	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_CP023697.1/286594-314749	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704445.1/NZ_CP023697/1/286594/314749
Photorhabdus	asymbiotica	None	NC_012962.1	1449379	1471319	phosphoglycolipid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_012962.1/1449379-1471319	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000196475.1/NC_012962/1/1449379/1471319
Streptomyces	clavuligerus	F613-1	NZ_CM000914.1	1395173	1560626	ectoine - nrps-like - phosphoglycolipid - t1nrps - t1pks hybrid	False	maduropeptin	30	BGC0001008	https://antismash-db.secondarymetabolites.org/go/NZ_CM000914.1/1395173-1560626	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000163875.1/NZ_CM000914/1/1395173/1560626
Streptomyces	viridosporus	ATCC 39115	NZ_JH993789.1	1320867	1349058	phosphoglycolipid	False	teichomycin	77	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_JH993789.1/1320867-1349058	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000316095.1/NZ_JH993789/1/1320867/1349058
Streptomyces	Unclassified	PsTaAH-124	NZ_KB892191.1	173376	202428	phosphoglycolipid	False	teichomycin	83	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_KB892191.1/173376-202428	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000373685.1/NZ_KB892191/1/173376/202428
Streptomyces	viridosporus	ATCC 14672	NZ_DS999641.1	1397591	1425782	phosphoglycolipid	False	teichomycin	77	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_DS999641.1/1397591-1425782	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000156435.1/NZ_DS999641/1/1397591/1425782
Micromonospora	matsumotoense	DSM 44100	NZ_FMCU01000008.1	94278	164291	nucleoside - phosphoglycolipid - pks-like - t1pks hybrid	False	teichomycin	27	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_FMCU01000008.1/94278-164291	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900091525.1/NZ_FMCU01000008/1/94278/164291
Actinomyces	Unclassified	299	NZ_CP025227.1	2689665	2711527	phosphoglycolipid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025227.1/2689665-2711527	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004010955.1/NZ_CP025227/1/2689665/2711527
Streptomyces	Unclassified	SAT1	NZ_CP015849.1	7099433	7128424	phosphoglycolipid	False	teichomycin	83	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_CP015849.1/7099433-7128424	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001654495.1/NZ_CP015849/1/7099433/7128424
Streptomyces	Unclassified	Tu 6176	NZ_KK106988.1	3088173	3113950	phosphoglycolipid	False	teichomycin	55	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_KK106988.1/3088173-3113950	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000611795.1/NZ_KK106988/1/3088173/3113950
Photorhabdus	laumondii	TTO1	NC_005126.1	3983868	4005998	phosphoglycolipid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_005126.1/3983868-4005998	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000196155.1/NC_005126/1/3983868/4005998
Streptomyces	Unclassified	IMTB 2501	NZ_MQUS01000002.1	185507	214212	phosphoglycolipid	False	teichomycin	77	BGC0001395	https://antismash-db.secondarymetabolites.org/go/NZ_MQUS01000002.1/185507-214212	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001953885.1/NZ_MQUS01000002/1/185507/214212
