#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Mycobacterium	grossiae	DSM 104744	NZ_CP043474.1	202763	223330	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP043474.1/202763-223330	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008329645.1/NZ_CP043474/1/202763/223330
Streptomyces	Unclassified	CT34	NZ_KN708638.1	4618782	4639093	linaridin	False	legonaridin	75	BGC0001188	https://antismash-db.secondarymetabolites.org/go/NZ_KN708638.1/4618782-4639093	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000805335.1/NZ_KN708638/1/4618782/4639093
Streptomyces	Unclassified	CT34	NZ_KN708638.1	6357291	6377888	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KN708638.1/6357291-6377888	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000805335.1/NZ_KN708638/1/6357291/6377888
Massilia	umbonata	DSMZ 26121	NZ_CP040017.1	4862375	4882882	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP040017.1/4862375-4882882	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005280315.1/NZ_CP040017/1/4862375/4882882
Pedobacter	zeae	DSM 100774	NZ_JACIEF010000004.1	750175	770727	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACIEF010000004.1/750175-770727	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014196715.1/NZ_JACIEF010000004/1/750175/770727
Nitrosospira	multiformis	Nl18	NZ_FOCT01000005.1	45068	105297	linaridin - t1nrps - t1pks hybrid	False	crochelin A	34	BGC0002001	https://antismash-db.secondarymetabolites.org/go/NZ_FOCT01000005.1/45068-105297	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110185.1/NZ_FOCT01000005/1/45068/105297
Rothia	Unclassified	HMSC065G12	NZ_KV804818.1	81735	131902	lanthipeptide - linaridin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV804818.1/81735-131902	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001811455.1/NZ_KV804818/1/81735/131902
Streptomyces	scabiei	NCPPB 4066	NZ_KL997517.1	468165	569995	linaridin - t1pks hybrid	False	concanamycin A	82	BGC0000040	https://antismash-db.secondarymetabolites.org/go/NZ_KL997517.1/468165-569995	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000738715.1/NZ_KL997517/1/468165/569995
Curtobacterium	flaccumfaciens	Cff1037	NZ_CP041259.1	3117419	3137974	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041259.1/3117419-3137974	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013348005.1/NZ_CP041259/1/3117419/3137974
Streptomyces	Unclassified	GY16	NZ_CP045096.1	475944	496535	linaridin	False	pentostatine / vidarabine	9	BGC0001735	https://antismash-db.secondarymetabolites.org/go/NZ_CP045096.1/475944-496535	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009184865.1/NZ_CP045096/1/475944/496535
Streptomyces	Unclassified	CMB-StM0423	NZ_CP025407.1	2124799	2144367	linaridin	False	BD-12	17	BGC0001379	https://antismash-db.secondarymetabolites.org/go/NZ_CP025407.1/2124799-2144367	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002847285.1/NZ_CP025407/1/2124799/2144367
Streptomyces	Unclassified	CMB-StM0423	NZ_CP025407.1	2418452	2497424	linaridin - other - t3pks - terpene hybrid	False	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	26	BGC0001083	https://antismash-db.secondarymetabolites.org/go/NZ_CP025407.1/2418452-2497424	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002847285.1/NZ_CP025407/1/2418452/2497424
Streptomyces	Unclassified	TAA040	NZ_AUKR01000074.1	0	1118	linaridin	True	cypemycin	22	BGC0000582	https://antismash-db.secondarymetabolites.org/go/NZ_AUKR01000074.1/0-1118	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424845.1/NZ_AUKR01000074/1/0/1118
Streptomyces	geranii	A301	NZ_PJME01000007.1	202168	222834	linaridin	False	pentostatine / vidarabine	9	BGC0001735	https://antismash-db.secondarymetabolites.org/go/NZ_PJME01000007.1/202168-222834	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002954775.1/NZ_PJME01000007/1/202168/222834
Corynebacterium	striatum	CSc27	NZ_JVTN01000029.1	0	30944	lassopeptide - linaridin hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JVTN01000029.1/0-30944	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001053405.1/NZ_JVTN01000029/1/0/30944
Streptomyces	Unclassified	CB03238	NZ_NBCN01000007.1	517518	538064	linaridin	False	legonaridin	16	BGC0001188	https://antismash-db.secondarymetabolites.org/go/NZ_NBCN01000007.1/517518-538064	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002099185.1/NZ_NBCN01000007/1/517518/538064
Nitrosospira	multiformis	ATCC 25196	NC_007614.1	2068248	2135647	linaridin - t1nrps - t1pks hybrid	False	crochelin A	38	BGC0002001	https://antismash-db.secondarymetabolites.org/go/NC_007614.1/2068248-2135647	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000196355.1/NC_007614/1/2068248/2135647
Curtobacterium	Unclassified	PhB172	NZ_RKIF01000005.1	89516	110113	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RKIF01000005.1/89516-110113	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003752545.1/NZ_RKIF01000005/1/89516/110113
Streptomyces	noursei	ATCC 11455	NZ_CP011533.1	4361282	4382176	linaridin	False	legonaridin	66	BGC0001188	https://antismash-db.secondarymetabolites.org/go/NZ_CP011533.1/4361282-4382176	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001704275.1/NZ_CP011533/1/4361282/4382176
Nitrosospira	multiformis	Nl18	NZ_QLTB01000020.1	0	28486	linaridin - t1nrps hybrid	True	serobactin C / serobactin B / serobactin A	38	BGC0000424	https://antismash-db.secondarymetabolites.org/go/NZ_QLTB01000020.1/0-28486	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003269055.1/NZ_QLTB01000020/1/0/28486
Halorussus	Unclassified	HD8-83	NZ_SBIU01000003.1	39225	59801	linaridin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SBIU01000003.1/39225-59801	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004765805.1/NZ_SBIU01000003/1/39225/59801
Streptomyces	griseus	NBRC 13350	NC_010572.1	1768289	1786697	linaridin	False	pentostatine / vidarabine	9	BGC0001735	https://antismash-db.secondarymetabolites.org/go/NC_010572.1/1768289-1786697	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000010605.1/NC_010572/1/1768289/1786697
Streptomyces	griseus	NBRC 13350	NC_010572.1	7562137	7638706	linaridin - t1pks hybrid	False	grisemycin	100	BGC0000583	https://antismash-db.secondarymetabolites.org/go/NC_010572.1/7562137-7638706	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000010605.1/NC_010572/1/7562137/7638706
