#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pantoea	agglomerans	T5	NZ_CP048033.1	313693	357280	arylpolyene	False	aryl polyenes	94	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_CP048033.1/313693-357280	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010523255.1/NZ_CP048033/1/313693/357280
Acinetobacter	guillouiae	NBRC 110550	NZ_AP014630.1	3746532	3787765	arylpolyene	False	berninamycin A	13	BGC0001472	https://antismash-db.secondarymetabolites.org/go/NZ_AP014630.1/3746532-3787765	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002370525.2/NZ_AP014630/1/3746532/3787765
Prevotella	loescheii	DSM 19665	NZ_KB899213.1	16727	66604	arylpolyene	False	flexirubin	20	BGC0000839	https://antismash-db.secondarymetabolites.org/go/NZ_KB899213.1/16727-66604	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000378085.1/NZ_KB899213/1/16727/66604
Acinetobacter	schindleri	HZE33-1	NZ_CP044474.1	841216	882446	arylpolyene	False	berninamycin A	26	BGC0001472	https://antismash-db.secondarymetabolites.org/go/NZ_CP044474.1/841216-882446	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010919095.1/NZ_CP044474/1/841216/882446
Klebsiella	aerogenes	HNHF1	NZ_CP047669.1	3799865	3843462	arylpolyene	False	aryl polyenes	88	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_CP047669.1/3799865-3843462	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009909445.1/NZ_CP047669/1/3799865/3843462
Unclassified	bacterium	None	NZ_UBZG01000003.1	93369	134575	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000003.1/93369-134575	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000003/1/93369/134575
Yersinia	enterocolitica	YE228/02	NZ_CTRG01000006.1	250081	285997	arylpolyene	True	aryl polyenes	94	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_CTRG01000006.1/250081-285997	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001223065.1/NZ_CTRG01000006/1/250081/285997
Pseudomonas	fluorescens	PA3G8	NZ_CABVJB010000006.1	323589	367195	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CABVJB010000006.1/323589-367195	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498155.1/NZ_CABVJB010000006/1/323589/367195
Pantoea	agglomerans	T5	NZ_WSSY01000006.1	1260161	1320002	arylpolyene - hserlactone hybrid	False	aryl polyenes	94	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_WSSY01000006.1/1260161-1320002	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010667865.1/NZ_WSSY01000006/1/1260161/1320002
Pseudomonas	fluorescens	PA3G8	NZ_KN639173.1	295007	338613	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_KN639173.1/295007-338613	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639173/1/295007/338613
Glaciimonas	Unclassified	GS1	NZ_WINI01000001.1	264557	308258	arylpolyene	False	aryl polyenes	44	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_WINI01000001.1/264557-308258	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009497155.1/NZ_WINI01000001/1/264557/308258
Pseudomonas	fluorescens	PA3G8	NZ_CABVIC010000005.1	307170	350775	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CABVIC010000005.1/307170-350775	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498125.1/NZ_CABVIC010000005/1/307170/350775
Vibrio	parahaemolyticus	RM-13-3	NZ_LFWO01000024.1	67696	111283	arylpolyene	False	APE Vf	90	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_LFWO01000024.1/67696-111283	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001267965.1/NZ_LFWO01000024/1/67696/111283
Enterobacter	cloacae	WP5-S18-CRE-02	NZ_AP022126.1	3241049	3282165	arylpolyene - siderophore hybrid	False	aerobactin	66	BGC0001498	https://antismash-db.secondarymetabolites.org/go/NZ_AP022126.1/3241049-3282165	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014169295.1/NZ_AP022126/1/3241049/3282165
Enterococcus	faecalis	4928STDY7071546	NZ_CABGRD010000006.1	136077	168159	arylpolyene	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CABGRD010000006.1/136077-168159	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902161375.1/NZ_CABGRD010000006/1/136077/168159
Halomonas	Unclassified	SH5A2	NZ_CP058321.1	3487658	3531338	arylpolyene	False	APE Vf	45	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP058321.1/3487658-3531338	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014263395.1/NZ_CP058321/1/3487658/3531338
Gillisia	Unclassified	JM1	NZ_KE384218.1	1936630	1977903	arylpolyene	False	flexirubin	36	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_KE384218.1/1936630-1977903	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424645.1/NZ_KE384218/1/1936630/1977903
Gillisia	Unclassified	JM1	NZ_KE384218.1	1998716	2042405	arylpolyene - t3pks hybrid	False	aristeromycin	6	BGC0001514	https://antismash-db.secondarymetabolites.org/go/NZ_KE384218.1/1998716-2042405	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424645.1/NZ_KE384218/1/1998716/2042405
Aeromonas	schubertii	LF1708	NZ_CP039611.1	3346020	3389599	arylpolyene	False	APE Ec	52	BGC0000836	https://antismash-db.secondarymetabolites.org/go/NZ_CP039611.1/3346020-3389599	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004919485.1/NZ_CP039611/1/3346020/3389599
Williamsia	limnetica	DSM 45521	NZ_QJSP01000006.1	106040	147204	arylpolyene	False	nocathiacin	4	BGC0000609	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000006.1/106040-147204	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000006/1/106040/147204
Williamsia	limnetica	DSM 45521	NZ_QJSP01000016.1	36405	77590	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000016.1/36405-77590	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000016/1/36405/77590
Ralstonia	solanacearum	RSCM	NZ_CP025985.1	3537408	3578626	arylpolyene	False	APE Vf	10	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP025985.1/3537408-3578626	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002894285.1/NZ_CP025985/1/3537408/3578626
Rhizobium	leguminosarum	CC278f	NZ_KI912100.1	3115596	3156802	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI912100.1/3115596-3156802	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912100/1/3115596/3156802
Ralstonia	solanacearum	RSCM	NZ_CP025986.1	572034	655648	arylpolyene - t1nrps hybrid	False	APE Vf	35	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP025986.1/572034-655648	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002894285.1/NZ_CP025986/1/572034/655648
Campylobacter	concisus	None	NZ_CABPVK010000007.1	32730	76302	arylpolyene	False	APE Vf	20	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CABPVK010000007.1/32730-76302	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902460835.1/NZ_CABPVK010000007/1/32730/76302
Pseudomonas	Unclassified	NFACC39-1	NZ_FODL01000002.1	295336	338948	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_FODL01000002.1/295336-338948	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110355.1/NZ_FODL01000002/1/295336/338948
Sorangium	cellulosum	So ce 56	NC_010162.1	8295109	8340177	arylpolyene	False	N-tetradecanoyl tyrosine	6	BGC0001687	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/8295109-8340177	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/8295109/8340177
Serratia	Unclassified	MYb239	NZ_CP023268.1	877273	926076	arylpolyene - siderophore hybrid	False	APE Ec	73	BGC0000836	https://antismash-db.secondarymetabolites.org/go/NZ_CP023268.1/877273-926076	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002966855.1/NZ_CP023268/1/877273/926076
Photobacterium	angustum	S14	NZ_CH902599.1	1511028	1554657	arylpolyene - ectoine hybrid	False	APE Vf	90	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CH902599.1/1511028-1554657	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000153265.1/NZ_CH902599/1/1511028/1554657
Serratia	marcescens	2880STDY5682988	NZ_NGUE01000001.1	2313255	2370531	arylpolyene - t1nrps hybrid	False	andrimid	95	BGC0000956	https://antismash-db.secondarymetabolites.org/go/NZ_NGUE01000001.1/2313255-2370531	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002153355.1/NZ_NGUE01000001/1/2313255/2370531
Vibrio	alginolyticus	FDAARGOS_110	NZ_CP014040.1	631852	675439	arylpolyene	False	APE Vf	90	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP014040.1/631852-675439	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002953535.1/NZ_CP014040/1/631852/675439
Solimonas	Unclassified	K1W22B-7	NZ_CP031704.1	2518788	2582577	arylpolyene - lassopeptide hybrid	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP031704.1/2518788-2582577	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003428335.1/NZ_CP031704/1/2518788/2582577
Ochrobactrum	anthropi	OA_392	NZ_RHTC01000003.1	370282	411464	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RHTC01000003.1/370282-411464	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003937425.1/NZ_RHTC01000003/1/370282/411464
Variovorax	paradoxus	4MFCol3.1	NZ_KB905039.1	41571	82762	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB905039.1/41571-82762	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377585.1/NZ_KB905039/1/41571/82762
Pseudomonas	Unclassified	NFACC42-2	NZ_FOZO01000013.1	114955	158531	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_FOZO01000013.1/114955-158531	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900116055.1/NZ_FOZO01000013/1/114955/158531
Streptococcus	agalactiae	GBS-M002	NZ_CP013908.1	673780	715976	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP013908.1/673780-715976	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001932715.1/NZ_CP013908/1/673780/715976
Variovorax	paradoxus	4MFCol3.1	NZ_KB905074.1	0	25969	arylpolyene - resorcinol hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB905074.1/0-25969	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377585.1/NZ_KB905074/1/0/25969
Xanthomonas	translucens	None	NZ_LT604072.1	4511880	4553080	arylpolyene	False	xanthomonadin I	64	BGC0000840	https://antismash-db.secondarymetabolites.org/go/NZ_LT604072.1/4511880-4553080	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900094325.1/NZ_LT604072/1/4511880/4553080
Lysobacter	Unclassified	URHA0019	NZ_AUEN01000009.1	28379	69576	arylpolyene	False	xanthomonadin I	64	BGC0000840	https://antismash-db.secondarymetabolites.org/go/NZ_AUEN01000009.1/28379-69576	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000426005.1/NZ_AUEN01000009/1/28379/69576
Fibrobacter	succinogenes	None	NZ_CACWPM010000041.1	4364	47835	arylpolyene	True	aryl polyenes	38	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_CACWPM010000041.1/4364-47835	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902762795.1/NZ_CACWPM010000041/1/4364/47835
Acinetobacter	baumannii	LEV1449/17Ec	NZ_CP038262.1	3263544	3304774	arylpolyene	False	berninamycin A	26	BGC0001472	https://antismash-db.secondarymetabolites.org/go/NZ_CP038262.1/3263544-3304774	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004564095.1/NZ_CP038262/1/3263544/3304774
Enterobacter	Unclassified	NFIX59	NZ_FOQN01000007.1	41871	85465	arylpolyene	False	aryl polyenes	100	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_FOQN01000007.1/41871-85465	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900113755.1/NZ_FOQN01000007/1/41871/85465
Citrobacter	amalonaticus	MGH151	NZ_NGRA01000001.1	2406141	2449738	arylpolyene	False	aryl polyenes	100	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_NGRA01000001.1/2406141-2449738	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002151695.1/NZ_NGRA01000001/1/2406141/2449738
Stenotrophomonas	maltophilia	ISMMS3	NZ_CP028358.1	4548543	4592146	arylpolyene	False	APE Vf	30	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP028358.1/4548543-4592146	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003030985.1/NZ_CP028358/1/4548543/4592146
Pseudomonas	Unclassified	02C 26	NZ_CP025262.1	162798	206406	arylpolyene	False	APE Vf	45	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP025262.1/162798-206406	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002843585.1/NZ_CP025262/1/162798/206406
Aeromonas	hydrophila	AHNIH1	NZ_CP016380.1	3821085	3864682	arylpolyene	False	aryl polyenes	61	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_CP016380.1/3821085-3864682	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001687125.1/NZ_CP016380/1/3821085/3864682
Escherichia	coli	KTE19	NZ_KE136672.1	378726	422314	arylpolyene	False	aryl polyenes	100	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_KE136672.1/378726-422314	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000407825.1/NZ_KE136672/1/378726/422314
Pseudomonas	fragi	F1815	NZ_NQKO01000002.1	262584	306183	arylpolyene	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_NQKO01000002.1/262584-306183	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002269545.1/NZ_NQKO01000002/1/262584/306183
Unclassified	bacterium	None	NZ_UEHY01000015.1	68936	110133	arylpolyene	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UEHY01000015.1/68936-110133	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900468985.1/NZ_UEHY01000015/1/68936/110133
Campylobacter	Unclassified	FMV-PI01	NZ_VWSJ01000023.1	28143	71655	arylpolyene	False	APE Vf	30	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_VWSJ01000023.1/28143-71655	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009690845.1/NZ_VWSJ01000023/1/28143/71655
Leisingera	Unclassified	ANG-M1	NZ_JWLC01000040.1	5975	32244	arylpolyene	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JWLC01000040.1/5975-32244	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000813745.1/NZ_JWLC01000040/1/5975/32244
Rahnella	aquatilis	OV744	NZ_JUHM01000031.1	25169	59679	arylpolyene	True	aryl polyenes	77	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_JUHM01000031.1/25169-59679	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000799835.1/NZ_JUHM01000031/1/25169/59679
Pseudoalteromonas	rubra	T7	NZ_RHHY01000020.1	57492	95308	arylpolyene	True	APE Vf	50	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_RHHY01000020.1/57492-95308	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003947165.1/NZ_RHHY01000020/1/57492/95308
Paraburkholderia	caffeinilytica	CF1	NZ_CP031467.1	1171762	1216639	arylpolyene	False	APE Vf	35	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP031467.1/1171762-1216639	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003368325.1/NZ_CP031467/1/1171762/1216639
Bacteroides	ovatus	AF14-13AC	NZ_QRZQ01000005.1	298443	346048	arylpolyene	False	flexirubin	48	BGC0000839	https://antismash-db.secondarymetabolites.org/go/NZ_QRZQ01000005.1/298443-346048	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003465275.1/NZ_QRZQ01000005/1/298443/346048
Chromobacterium	Unclassified	ATCC 53434	NZ_CP025429.1	1915311	1958911	arylpolyene	False	APE Ec	36	BGC0000836	https://antismash-db.secondarymetabolites.org/go/NZ_CP025429.1/1915311-1958911	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002848345.1/NZ_CP025429/1/1915311/1958911
Stenotrophomonas	maltophilia	ISMMS3	NZ_JVPM01000009.1	0	31546	arylpolyene	True	APE Vf	45	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_JVPM01000009.1/0-31546	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001071815.1/NZ_JVPM01000009/1/0/31546
Stenotrophomonas	maltophilia	ISMMS3	NZ_CP060021.1	2405082	2448685	arylpolyene	False	APE Ec	47	BGC0000836	https://antismash-db.secondarymetabolites.org/go/NZ_CP060021.1/2405082-2448685	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014236005.1/NZ_CP060021/1/2405082/2448685
Pectobacterium	versatile	SCC1	NZ_CP021894.1	4919650	4963300	arylpolyene	False	APE Ec	94	BGC0000836	https://antismash-db.secondarymetabolites.org/go/NZ_CP021894.1/4919650-4963300	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003571485.1/NZ_CP021894/1/4919650/4963300
