#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Nonomuraea	pusilla	DSM 43357	NZ_FOBF01000002.1	541859	637231	cyanobactin - lanthipeptide - t2pks hybrid	False	xantholipin	48	BGC0000279	https://antismash-db.secondarymetabolites.org/go/NZ_FOBF01000002.1/541859-637231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109355.1/NZ_FOBF01000002/1/541859/637231
Vibrio	nigripulchritudo	SOn1	NZ_LK391965.1	5686078	5708052	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LK391965.1/5686078-5708052	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000723765.1/NZ_LK391965/1/5686078/5708052
Streptomyces	davaonensis	JCM 4913	NC_020504.1	8869884	8983549	cyanobactin - nrps-like - other - t1nrps - t3pks - terpene hybrid	False	furaquinocin B	100	BGC0001078	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/8869884-8983549	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/8869884/8983549
Methanosarcina	barkeri	MS	NZ_CP009528.1	750779	772924	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP009528.1/750779-772924	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000970025.1/NZ_CP009528/1/750779/772924
Methanosarcina	barkeri	227	NZ_CP009530.1	2312506	2334651	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP009530.1/2312506-2334651	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000970065.1/NZ_CP009530/1/2312506/2334651
Streptomyces	yokosukanensis	DSM 40224	NZ_KQ948233.1	0	15379	cyanobactin	True	A-47934	5	BGC0000290	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948233.1/0-15379	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514035.1/NZ_KQ948233/1/0/15379
Paraburkholderia	Unclassified	7MK8-2	NZ_RBZV01000012.1	50694	72713	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RBZV01000012.1/50694-72713	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003628145.1/NZ_RBZV01000012/1/50694/72713
Yersinia	canariae	NCTC 14382	NZ_CP043727.1	3222813	3244754	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP043727.1/3222813-3244754	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009831415.1/NZ_CP043727/1/3222813/3244754
Bradyrhizobium	japonicum	22	NZ_KI519400.1	470056	497834	cyanobactin	False	aeruginosamide B / aeruginosamide C	66	BGC0000483	https://antismash-db.secondarymetabolites.org/go/NZ_KI519400.1/470056-497834	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000482425.1/NZ_KI519400/1/470056/497834
Clostridium	cavendishii	DSM 21758	NZ_FQZB01000007.1	0	16966	cyanobactin	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FQZB01000007.1/0-16966	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900141845.1/NZ_FQZB01000007/1/0/16966
Anabaena	Unclassified	90	NC_019427.1	4042749	4072899	cyanobactin	False	anacyclamide A10	100	BGC0000472	https://antismash-db.secondarymetabolites.org/go/NC_019427.1/4042749-4072899	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000312705.1/NC_019427/1/4042749/4072899
Bradyrhizobium	Unclassified	CBNU	NZ_CP025113.1	1856327	1878778	cyanobactin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025113.1/1856327-1878778	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002831585.1/NZ_CP025113/1/1856327/1878778
Microchaete	diplosiphon	NIES-3275	NZ_AP018233.1	2231180	2259958	bacteriocin - cyanobactin hybrid	False	tenuecyclamide A / tenuecyclamide C	100	BGC0000480	https://antismash-db.secondarymetabolites.org/go/NZ_AP018233.1/2231180-2259958	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002368275.1/NZ_AP018233/1/2231180/2259958
