#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pseudomonas	soli	57B-090714	NZ_QJRQ01000002.1	307718	328768	ppys-ks	False	pseudopyronine A / pseudopyronine B	50	BGC0001285	https://antismash-db.secondarymetabolites.org/go/NZ_QJRQ01000002.1/307718-328768	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003205475.1/NZ_QJRQ01000002/1/307718/328768
Xenorhabdus	bovienii	CS03	NZ_FO818637.1	3889918	3910965	ppys-ks	False	malleobactin A / malleobactin B / malleobactin C / malleobactin D	7	BGC0000386	https://antismash-db.secondarymetabolites.org/go/NZ_FO818637.1/3889918-3910965	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000973125.1/NZ_FO818637/1/3889918/3910965
Xenorhabdus	bovienii	SS-2004	NC_013892.1	3512843	3533890	ppys-ks	False	malleobactin A / malleobactin B / malleobactin C / malleobactin D	7	BGC0000386	https://antismash-db.secondarymetabolites.org/go/NC_013892.1/3512843-3533890	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000027225.1/NC_013892/1/3512843/3533890
Pseudomonas	soli	57B-090714	NZ_FOEQ01000002.1	212481	233531	ppys-ks	False	pseudopyronine A / pseudopyronine B	50	BGC0001285	https://antismash-db.secondarymetabolites.org/go/NZ_FOEQ01000002.1/212481-233531	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110655.1/NZ_FOEQ01000002/1/212481/233531
Xenorhabdus	nematophila	ATCC 19061	NC_014228.1	3251978	3273025	ppys-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_014228.1/3251978-3273025	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000252955.1/NC_014228/1/3251978/3273025
Pseudomonas	soli	57B-090714	NZ_QJRO01000003.1	224824	245874	ppys-ks	False	pseudopyronine A / pseudopyronine B	50	BGC0001285	https://antismash-db.secondarymetabolites.org/go/NZ_QJRO01000003.1/224824-245874	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003205305.1/NZ_QJRO01000003/1/224824/245874
Pseudomonas	Unclassified	NFR02	NZ_FPJJ01000010.1	19617	40667	ppys-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FPJJ01000010.1/19617-40667	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900119375.1/NZ_FPJJ01000010/1/19617/40667
Pseudomonas	Unclassified	LAMO17WK12:I5	NZ_OBDS01000012.1	32296	53346	ppys-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_OBDS01000012.1/32296-53346	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900215165.1/NZ_OBDS01000012/1/32296/53346
Pseudomonas	Unclassified	URIL14HWK12:I6	NZ_AZVL01000005.1	15221	36271	ppys-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AZVL01000005.1/15221-36271	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000514195.1/NZ_AZVL01000005/1/15221/36271
Nocardia	suismassiliense	S-137	NZ_LT985361.1	5800365	5821409	ppys-ks	False	nocuolin A	9	BGC0001704	https://antismash-db.secondarymetabolites.org/go/NZ_LT985361.1/5800365-5821409	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900269665.1/NZ_LT985361/1/5800365/5821409
