#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Burkholderia	plantarii	ZJ171	NZ_MKGK01000003.1	1150223	1171714	blactam	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MKGK01000003.1/1150223-1171714	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001755835.1/NZ_MKGK01000003/1/1150223/1171714
Streptomyces	aureoverticillatus	HN6	NZ_CP048641.1	829734	886469	blactam - t1nrps hybrid	False	porothramycin A	5	BGC0000409	https://antismash-db.secondarymetabolites.org/go/NZ_CP048641.1/829734-886469	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010669165.1/NZ_CP048641/1/829734/886469
Streptomyces	cattleya	NRRL 8057	NC_016113.1	906778	928155	blactam	False	thienamycin	60	BGC0000847	https://antismash-db.secondarymetabolites.org/go/NC_016113.1/906778-928155	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000237305.1/NC_016113/1/906778/928155
Saccharomonospora	viridis	DSM 43017	NC_013159.1	3621230	3702486	blactam - t2pks hybrid	False	clavulanic acid	58	BGC0000845	https://antismash-db.secondarymetabolites.org/go/NC_013159.1/3621230-3702486	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000023865.1/NC_013159/1/3621230/3702486
Nonomuraea	indica	DRQ-2	NZ_PJOK01000068.1	13974	90511	blactam - t1nrps hybrid	False	napsamycin A / napsamycin B / napsamycin C / napsamycin D / mureidomycin A / mureidomycin B	17	BGC0000950	https://antismash-db.secondarymetabolites.org/go/NZ_PJOK01000068.1/13974-90511	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002850745.1/NZ_PJOK01000068/1/13974/90511
Streptomyces	Unclassified	NA02950	NZ_CP054916.1	9276902	9300401	blactam	False	clavulanic acid	20	BGC0000845	https://antismash-db.secondarymetabolites.org/go/NZ_CP054916.1/9276902-9300401	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013364155.1/NZ_CP054916/1/9276902/9300401
Salinispora	pacifica	CNT609	NZ_KB904926.1	3736	27231	blactam	False	valclavam / (-)-2-(2-hydroxyethyl)clavam	71	BGC0001151	https://antismash-db.secondarymetabolites.org/go/NZ_KB904926.1/3736-27231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375265.1/NZ_KB904926/1/3736/27231
Salinispora	pacifica	CNT045	NZ_KB895217.1	102497	125991	blactam	False	valclavam / (-)-2-(2-hydroxyethyl)clavam	71	BGC0001151	https://antismash-db.secondarymetabolites.org/go/NZ_KB895217.1/102497-125991	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374765.1/NZ_KB895217/1/102497/125991
Salinispora	fenicalii	CNR942	NZ_KB894873.1	44920	68252	blactam	True	valclavam / (-)-2-(2-hydroxyethyl)clavam	64	BGC0001151	https://antismash-db.secondarymetabolites.org/go/NZ_KB894873.1/44920-68252	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374665.1/NZ_KB894873/1/44920/68252
Legionella	quinlivanii	CDC#1442-AUS-E	NZ_LNYS01000008.1	630690	666687	bacteriocin - blactam - t1nrps hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LNYS01000008.1/630690-666687	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001467975.1/NZ_LNYS01000008/1/630690/666687
Salinispora	pacifica	CNT584	NZ_KB896782.1	53307	76801	blactam	False	valclavam / (-)-2-(2-hydroxyethyl)clavam	71	BGC0001151	https://antismash-db.secondarymetabolites.org/go/NZ_KB896782.1/53307-76801	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375245.1/NZ_KB896782/1/53307/76801
Burkholderia	plantarii	ZJ171	NZ_CP007213.1	3481452	3502943	blactam	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP007213.1/3481452-3502943	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001411805.1/NZ_CP007213/1/3481452/3502943
Providencia	rettgeri	PR1	NZ_CP017671.1	2960899	2982405	blactam	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017671.1/2960899-2982405	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001874625.1/NZ_CP017671/1/2960899/2982405
