#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904825.1	363685	394651	nrps-like	True	stenothricin	31	BGC0000431	https://antismash-db.secondarymetabolites.org/go/NZ_KB904825.1/363685-394651	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904825/1/363685/394651
Fluoribacter	dumoffii	Tex-KL	NZ_CM001371.1	332612	374612	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM001371.1/332612-374612	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000236145.1/NZ_CM001371/1/332612/374612
Fluoribacter	dumoffii	Tex-KL	NZ_CM001371.1	418114	488287	nrps-like - transat-pks-like hybrid	False	legioliulin	50	BGC0000180	https://antismash-db.secondarymetabolites.org/go/NZ_CM001371.1/418114-488287	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000236145.1/NZ_CM001371/1/418114/488287
Fusobacterium	nucleatum	KCOM 1322	NZ_CP012716.1	1639050	1681549	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP012716.1/1639050-1681549	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001296165.1/NZ_CP012716/1/1639050/1681549
Salinispora	pacifica	CNQ768	NZ_KB904832.1	63058	115473	bacteriocin - nrps-like - t1pks hybrid	False	lymphostin / neolymphostinol B / lymphostinol / neolymphostin B	100	BGC0001006	https://antismash-db.secondarymetabolites.org/go/NZ_KB904832.1/63058-115473	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904832/1/63058/115473
Salinispora	pacifica	CNQ768	NZ_KB904844.1	11633	78926	nrps-like - t3pks hybrid	False	diazepinomicin	17	BGC0000679	https://antismash-db.secondarymetabolites.org/go/NZ_KB904844.1/11633-78926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904844/1/11633/78926
Pseudomonas	fluorescens	PA3G8	NZ_CABVJB010000006.1	0	24309	nrps-like	True	fragin	37	BGC0001599	https://antismash-db.secondarymetabolites.org/go/NZ_CABVJB010000006.1/0-24309	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498155.1/NZ_CABVJB010000006/1/0/24309
Pseudomonas	fluorescens	PA3G8	NZ_CABVJB010000008.1	38131	80909	nrps-like	False	kirromycin	3	BGC0001070	https://antismash-db.secondarymetabolites.org/go/NZ_CABVJB010000008.1/38131-80909	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498155.1/NZ_CABVJB010000008/1/38131/80909
Microbacterium	Unclassified	RG1	NZ_CP034121.1	1643466	1687399	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP034121.1/1643466-1687399	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005347485.1/NZ_CP034121/1/1643466/1687399
Unclassified	bacterium	None	NZ_UBKJ01000003.1	34998	79105	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBKJ01000003.1/34998-79105	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900465915.1/NZ_UBKJ01000003/1/34998/79105
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	1054040	1094718	betalactone - nrps-like hybrid	False	pyoverdin	2	BGC0000413	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/1054040-1094718	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/1054040/1094718
Glaciimonas	Unclassified	GS1	NZ_WINI01000001.1	521287	565352	nrps-like	False	paulomycin	3	BGC0001732	https://antismash-db.secondarymetabolites.org/go/NZ_WINI01000001.1/521287-565352	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009497155.1/NZ_WINI01000001/1/521287/565352
Pseudomonas	fluorescens	PA3G8	NZ_JBOO01000049.1	0	23413	nrps-like	True	fragin	37	BGC0001599	https://antismash-db.secondarymetabolites.org/go/NZ_JBOO01000049.1/0-23413	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_JBOO01000049/1/0/23413
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	4519101	4560567	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/4519101-4560567	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/4519101/4560567
Bacillus	cereus	FORC087	NZ_WBPC01000023.1	0	40357	nrps-like	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000023.1/0-40357	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000023/1/0/40357
Pseudomonas	fluorescens	PA3G8	NZ_CABVIC010000005.1	0	31915	nrps-like	True	fragin	37	BGC0001599	https://antismash-db.secondarymetabolites.org/go/NZ_CABVIC010000005.1/0-31915	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498125.1/NZ_CABVIC010000005/1/0/31915
Duganella	Unclassified	LX47W	NZ_JACEZU010000003.1	412685	455952	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACEZU010000003.1/412685-455952	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014042355.1/NZ_JACEZU010000003/1/412685/455952
Bacillus	cereus	FORC087	NZ_CP029454.1	396725	438917	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029454.1/396725-438917	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006384875.1/NZ_CP029454/1/396725/438917
Bacillus	cereus	FORC087	NZ_WBPO01000023.1	16470	56682	bacteriocin - nrps-like hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPO01000023.1/16470-56682	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923485.1/NZ_WBPO01000023/1/16470/56682
Bacillus	cereus	FORC087	NZ_WBPO01000026.1	0	25502	nrps-like	True	anabaenopeptin NZ857 / nostamide A	100	BGC0001479	https://antismash-db.secondarymetabolites.org/go/NZ_WBPO01000026.1/0-25502	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923485.1/NZ_WBPO01000026/1/0/25502
Williamsia	limnetica	DSM 45521	NZ_QJSP01000007.1	20753	121422	nrps-like - t1nrps hybrid	False	nocobactin NA	100	BGC0001027	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000007.1/20753-121422	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000007/1/20753/121422
Paenibacillus	lautus	BHU3	NZ_NXFP01000005.1	106650	150391	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NXFP01000005.1/106650-150391	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002407025.1/NZ_NXFP01000005/1/106650/150391
Ralstonia	solanacearum	RSCM	NZ_CP025986.1	669990	722838	nrps-like - siderophore hybrid	False	staphylobactin	18	BGC0000943	https://antismash-db.secondarymetabolites.org/go/NZ_CP025986.1/669990-722838	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002894285.1/NZ_CP025986/1/669990/722838
Ralstonia	solanacearum	RSCM	NZ_CP025986.1	2118497	2161311	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025986.1/2118497-2161311	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002894285.1/NZ_CP025986/1/2118497/2161311
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	1835166	1923198	nrps-like - siderophore - t1nrps - t1pks hybrid	False	α-lipomycin	90	BGC0001003	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/1835166-1923198	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/1835166/1923198
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	2253640	2300579	nrps-like - t1pks hybrid	False	undecylprodigiosin	100	BGC0001063	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/2253640-2300579	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/2253640/2300579
Pseudomonas	Unclassified	NFACC39-1	NZ_FODL01000025.1	0	24025	nrps-like	True	fragin	37	BGC0001599	https://antismash-db.secondarymetabolites.org/go/NZ_FODL01000025.1/0-24025	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110355.1/NZ_FODL01000025/1/0/24025
Streptococcus	anginosus	1001175st1_H11	NZ_SPGD01000013.1	0	21939	nrps-like	True	thermophilin 1277	35	BGC0000561	https://antismash-db.secondarymetabolites.org/go/NZ_SPGD01000013.1/0-21939	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005844435.1/NZ_SPGD01000013/1/0/21939
Serratia	marcescens	2880STDY5682988	NZ_FCMR01000002.1	336991	389206	hserlactone - nrps-like hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FCMR01000002.1/336991-389206	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001539065.1/NZ_FCMR01000002/1/336991/389206
Sorangium	cellulosum	So ce 56	NC_010162.1	11124305	11168063	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/11124305-11168063	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/11124305/11168063
Streptococcus	thermophilus	LMG 18311	NC_006448.1	264826	307718	nrps-like	False	asukamycin	4	BGC0000187	https://antismash-db.secondarymetabolites.org/go/NC_006448.1/264826-307718	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000011825.1/NC_006448/1/264826/307718
Serratia	Unclassified	MYb239	NZ_CP023268.1	461090	502224	nrps-like	False	yersiniabactin	4	BGC0001055	https://antismash-db.secondarymetabolites.org/go/NZ_CP023268.1/461090-502224	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002966855.1/NZ_CP023268/1/461090/502224
Vibrio	natriegens	CCUG 16374	NZ_CP016352.1	1410600	1453429	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016352.1/1410600-1453429	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001680085.1/NZ_CP016352/1/1410600/1453429
Corynebacterium	Unclassified	HMSC072D01	NZ_KV836117.1	0	37333	nrps-like	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV836117.1/0-37333	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001838245.1/NZ_KV836117/1/0/37333
Streptococcus	thermophilus	TH982	NZ_CM003136.1	243195	286087	nrps-like	False	asukamycin	4	BGC0000187	https://antismash-db.secondarymetabolites.org/go/NZ_CM003136.1/243195-286087	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000572065.1/NZ_CM003136/1/243195/286087
Pseudomonas	linyingensis	LMG 25967	NZ_FNZE01000009.1	98997	141808	nrps-like	False	lipopeptide 8D1-1 / lipopeptide 8D1-2	6	BGC0001370	https://antismash-db.secondarymetabolites.org/go/NZ_FNZE01000009.1/98997-141808	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109175.1/NZ_FNZE01000009/1/98997/141808
Bacillus	velezensis	P34	NZ_JAAHBR010000018.1	0	21884	nrps-like	True	rhizocticin A	12	BGC0000926	https://antismash-db.secondarymetabolites.org/go/NZ_JAAHBR010000018.1/0-21884	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010671715.1/NZ_JAAHBR010000018/1/0/21884
Serratia	marcescens	2880STDY5682988	NZ_NGUE01000001.1	4809928	4862064	hserlactone - nrps-like hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NGUE01000001.1/4809928-4862064	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002153355.1/NZ_NGUE01000001/1/4809928/4862064
Pseudomonas	Unclassified	NFACC42-2	NZ_FOZO01000024.1	0	26470	nrps-like	True	L-2-amino-4-methoxy-trans-3-butenoic acid	40	BGC0000287	https://antismash-db.secondarymetabolites.org/go/NZ_FOZO01000024.1/0-26470	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900116055.1/NZ_FOZO01000024/1/0/26470
Bacteroides	fragilis	HMW 610	NZ_JH815482.1	1105320	1147750	nrps-like	False	polysaccharide B	6	BGC0001411	https://antismash-db.secondarymetabolites.org/go/NZ_JH815482.1/1105320-1147750	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000297695.1/NZ_JH815482/1/1105320/1147750
Bacteroides	fragilis	DCMOUH0085B	NZ_CP037440.1	4269881	4312311	nrps-like	False	polysaccharide B	6	BGC0001411	https://antismash-db.secondarymetabolites.org/go/NZ_CP037440.1/4269881-4312311	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000724815.2/NZ_CP037440/1/4269881/4312311
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000001.1	1108911	1151887	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000001.1/1108911-1151887	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000001/1/1108911/1151887
Novosphingobium	acidiphilum	DSM 19966	NZ_AUBA01000007.1	70627	114626	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AUBA01000007.1/70627-114626	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000429005.1/NZ_AUBA01000007/1/70627/114626
Nitrococcus	mobilis	Nb-231	NZ_CH672427.1	3028780	3070018	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CH672427.1/3028780-3070018	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000153205.1/NZ_CH672427/1/3028780/3070018
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000005.1	252097	293954	betalactone - nrps-like hybrid	False	pyoverdin	2	BGC0000413	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000005.1/252097-293954	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000005/1/252097/293954
Actinoplanes	lutulentus	CGMCC 4.7090	NZ_QLMJ01000029.1	40653	84535	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QLMJ01000029.1/40653-84535	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003259845.1/NZ_QLMJ01000029/1/40653/84535
Bacillus	cereus	HuB4-4	NZ_KB976537.1	352318	395420	nrps-like	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB976537.1/352318-395420	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000399305.1/NZ_KB976537/1/352318/395420
Bacillus	cereus	FORC087	NZ_NUVN01000027.1	112807	161996	lap - nrps-like - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUVN01000027.1/112807-161996	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002565245.1/NZ_NUVN01000027/1/112807/161996
