#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Peltaster	fructicola	LNHT1506	CP051142.1	394699	428124	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/CP051142.1/394699-428124	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCA_001592805.2/CP051142/1/394699/428124
Schizophyllum	commune	H4-8	NW_003315672.1	5870793	5913546	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_003315672.1/5870793-5913546	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000143185.1/NW_003315672/1/5870793/5913546
Verticillium	dahliae	VdLs.17	NW_009276922.1	503233	537429	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_009276922.1/503233-537429	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000150675.1/NW_009276922/1/503233/537429
Neurospora	crassa	OR74A	NC_026507.1	3719346	3766910	fungal-ripp	False	ustiloxin B	10	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NC_026507.1/3719346-3766910	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000182925.2/NC_026507/1/3719346/3766910
Aspergillus	oryzae	RIB40	NC_036439.1	4089078	4129971	fungal-ripp	False	ustiloxin B	68	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NC_036439.1/4089078-4129971	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000184455.2/NC_036439/1/4089078/4129971
Metarhizium	robertsii	ARSEF 23	NW_011942160.1	1259008	1292867	fungal-ripp	False	ustiloxin B	10	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NW_011942160.1/1259008-1292867	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000187425.2/NW_011942160/1/1259008/1292867
Metarhizium	robertsii	ARSEF 23	NW_011942182.1	487092	533594	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_011942182.1/487092-533594	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000187425.2/NW_011942182/1/487092/533594
Zymoseptoria	tritici	IPO323	NC_018217.1	1006841	1060878	fungal-ripp - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_018217.1/1006841-1060878	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000219625.1/NC_018217/1/1006841/1060878
Zymoseptoria	tritici	IPO323	NC_018217.1	3304052	3337352	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_018217.1/3304052-3337352	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000219625.1/NC_018217/1/3304052/3337352
Zymoseptoria	tritici	IPO323	NC_018215.1	1666685	1708749	fungal-ripp	False	ustiloxin B	10	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NC_018215.1/1666685-1708749	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000219625.1/NC_018215/1/1666685/1708749
