#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904831.1	83094	104261	amglyccycl	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904831.1/83094-104261	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904831/1/83094/104261
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	482079	503333	amglyccycl	False	cetoniacytone A	9	BGC0000283	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/482079-503333	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/482079/503333
Lechevalieria	aerocolonigenes	NBRC 13195	NZ_BBOJ01000005.1	159734	180919	amglyccycl	False	cetoniacytone A	9	BGC0000283	https://antismash-db.secondarymetabolites.org/go/NZ_BBOJ01000005.1/159734-180919	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000974445.1/NZ_BBOJ01000005/1/159734/180919
Frankia	alni	ACN14A	NC_008278.1	5002778	5062637	amglyccycl - other - pks-like hybrid	False	cetoniacytone A	38	BGC0000283	https://antismash-db.secondarymetabolites.org/go/NC_008278.1/5002778-5062637	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000058485.1/NC_008278/1/5002778/5062637
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257834.1	720414	741557	amglyccycl	False	cetoniacytone A	9	BGC0000283	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257834.1/720414-741557	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257834/1/720414/741557
Streptomyces	fradiae	ATCC 10745	NZ_CP023696.1	6215715	6250147	amglyccycl	False	neomycin	60	BGC0000709	https://antismash-db.secondarymetabolites.org/go/NZ_CP023696.1/6215715-6250147	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704425.1/NZ_CP023696/1/6215715/6250147
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	6052690	6079735	amglyccycl - butyrolactone hybrid	False	pyralomicin 1a	18	BGC0001038	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/6052690-6079735	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/6052690/6079735
Streptomyces	luteoverticillatus	CGMCC 15060	NZ_CP034587.1	6048195	6174460	amglyccycl - lanthipeptide - nrps-like - t1pks - terpene hybrid	False	hygromycin A	54	BGC0000699	https://antismash-db.secondarymetabolites.org/go/NZ_CP034587.1/6048195-6174460	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003970715.1/NZ_CP034587/1/6048195/6174460
Actinoplanes	teichomyceticus	ATCC 31121	NZ_CP023865.1	2419150	2440275	amglyccycl	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023865.1/2419150-2440275	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003711105.1/NZ_CP023865/1/2419150/2440275
Agrobacterium	vitis	CG118	NZ_WPHV01000002.1	11684	61085	amglyccycl - nrps-like - t1pks hybrid	False	pyralomicin 1a	14	BGC0001038	https://antismash-db.secondarymetabolites.org/go/NZ_WPHV01000002.1/11684-61085	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009744235.1/NZ_WPHV01000002/1/11684/61085
Salinispora	pacifica	CNT609	NZ_KB904943.1	40425	61592	amglyccycl	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904943.1/40425-61592	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375265.1/NZ_KB904943/1/40425/61592
Streptomyces	cyaneus	CGMCC 4.1671	NZ_ML138678.1	844701	865943	amglyccycl	False	acarbose	10	BGC0000691	https://antismash-db.secondarymetabolites.org/go/NZ_ML138678.1/844701-865943	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004028635.1/NZ_ML138678/1/844701/865943
Salinispora	pacifica	CNT045	NZ_KB895208.1	22128	43295	amglyccycl	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB895208.1/22128-43295	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374765.1/NZ_KB895208/1/22128/43295
Streptomyces	Unclassified	150FB	NZ_JTHL01000001.1	3790915	3863553	amglyccycl - phenazine - pks-like - t1nrps - t1pks hybrid	False	streptophenazine B / streptophenazine C / streptophenazine F / streptophenazine G / streptophenazine H	89	BGC0002010	https://antismash-db.secondarymetabolites.org/go/NZ_JTHL01000001.1/3790915-3863553	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000818195.1/NZ_JTHL01000001/1/3790915/3863553
Streptomyces	corchorusii	DSM 40340	NZ_KQ948381.1	0	26857	amglyccycl - t1pks hybrid	True	β-D-galactosylvalidoxylamine-A	54	BGC0000723	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948381.1/0-26857	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514055.1/NZ_KQ948381/1/0/26857
