#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Brevundimonas	diminuta	ATCC(B) 19146	NZ_LBNT01000004.1	199703	240840	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LBNT01000004.1/199703-240840	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000988015.1/NZ_LBNT01000004/1/199703/240840
Sorangium	cellulosum	So ce 56	NC_010162.1	11773770	11814901	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/11773770-11814901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/11773770/11814901
Variovorax	paradoxus	4MFCol3.1	NZ_KB905051.1	35592	77536	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB905051.1/35592-77536	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377585.1/NZ_KB905051/1/35592/77536
Variovorax	paradoxus	4MFCol3.1	NZ_KB905074.1	0	25969	arylpolyene - resorcinol hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB905074.1/0-25969	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377585.1/NZ_KB905074/1/0/25969
Arcobacter	cryaerophilus	L406	NZ_LRUV01000051.1	0	48361	arylpolyene - resorcinol hybrid	True	flexirubin	8	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_LRUV01000051.1/0-48361	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001572875.1/NZ_LRUV01000051/1/0/48361
Phocaeicola	vulgatus	OF05-20BH	NZ_QSVY01000002.1	280002	311975	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QSVY01000002.1/280002-311975	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003439595.1/NZ_QSVY01000002/1/280002/311975
Bordetella	parapertussis	12822	NC_002928.3	90884	132798	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_002928.3/90884-132798	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000195695.1/NC_002928/3/90884/132798
Aggregatibacter	segnis	HK_296	NZ_NRCW01000003.1	46426	97235	arylpolyene - resorcinol hybrid	False	APE Vf	35	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_NRCW01000003.1/46426-97235	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003130075.1/NZ_NRCW01000003/1/46426/97235
Arcobacter	butzleri	L349	NZ_JAIR01000005.1	0	47282	arylpolyene - resorcinol hybrid	True	flexirubin	5	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_JAIR01000005.1/0-47282	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001010605.1/NZ_JAIR01000005/1/0/47282
Bacteroides	eggerthii	DSM 20697	NZ_DS995508.1	476368	517508	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_DS995508.1/476368-517508	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000155815.1/NZ_DS995508/1/476368/517508
Prevotella	corporis	DSM 18810	NZ_AUME01000055.1	0	14450	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AUME01000055.1/0-14450	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000430525.1/NZ_AUME01000055/1/0/14450
Pseudomonas	Unclassified	None	NZ_LR733252.1	2578805	2623117	arylpolyene - resorcinol hybrid	False	alginate	25	BGC0000725	https://antismash-db.secondarymetabolites.org/go/NZ_LR733252.1/2578805-2623117	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902506475.1/NZ_LR733252/1/2578805/2623117
Bacteroides	uniformis	AM28-49	NZ_QSKD01000063.1	0	2542	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QSKD01000063.1/0-2542	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003469475.1/NZ_QSKD01000063/1/0/2542
Bacteroides	uniformis	AM28-49	NZ_QSKD01000070.1	0	1814	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QSKD01000070.1/0-1814	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003469475.1/NZ_QSKD01000070/1/0/1814
Bordetella	bronchiseptica	I328	NZ_CP016431.1	84269	126183	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016431.1/84269-126183	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001704355.1/NZ_CP016431/1/84269/126183
Variovorax	paradoxus	5C-2	NZ_CP045644.1	4918002	4958705	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP045644.1/4918002-4958705	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009498455.1/NZ_CP045644/1/4918002/4958705
Variovorax	paradoxus	5C-2	NZ_CP045644.1	6169107	6215133	arylpolyene - resorcinol hybrid	False	lipopolysaccharide	5	BGC0000774	https://antismash-db.secondarymetabolites.org/go/NZ_CP045644.1/6169107-6215133	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009498455.1/NZ_CP045644/1/6169107/6215133
Neisseria	meningitidis	2842STDY5881060	NZ_JVYR01000068.1	0	17250	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JVYR01000068.1/0-17250	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001061215.1/NZ_JVYR01000068/1/0/17250
Neisseria	mucosa	FDAARGOS_758	NZ_CP053939.1	2014017	2077298	arylpolyene - resorcinol hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053939.1/2014017-2077298	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013267835.1/NZ_CP053939/1/2014017/2077298
Phenylobacterium	Unclassified	Root700	NZ_LMHT01000011.1	20785	61864	resorcinol	False	pyoverdin	1	BGC0000413	https://antismash-db.secondarymetabolites.org/go/NZ_LMHT01000011.1/20785-61864	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001429025.1/NZ_LMHT01000011/1/20785/61864
Chitinophaga	Unclassified	XS-30	NZ_CP043006.1	1973880	2020137	arylpolyene - resorcinol hybrid	False	flexirubin	13	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_CP043006.1/1973880-2020137	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008086345.1/NZ_CP043006/1/1973880/2020137
Cytophaga	hutchinsonii	ATCC 33406	NC_008255.1	437211	481078	arylpolyene - resorcinol hybrid	False	flexirubin	16	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NC_008255.1/437211-481078	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000014145.1/NC_008255/1/437211/481078
Schumannella	Unclassified	10F1D-1	NZ_VHQG01000001.1	340005	381217	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VHQG01000001.1/340005-381217	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006517435.1/NZ_VHQG01000001/1/340005/381217
Pseudomonas	Unclassified	SR9	NZ_JACJFN010000001.1	656378	700696	arylpolyene - resorcinol hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACJFN010000001.1/656378-700696	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014164785.1/NZ_JACJFN010000001/1/656378/700696
Bordetella	bronchiseptica	MO149	NC_018829.1	88657	130571	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_018829.1/88657-130571	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000317955.1/NC_018829/1/88657/130571
Agromyces	Unclassified	KACC 19306	NZ_CP043505.1	1104105	1145248	resorcinol	False	formicamycins A-M	4	BGC0001590	https://antismash-db.secondarymetabolites.org/go/NZ_CP043505.1/1104105-1145248	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008365295.1/NZ_CP043505/1/1104105/1145248
Marinobacter	persicus	UTICA-S1B3	NZ_PTIV01000006.1	0	45189	arylpolyene - resorcinol hybrid	True	APE Vf	30	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_PTIV01000006.1/0-45189	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002934325.1/NZ_PTIV01000006/1/0/45189
Chlorogloeopsis	fritschii	PCC 6912	NZ_RSCJ01000008.1	76263	131001	hgle-ks - resorcinol hybrid	False	heterocyst glycolipids	57	BGC0000869	https://antismash-db.secondarymetabolites.org/go/NZ_RSCJ01000008.1/76263-131001	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003990575.1/NZ_RSCJ01000008/1/76263/131001
Demequina	Unclassified	NBRC 110055	NZ_BBRL01000004.1	930436	971564	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BBRL01000004.1/930436-971564	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002090135.1/NZ_BBRL01000004/1/930436/971564
Glycomyces	albidus	NEAU-7082	NZ_WIAO01000028.1	42503	72288	resorcinol	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WIAO01000028.1/42503-72288	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009451885.1/NZ_WIAO01000028/1/42503/72288
Chitinophaga	Unclassified	MD30	NZ_CP023254.1	7386851	7433217	arylpolyene - resorcinol hybrid	False	flexirubin	16	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_CP023254.1/7386851-7433217	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002290065.1/NZ_CP023254/1/7386851/7433217
Flavobacterium	Unclassified	Root935	NZ_LMJL01000007.1	592629	646772	arylpolyene - resorcinol hybrid	False	flexirubin	94	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_LMJL01000007.1/592629-646772	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001429295.1/NZ_LMJL01000007/1/592629/646772
Chryseobacterium	Unclassified	G0186	NZ_CP033918.1	2811955	2887445	arylpolyene - resorcinol hybrid	False	flexirubin	77	BGC0000838	https://antismash-db.secondarymetabolites.org/go/NZ_CP033918.1/2811955-2887445	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003815675.1/NZ_CP033918/1/2811955/2887445
Achromobacter	piechaudii	ATCC 43553	NZ_GG770409.1	548413	590348	resorcinol	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_GG770409.1/548413-590348	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000164035.1/NZ_GG770409/1/548413/590348
