#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pseudomonas	fluorescens	PA3G8	NZ_KN639174.1	3349533	3370531	phenazine	False	lomofungin	30	BGC0001302	https://antismash-db.secondarymetabolites.org/go/NZ_KN639174.1/3349533-3370531	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639174/1/3349533/3370531
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	2701617	2721441	phenazine	False	pyocyanine	100	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/2701617-2721441	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/2701617/2721441
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	4689370	4749646	phenazine - t1nrps hybrid	False	marinophenazine A / phenaziterpene A	30	BGC0001221	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/4689370-4749646	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/4689370/4749646
Sorangium	cellulosum	So ce 56	NC_010162.1	997084	1017540	phenazine	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/997084-1017540	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/997084/1017540
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	5482375	5502864	phenazine	False	lomofungin	34	BGC0001302	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/5482375-5502864	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/5482375/5502864
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000001.1	1275825	1287365	phenazine	True	endophenazine A / endophenazine B	16	BGC0001080	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000001.1/1275825-1287365	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000001/1/1275825/1287365
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000004.1	0	11334	phenazine	True	pyocyanine	42	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000004.1/0-11334	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000004/1/0/11334
Pseudomonas	aeruginosa	YL84	NZ_CP007147.1	25115	84463	phenazine - t1nrps hybrid	False	marinophenazine A / phenaziterpene A	30	BGC0001221	https://antismash-db.secondarymetabolites.org/go/NZ_CP007147.1/25115-84463	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000524595.1/NZ_CP007147/1/25115/84463
Pseudomonas	aeruginosa	YL84	NZ_CP007147.1	3737223	3758236	phenazine	False	endophenazine A / endophenazine B	38	BGC0001080	https://antismash-db.secondarymetabolites.org/go/NZ_CP007147.1/3737223-3758236	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000524595.1/NZ_CP007147/1/3737223/3758236
Pseudomonas	aeruginosa	NCTC11445	NZ_JTQG01000010.1	66184	78503	phenazine	True	pyocyanine	57	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_JTQG01000010.1/66184-78503	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000791785.1/NZ_JTQG01000010/1/66184/78503
Pseudomonas	aeruginosa	NCTC11445	NZ_JTQG01000051.1	19387	31700	phenazine	True	pyocyanine	57	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_JTQG01000051.1/19387-31700	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000791785.1/NZ_JTQG01000051/1/19387/31700
Pseudomonas	aeruginosa	NCTC11445	NZ_JTQH01000020.1	66138	77357	phenazine	True	pyocyanine	42	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_JTQH01000020.1/66138-77357	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000791765.1/NZ_JTQH01000020/1/66138/77357
Pseudomonas	aeruginosa	NCTC11445	NZ_JTQH01000028.1	0	11213	phenazine	True	pyocyanine	42	BGC0000936	https://antismash-db.secondarymetabolites.org/go/NZ_JTQH01000028.1/0-11213	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000791765.1/NZ_JTQH01000028/1/0/11213
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	3567567	3636300	phenazine - t1nrps hybrid	False	ishigamide	55	BGC0001623	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/3567567-3636300	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/3567567/3636300
