#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	7980947	8002075	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	23	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/7980947-8002075	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/7980947/8002075
Actinoplanes	lutulentus	CGMCC 4.7090	NZ_QLMJ01000001.1	394482	415562	indole	False	fortimicin	13	BGC0000695	https://antismash-db.secondarymetabolites.org/go/NZ_QLMJ01000001.1/394482-415562	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003259845.1/NZ_QLMJ01000001/1/394482/415562
Lechevalieria	aerocolonigenes	NBRC 13195	NZ_BBOJ01000021.1	37506	58526	indole	False	fortimicin	6	BGC0000695	https://antismash-db.secondarymetabolites.org/go/NZ_BBOJ01000021.1/37506-58526	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000974445.1/NZ_BBOJ01000021/1/37506/58526
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	8149475	8170717	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	23	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/8149475-8170717	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/8149475/8170717
Streptomyces	griseoruber	DSM 40281	NZ_KQ948763.1	596786	685741	indole - t2pks hybrid	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948763.1/596786-685741	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514205.1/NZ_KQ948763/1/596786/685741
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257834.1	1167616	1188762	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	23	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257834.1/1167616-1188762	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257834/1/1167616/1188762
Streptomyces	fradiae	ATCC 10745	NZ_CP023696.1	662336	685768	indole	False	staurosporine	60	BGC0000825	https://antismash-db.secondarymetabolites.org/go/NZ_CP023696.1/662336-685768	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704425.1/NZ_CP023696/1/662336/685768
Streptomyces	purpureus	KA281	NZ_KB913030.1	6594308	6617644	indole	False	staurosporine	100	BGC0000825	https://antismash-db.secondarymetabolites.org/go/NZ_KB913030.1/6594308-6617644	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000384175.1/NZ_KB913030/1/6594308/6617644
Mycobacterium	Unclassified	QIA-37	NZ_CP010071.1	3299484	3353092	indole - t1nrps hybrid	False	caldoniamide A / cladoniamide B / cladoniamide C7 / cladoniamide D / cladoniamide E / cladoniamide F / cladoniamide G	61	BGC0001334	https://antismash-db.secondarymetabolites.org/go/NZ_CP010071.1/3299484-3353092	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001611855.1/NZ_CP010071/1/3299484/3353092
Streptomyces	Unclassified	SYP-A7193	NZ_CP045547.1	7911201	7932329	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	23	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_CP045547.1/7911201-7932329	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009495655.1/NZ_CP045547/1/7911201/7932329
Saccharopolyspora	erythraea	NRRL 2338	NC_009142.1	2128534	2149623	indole	False	fortimicin	6	BGC0000695	https://antismash-db.secondarymetabolites.org/go/NC_009142.1/2128534-2149623	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000062885.1/NC_009142/1/2128534/2149623
Pseudoalteromonas	luteoviolacea	HI1	NZ_JWIC01000005.1	450583	513358	indole - t3pks hybrid	False	violacein	80	BGC0000831	https://antismash-db.secondarymetabolites.org/go/NZ_JWIC01000005.1/450583-513358	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000814765.1/NZ_JWIC01000005/1/450583/513358
Streptomyces	Unclassified	OM5714	NZ_WHZR01000001.1	7652565	7673693	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	23	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_WHZR01000001.1/7652565-7673693	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010993835.1/NZ_WHZR01000001/1/7652565/7673693
Saccharomonospora	viridis	DSM 43017	NC_013159.1	4064081	4085173	indole	False	fortimicin	9	BGC0000695	https://antismash-db.secondarymetabolites.org/go/NC_013159.1/4064081-4085173	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000023865.1/NC_013159/1/4064081/4085173
Streptomyces	luteoverticillatus	CGMCC 15060	NZ_CP034587.1	928792	993396	indole - t1nrps hybrid	False	teleocidin B1	100	BGC0001085	https://antismash-db.secondarymetabolites.org/go/NZ_CP034587.1/928792-993396	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003970715.1/NZ_CP034587/1/928792/993396
Streptomyces	luteoverticillatus	CGMCC 15060	NZ_CP034587.1	5893911	5959857	indole - nrps-like hybrid	False	reductasporine	50	BGC0001224	https://antismash-db.secondarymetabolites.org/go/NZ_CP034587.1/5893911-5959857	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003970715.1/NZ_CP034587/1/5893911/5959857
Chlorogloeopsis	fritschii	PCC 6912	NZ_RSCJ01000009.1	52079	75601	indole	False	fischerindole	26	BGC0001595	https://antismash-db.secondarymetabolites.org/go/NZ_RSCJ01000009.1/52079-75601	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003990575.1/NZ_RSCJ01000009/1/52079/75601
Tetrasphaera	Unclassified	F2B08	NZ_WESE01000002.1	634877	656179	indole	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WESE01000002.1/634877-656179	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009184895.1/NZ_WESE01000002/1/634877/656179
Mycobacteroides	chelonae	MOTT36W	NZ_CP031516.1	3528480	3581874	indole - t1nrps hybrid	False	caldoniamide A / cladoniamide B / cladoniamide C7 / cladoniamide D / cladoniamide E / cladoniamide F / cladoniamide G	61	BGC0001334	https://antismash-db.secondarymetabolites.org/go/NZ_CP031516.1/3528480-3581874	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003390495.1/NZ_CP031516/1/3528480/3581874
Myxococcus	xanthus	MC3.3.5c16	NZ_CP017173.1	7735392	7758404	indole	False	violacein	80	BGC0000831	https://antismash-db.secondarymetabolites.org/go/NZ_CP017173.1/7735392-7758404	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006402415.1/NZ_CP017173/1/7735392/7758404
Streptomyces	Unclassified	NA02950	NZ_CP054916.1	5593873	5616387	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	57	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_CP054916.1/5593873-5616387	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013364155.1/NZ_CP054916/1/5593873/5616387
Lentzea	guizhouensis	DHS C013	NZ_CP016793.1	9285832	9307788	indole	False	BE-54017	85	BGC0001333	https://antismash-db.secondarymetabolites.org/go/NZ_CP016793.1/9285832-9307788	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001701025.1/NZ_CP016793/1/9285832/9307788
Lentzea	guizhouensis	DHS C013	NZ_CP016793.1	9363786	9440248	indole - t1pks hybrid	False	maytansine / ansamitocin P-3	14	BGC0000020	https://antismash-db.secondarymetabolites.org/go/NZ_CP016793.1/9363786-9440248	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001701025.1/NZ_CP016793/1/9363786/9440248
Streptomyces	tendae	VITAKN	NZ_JAAIFS010000005.1	130509	151637	indole	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	33	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_JAAIFS010000005.1/130509-151637	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010820575.1/NZ_JAAIFS010000005/1/130509/151637
Actinoplanes	teichomyceticus	ATCC 31121	NZ_CP023865.1	1715620	1738890	indole	False	erdasporine A / erdasporine B / erdasporine C	71	BGC0001336	https://antismash-db.secondarymetabolites.org/go/NZ_CP023865.1/1715620-1738890	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003711105.1/NZ_CP023865/1/1715620/1738890
Streptomyces	Unclassified	S1A1-7	NZ_CP041604.2	9862731	9983627	indole - nrps-like - other - t2pks hybrid	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP041604.2/9862731-9983627	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007113565.2/NZ_CP041604/2/9862731/9983627
Streptomyces	scabiei	NCPPB 4066	NZ_KL997514.1	681851	744542	indole - t1pks hybrid	False	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	28	BGC0001483	https://antismash-db.secondarymetabolites.org/go/NZ_KL997514.1/681851-744542	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000738715.1/NZ_KL997514/1/681851/744542
Kibdelosporangium	aridum	DSM 43828	NZ_FWXV01000001.1	512128	533073	indole	False	borrelidin	5	BGC0001533	https://antismash-db.secondarymetabolites.org/go/NZ_FWXV01000001.1/512128-533073	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900176515.1/NZ_FWXV01000001/1/512128/533073
