#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Sinorhizobium	fredii	ccbau 45436	NZ_CP029233.1	212264	233680	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029233.1/212264-233680	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003100575.1/NZ_CP029233/1/212264/233680
Rhizobium	leguminosarum	SM151C	NZ_SIQL01000008.1	0	17938	bacteriocin - proteusin hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQL01000008.1/0-17938	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303515.1/NZ_SIQL01000008/1/0/17938
Rhizobium	leguminosarum	SM151C	NZ_SIPZ01000006.1	177759	199238	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPZ01000006.1/177759-199238	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303775.1/NZ_SIPZ01000006/1/177759/199238
Rhizobium	leguminosarum	WSM2304	NC_011368.1	599676	621170	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_011368.1/599676-621170	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000021345.1/NC_011368/1/599676/621170
Rhizobium	leguminosarum	9B	NZ_CP050102.1	197127	226727	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050102.1/197127-226727	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011604485.1/NZ_CP050102/1/197127/226727
Rhizobium	leguminosarum	SM151C	NZ_SIPF01000001.1	1927509	1956619	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPF01000001.1/1927509-1956619	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303875.1/NZ_SIPF01000001/1/1927509/1956619
Rhizobium	leguminosarum	VF39	NZ_ATYQ01000049.1	0	8694	bacteriocin - proteusin hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_ATYQ01000049.1/0-8694	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000427765.1/NZ_ATYQ01000049/1/0/8694
Rhizobium	leguminosarum	SM151C	NZ_SIOH01000009.1	44481	57759	bacteriocin - proteusin hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOH01000009.1/44481-57759	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304475.1/NZ_SIOH01000009/1/44481/57759
Bradyrhizobium	Unclassified	SG09	NZ_AP021854.1	7897334	7914644	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP021854.1/7897334-7914644	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009176665.1/NZ_AP021854/1/7897334/7914644
Bradyrhizobium	Unclassified	SG09	NZ_AP021854.1	8022218	8043565	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP021854.1/8022218-8043565	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009176665.1/NZ_AP021854/1/8022218/8043565
Mesorhizobium	plurifarium	None	NZ_CCMZ01000020.1	70960	91788	proteusin	False	succinoglycan	33	BGC0000802	https://antismash-db.secondarymetabolites.org/go/NZ_CCMZ01000020.1/70960-91788	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000824745.1/NZ_CCMZ01000020/1/70960/91788
Sinorhizobium	fredii	NXT3	NZ_CP024309.1	46291	67815	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP024309.1/46291-67815	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002944405.1/NZ_CP024309/1/46291/67815
Unclassified	Unclassified	None	NZ_CACSII010000006.1	70431	92024	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CACSII010000006.1/70431-92024	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902705845.1/NZ_CACSII010000006/1/70431/92024
