#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904825.1	118885	141896	fused	False	ketomemicin B3 / ketomemicin B4	100	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB904825.1/118885-141896	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904825/1/118885/141896
Rhizobium	leguminosarum	SM151C	NZ_SIPJ01000001.1	510325	532780	fused	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPJ01000001.1/510325-532780	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303815.1/NZ_SIPJ01000001/1/510325/532780
Streptomyces	Unclassified	S1A1-7	NZ_CP041604.2	1782415	1805947	fused	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041604.2/1782415-1805947	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007113565.2/NZ_CP041604/2/1782415/1805947
Salinispora	pacifica	CNT609	NZ_KB904915.1	141975	164988	fused	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB904915.1/141975-164988	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375265.1/NZ_KB904915/1/141975/164988
Salinispora	fenicalii	CNR942	NZ_KB894865.1	87947	110957	fused	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB894865.1/87947-110957	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374665.1/NZ_KB894865/1/87947/110957
Salinispora	pacifica	CNT584	NZ_KB896764.1	173975	196986	fused	False	ketomemicin B3 / ketomemicin B4	100	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB896764.1/173975-196986	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375245.1/NZ_KB896764/1/173975/196986
Streptomyces	eurocidicus	CECT 3259	NZ_JACHJF010000011.1	92713	226405	fused - nrps-like - siderophore - t1nrps - t1pks - t3pks hybrid	False	pheganomycin	47	BGC0001148	https://antismash-db.secondarymetabolites.org/go/NZ_JACHJF010000011.1/92713-226405	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014203505.1/NZ_JACHJF010000011/1/92713/226405
Streptomyces	eurocidicus	CECT 3259	NZ_JACHJF010000020.1	51395	92463	fused - t3pks hybrid	False	pheganomycin	42	BGC0001148	https://antismash-db.secondarymetabolites.org/go/NZ_JACHJF010000020.1/51395-92463	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014203505.1/NZ_JACHJF010000020/1/51395/92463
Streptomyces	viridosporus	ATCC 39115	NZ_CP023700.1	578567	619692	fused - t3pks hybrid	False	pheganomycin	47	BGC0001148	https://antismash-db.secondarymetabolites.org/go/NZ_CP023700.1/578567-619692	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704515.1/NZ_CP023700/1/578567/619692
Streptomyces	cyaneogriseus	NMWT 1	NZ_CP010849.1	7679428	7762396	bacteriocin - fused - t1nrps - t1pks - t3pks hybrid	True	pheganomycin	38	BGC0001148	https://antismash-db.secondarymetabolites.org/go/NZ_CP010849.1/7679428-7762396	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000931445.1/NZ_CP010849/1/7679428/7762396
Salinispora	pacifica	CNT124	NZ_KB895293.1	176915	199926	fused	False	ketomemicin B3 / ketomemicin B4	100	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB895293.1/176915-199926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000374785.1/NZ_KB895293/1/176915/199926
Salinispora	Unclassified	H7-4	NZ_JABZED010000033.1	201423	214596	fused	True	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_JABZED010000033.1/201423-214596	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013416675.1/NZ_JABZED010000033/1/201423/214596
Streptomyces	Unclassified	S1A1-3	NZ_CP041611.1	1540951	1564483	fused	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041611.1/1540951-1564483	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007113465.1/NZ_CP041611/1/1540951/1564483
Streptomyces	Unclassified	RLB1-8	NZ_CP041650.2	1727702	1751234	fused	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP041650.2/1727702-1751234	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007113405.2/NZ_CP041650/2/1727702/1751234
Streptomyces	globosus	LZH-48	NZ_CP030864.1	371660	484893	bacteriocin - fused - lanthipeptide - t1nrps - t3pks hybrid	False	streptothricin	87	BGC0000432	https://antismash-db.secondarymetabolites.org/go/NZ_CP030864.1/371660-484893	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003325375.1/NZ_CP030864/1/371660/484893
Paenibacillus	Unclassified	E222	NZ_CP058552.1	4700940	4723411	fused	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP058552.1/4700940-4723411	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013401555.1/NZ_CP058552/1/4700940/4723411
Catelliglobosispora	koreensis	DSM 44566	NZ_KB903249.1	909681	1010500	arylpolyene - fused - t1nrps hybrid	False	kedarcidin	13	BGC0000081	https://antismash-db.secondarymetabolites.org/go/NZ_KB903249.1/909681-1010500	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000379685.1/NZ_KB903249/1/909681/1010500
Salinispora	arenicola	CNS744	NZ_KB896153.1	66147	89310	fused	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB896153.1/66147-89310	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375065.1/NZ_KB896153/1/66147/89310
Salinispora	arenicola	CNS299	NZ_KE384235.1	80702	103864	fused	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KE384235.1/80702-103864	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424745.1/NZ_KE384235/1/80702/103864
Salinispora	arenicola	CNS299	NZ_AUKM01000047.1	0	25897	fused - nrps-like hybrid	True	kendomycin	20	BGC0001066	https://antismash-db.secondarymetabolites.org/go/NZ_AUKM01000047.1/0-25897	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424745.1/NZ_AUKM01000047/1/0/25897
Saccharopolyspora	Unclassified	ASAGF58	NZ_CP040605.1	4793529	4853630	fused - pks-like hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP040605.1/4793529-4853630	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_012277335.1/NZ_CP040605/1/4793529/4853630
Kitasatospora	Unclassified	MMS16-BH015	NZ_CP025394.1	6982634	7064239	fused - lanthipeptide - t1pks hybrid	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_CP025394.1/6982634-7064239	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002943525.1/NZ_CP025394/1/6982634/7064239
Salinispora	arenicola	CNY256	NZ_KB896533.1	295765	318928	fused	False	ketomemicin B3 / ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/go/NZ_KB896533.1/295765-318928	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375165.1/NZ_KB896533/1/295765/318928
