#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Staphylococcus	pasteuri	JS7	NZ_VDRU01000005.1	178625	193616	siderophore	False	staphyloferrin A	100	BGC0000944	https://antismash-db.secondarymetabolites.org/go/NZ_VDRU01000005.1/178625-193616	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007667805.1/NZ_VDRU01000005/1/178625/193616
Staphylococcus	caprae	SY333	NZ_AP018585.1	839684	854663	siderophore	False	staphyloferrin A	100	BGC0000944	https://antismash-db.secondarymetabolites.org/go/NZ_AP018585.1/839684-854663	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003966585.1/NZ_AP018585/1/839684/854663
Pantoea	agglomerans	T5	NZ_CP048034.1	126056	138411	siderophore	False	desferrioxamine E	100	BGC0001572	https://antismash-db.secondarymetabolites.org/go/NZ_CP048034.1/126056-138411	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010523255.1/NZ_CP048034/1/126056/138411
Acinetobacter	guillouiae	NBRC 110550	NZ_AP014630.1	1760844	1774104	siderophore	False	staphylobactin	12	BGC0000943	https://antismash-db.secondarymetabolites.org/go/NZ_AP014630.1/1760844-1774104	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002370525.2/NZ_AP014630/1/1760844/1774104
Acinetobacter	guillouiae	NBRC 110550	NZ_AP014630.1	2459905	2474960	siderophore	False	acinetoferrin	70	BGC0000295	https://antismash-db.secondarymetabolites.org/go/NZ_AP014630.1/2459905-2474960	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002370525.2/NZ_AP014630/1/2459905/2474960
Unclassified	bacterium	None	NZ_UBWN01000032.1	0	8509	siderophore	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000032.1/0-8509	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000032/1/0/8509
Legionella	pneumophila	Allentown 1 (D-7475)	NZ_CP021283.1	1359999	1370680	siderophore	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021283.1/1359999-1370680	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003004295.1/NZ_CP021283/1/1359999/1370680
Shigella	boydii	59-2708	NZ_CP026846.1	688032	702447	siderophore	False	aerobactin	100	BGC0001499	https://antismash-db.secondarymetabolites.org/go/NZ_CP026846.1/688032-702447	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002949495.1/NZ_CP026846/1/688032/702447
Legionella	pneumophila	Allentown 1 (D-7475)	NZ_CP021283.1	3187225	3198953	siderophore	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021283.1/3187225-3198953	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003004295.1/NZ_CP021283/1/3187225/3198953
Salinispora	pacifica	CNQ768	NZ_KB904850.1	0	60610	lap - siderophore - terpene - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904850.1/0-60610	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904850/1/0/60610
