#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Sorangium	cellulosum	So ce 56	NC_010162.1	1132220	1187444	hgle-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/1132220-1187444	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/1132220/1187444
Sorangium	cellulosum	So ce 56	NC_010162.1	6840777	6887494	hgle-ks - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/6840777-6887494	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/6840777/6887494
Flammeovirga	pacifica	WPAGA1	NZ_JRYR02000001.1	2149045	2202925	hgle-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JRYR02000001.1/2149045-2202925	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000807855.2/NZ_JRYR02000001/1/2149045/2202925
Solimonas	Unclassified	K1W22B-7	NZ_CP031704.1	1387295	1440343	hgle-ks	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP031704.1/1387295-1440343	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003428335.1/NZ_CP031704/1/1387295/1440343
Solimonas	Unclassified	K1W22B-7	NZ_CP031704.1	2462738	2514236	hgle-ks - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP031704.1/2462738-2514236	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003428335.1/NZ_CP031704/1/2462738/2514236
Colwellia	Unclassified	MT41	NZ_CP013145.1	1648007	1705404	hgle-ks - pufa - t1pks hybrid	False	eicosapentaenoic acid-like compound	18	BGC0000864	https://antismash-db.secondarymetabolites.org/go/NZ_CP013145.1/1648007-1705404	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001444365.1/NZ_CP013145/1/1648007/1705404
Chromobacterium	Unclassified	ATCC 53434	NZ_CP025429.1	3107413	3185434	hgle-ks - t1nrps - t1pks hybrid	False	conglobatin	10	BGC0001215	https://antismash-db.secondarymetabolites.org/go/NZ_CP025429.1/3107413-3185434	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002848345.1/NZ_CP025429/1/3107413/3185434
Burkholderia	pseudomallei	MSHR346	NZ_ACOJ01000001.1	2488878	2540747	hgle-ks - terpene hybrid	False	myxochromide D	20	BGC0001418	https://antismash-db.secondarymetabolites.org/go/NZ_ACOJ01000001.1/2488878-2540747	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000182585.2/NZ_ACOJ01000001/1/2488878/2540747
Burkholderia	pseudomallei	BEC	NZ_KN150952.1	895636	947165	hgle-ks - terpene hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KN150952.1/895636-947165	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000757225.1/NZ_KN150952/1/895636/947165
Xenorhabdus	bovienii	CS03	NZ_FO818637.1	2904841	2956185	hgle-ks - pufa hybrid	False	fabclavine-polyamine	90	BGC0001872	https://antismash-db.secondarymetabolites.org/go/NZ_FO818637.1/2904841-2956185	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000973125.1/NZ_FO818637/1/2904841/2956185
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	7450213	7502208	hgle-ks - t1pks hybrid	False	herboxidiene	4	BGC0001065	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/7450213-7502208	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/7450213/7502208
Burkholderia	pseudomallei	MSHR435	NZ_CM003020.1	2331346	2383981	hgle-ks - terpene hybrid	False	myxochromide D	20	BGC0001418	https://antismash-db.secondarymetabolites.org/go/NZ_CM003020.1/2331346-2383981	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000775165.1/NZ_CM003020/1/2331346/2383981
Lechevalieria	aerocolonigenes	NBRC 13195	NZ_BBOJ01000012.1	270444	312636	hgle-ks	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BBOJ01000012.1/270444-312636	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000974445.1/NZ_BBOJ01000012/1/270444/312636
