#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Helicobacter	pylori	Nic50-A	NZ_SHOT01000022.1	0	14132	lap	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SHOT01000022.1/0-14132	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011175035.1/NZ_SHOT01000022/1/0/14132
Streptococcus	pyogenes	NS53	NZ_CP015238.2	574244	597628	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_CP015238.2/574244-597628	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001638845.2/NZ_CP015238/2/574244/597628
Salinispora	pacifica	CNQ768	NZ_KB904850.1	0	60610	lap - siderophore - terpene - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904850.1/0-60610	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904850/1/0/60610
Klebsiella	pneumoniae	19003	NZ_FWMM01000016.1	8316	72322	lap - t1nrps - t1pks hybrid	True	yersiniabactin	20	BGC0001055	https://antismash-db.secondarymetabolites.org/go/NZ_FWMM01000016.1/8316-72322	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900173585.1/NZ_FWMM01000016/1/8316/72322
Bacillus	cereus	FORC087	NZ_WBPC01000017.1	171297	194804	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000017.1/171297-194804	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000017/1/171297/194804
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802333.1	110765	146891	lap - thiopeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV802333.1/110765-146891	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802333/1/110765/146891
Bacillus	Unclassified	UMB0899	NZ_PNGA01000010.1	32183	55716	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PNGA01000010.1/32183-55716	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002871465.1/NZ_PNGA01000010/1/32183/55716
Streptococcus	gordonii	FDAARGOS_257	NZ_CP020450.2	366974	390309	lap - thiopeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP020450.2/366974-390309	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002073435.2/NZ_CP020450/2/366974/390309
Bacillus	Unclassified	UMB0899	NZ_PNGA01000011.1	61277	85774	lap	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PNGA01000011.1/61277-85774	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002871465.1/NZ_PNGA01000011/1/61277/85774
Streptococcus	pyogenes	NS53	NZ_LS483521.1	550260	573644	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_LS483521.1/550260-573644	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474945.1/NZ_LS483521/1/550260/573644
Streptococcus	pyogenes	NS53	NZ_CP035444.1	583538	606922	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_CP035444.1/583538-606922	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005164885.1/NZ_CP035444/1/583538/606922
Streptococcus	pneumoniae	SMRU106	NZ_FZCI01000023.1	0	19448	lap - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FZCI01000023.1/0-19448	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194695.1/NZ_FZCI01000023/1/0/19448
Bacillus	cereus	FORC087	NZ_CP029454.1	1228777	1252284	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029454.1/1228777-1252284	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006384875.1/NZ_CP029454/1/1228777/1252284
Streptococcus	pyogenes	NS53	NZ_CAAHJY010000001.1	161761	185145	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_CAAHJY010000001.1/161761-185145	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983555.1/NZ_CAAHJY010000001/1/161761/185145
Bacillus	cereus	FORC087	NZ_WBPO01000029.1	1287323	1310830	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPO01000029.1/1287323-1310830	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923485.1/NZ_WBPO01000029/1/1287323/1310830
Williamsia	limnetica	DSM 45521	NZ_QJSP01000009.1	128738	151998	lap	False	JBIR-06	16	BGC0001918	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000009.1/128738-151998	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000009/1/128738/151998
Streptococcus	pyogenes	NS53	NZ_LS483382.1	592559	615943	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_LS483382.1/592559-615943	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475475.1/NZ_LS483382/1/592559/615943
Streptococcus	pyogenes	NS53	NZ_CAAHHX010000001.1	167357	190741	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_CAAHHX010000001.1/167357-190741	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900983015.1/NZ_CAAHHX010000001/1/167357/190741
Streptococcus	pneumoniae	SMRU106	NZ_MTGB01000009.1	19493	43894	lap - thiopeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MTGB01000009.1/19493-43894	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001999365.1/NZ_MTGB01000009/1/19493/43894
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000012.1	85304	170282	lap - pks-like - t1pks hybrid	False	neocarzilin A / neocarzilin B	50	BGC0000111	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000012.1/85304-170282	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000012/1/85304/170282
Streptococcus	dysgalactiae	ATCC 12394	NC_017567.1	715217	738600	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NC_017567.1/715217-738600	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000188715.1/NC_017567/1/715217/738600
Streptococcus	canis	HL_77_2	NZ_CP053790.1	1260866	1284248	bacteriocin - lap hybrid	False	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/go/NZ_CP053790.1/1260866-1284248	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010993845.2/NZ_CP053790/1/1260866/1284248
Sorangium	cellulosum	So ce 56	NC_010162.1	8433878	8455672	lap	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/8433878-8455672	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/8433878/8455672
Sorangium	cellulosum	So ce 56	NC_010162.1	9922352	9965027	lap - tfua-related hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/9922352-9965027	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/9922352/9965027
Bacillus	mycoides	VDM019	NZ_KB976196.1	1114607	1138142	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB976196.1/1114607-1138142	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000399045.1/NZ_KB976196/1/1114607/1138142
Sorangium	cellulosum	So ce 56	NC_010162.1	12614303	12646816	lap - tfua-related - thiopeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/12614303-12646816	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/12614303/12646816
Oenococcus	oeni	UBOCC-A-315001	NZ_CP014324.1	1821188	1844485	lap	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014324.1/1821188-1844485	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002966535.1/NZ_CP014324/1/1821188/1844485
Haemophilus	influenzae	NCTC11873	NZ_LR134490.1	1311383	1339306	lap	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134490.1/1311383-1339306	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900638105.1/NZ_LR134490/1/1311383/1339306
Clostridium	botulinum	277-00	NZ_JXMY01000015.1	404	23821	bacteriocin - lap hybrid	False	clostridiolysin S	88	BGC0000564	https://antismash-db.secondarymetabolites.org/go/NZ_JXMY01000015.1/404-23821	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000830755.1/NZ_JXMY01000015/1/404/23821
Bacillus	cereus	HuB4-4	NZ_KB976537.1	1320120	1343627	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB976537.1/1320120-1343627	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000399305.1/NZ_KB976537/1/1320120/1343627
Bacillus	thuringiensis	AFS056597	NZ_NUGD01000013.1	185244	208751	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUGD01000013.1/185244-208751	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002574365.1/NZ_NUGD01000013/1/185244/208751
Bacillus	cereus	FORC087	NZ_NUVN01000027.1	10216	37480	lap - thiopeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUVN01000027.1/10216-37480	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002565245.1/NZ_NUVN01000027/1/10216/37480
Bacillus	cereus	FORC087	NZ_NUVN01000027.1	112807	161996	lap - nrps-like - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUVN01000027.1/112807-161996	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002565245.1/NZ_NUVN01000027/1/112807/161996
Bacillus	cereus	FORC087	NZ_NUVN01000002.1	18500	42007	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUVN01000002.1/18500-42007	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002565245.1/NZ_NUVN01000002/1/18500/42007
Pasteurella	multocida	20N	NZ_CP028926.1	2000873	2038145	lap	False	nematophin	12	BGC0001692	https://antismash-db.secondarymetabolites.org/go/NZ_CP028926.1/2000873-2038145	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003061265.1/NZ_CP028926/1/2000873/2038145
Bacillus	cereus	FORC087	NZ_LABM01000069.1	190304	213812	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LABM01000069.1/190304-213812	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001044825.1/NZ_LABM01000069/1/190304/213812
Bacillus	thuringiensis	BGSC 4BL1	NZ_NFDF01000009.1	332746	356253	bacteriocin - lap hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NFDF01000009.1/332746-356253	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002146705.1/NZ_NFDF01000009/1/332746/356253
