#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pseudomonas	putida	B6-2	NZ_CP015202.1	3256050	3316974	acyl_amino_acids	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015202.1/3256050-3316974	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000226035.2/NZ_CP015202/1/3256050/3316974
Unclassified	bacterium	None	NZ_UBWN01000038.1	39783	100557	acyl_amino_acids	False	ambactin	25	BGC0001131	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000038.1/39783-100557	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000038/1/39783/100557
Duganella	Unclassified	LX47W	NZ_JACEZU010000004.1	0	54943	acyl_amino_acids	True	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_JACEZU010000004.1/0-54943	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014042355.1/NZ_JACEZU010000004/1/0/54943
Ochrobactrum	anthropi	OA_392	NZ_RHTC01000004.1	66162	126909	acyl_amino_acids	False	ambactin	25	BGC0001131	https://antismash-db.secondarymetabolites.org/go/NZ_RHTC01000004.1/66162-126909	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003937425.1/NZ_RHTC01000004/1/66162/126909
Unclassified	bacterium	Mal15	NZ_CP036264.1	5269537	5344330	acyl_amino_acids	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP036264.1/5269537-5344330	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008035925.1/NZ_CP036264/1/5269537/5344330
Sinorhizobium	fredii	ccbau 45436	NZ_CP029231.1	3161974	3222751	acyl_amino_acids	False	ambactin	25	BGC0001131	https://antismash-db.secondarymetabolites.org/go/NZ_CP029231.1/3161974-3222751	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003100575.1/NZ_CP029231/1/3161974/3222751
Sulfuriferula	multivorans	TTN	NZ_BGOW01000001.1	0	34450	acyl_amino_acids	True	N-tetradecanoyl tyrosine	9	BGC0001687	https://antismash-db.secondarymetabolites.org/go/NZ_BGOW01000001.1/0-34450	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003851125.1/NZ_BGOW01000001/1/0/34450
Ensifer	adhaerens	SHC 2-14	NZ_SROZ01000010.1	159209	219983	acyl_amino_acids	False	ambactin	25	BGC0001131	https://antismash-db.secondarymetabolites.org/go/NZ_SROZ01000010.1/159209-219983	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013141885.1/NZ_SROZ01000010/1/159209/219983
Acidiphilium	rubrum	ATCC 35905	NZ_FTNE01000006.1	101219	162029	acyl_amino_acids	False	lipopolysaccharide	5	BGC0000774	https://antismash-db.secondarymetabolites.org/go/NZ_FTNE01000006.1/101219-162029	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900156265.1/NZ_FTNE01000006/1/101219/162029
Undibacterium	Unclassified	YM2	NZ_AP018441.1	1316605	1377367	acyl_amino_acids	False	N-tetradecanoyl tyrosine	6	BGC0001687	https://antismash-db.secondarymetabolites.org/go/NZ_AP018441.1/1316605-1377367	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009937975.1/NZ_AP018441/1/1316605/1377367
Pseudomonas	putida	Simmons01	NZ_SCFX01000001.1	317870	378794	acyl_amino_acids	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SCFX01000001.1/317870-378794	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007049805.1/NZ_SCFX01000001/1/317870/378794
Aliiarcobacter	faecis	CCUG 66484	NZ_CP053838.1	24790	85549	acyl_amino_acids	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053838.1/24790-85549	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013201705.1/NZ_CP053838/1/24790/85549
Unclassified	Unclassified	63075	NZ_QVMW01000008.1	18589	79279	acyl_amino_acids - hserlactone hybrid	False	capsular polysaccharide	11	BGC0000733	https://antismash-db.secondarymetabolites.org/go/NZ_QVMW01000008.1/18589-79279	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003417655.1/NZ_QVMW01000008/1/18589/79279
Ensifer	adhaerens	SHC 2-14	NZ_CP015880.1	3141857	3202631	acyl_amino_acids	False	ambactin	25	BGC0001131	https://antismash-db.secondarymetabolites.org/go/NZ_CP015880.1/3141857-3202631	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000697965.2/NZ_CP015880/1/3141857/3202631
Pantoea	Unclassified	CCBC3-3-1	NZ_CP034363.1	1675119	1735767	acyl_amino_acids - hserlactone hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP034363.1/1675119-1735767	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007981265.1/NZ_CP034363/1/1675119/1735767
