#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Vibrio	cholerae	N2807	NZ_VSHR01000052.1	931242	952621	betalactone	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHR01000052.1/931242-952621	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083785.1/NZ_VSHR01000052/1/931242/952621
Fluoribacter	dumoffii	Tex-KL	NZ_CM001371.1	1353142	1376113	betalactone	False	fengycin	13	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CM001371.1/1353142-1376113	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000236145.1/NZ_CM001371/1/1353142/1376113
Acinetobacter	schindleri	HZE33-1	NZ_CP044474.1	1192444	1223819	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP044474.1/1192444-1223819	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010919095.1/NZ_CP044474/1/1192444/1223819
Legionella	pneumophila	Allentown 1 (D-7475)	NZ_CP021283.1	1937554	1960560	betalactone	False	fengycin	13	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CP021283.1/1937554-1960560	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003004295.1/NZ_CP021283/1/1937554/1960560
Pseudomonas	fluorescens	PA3G8	NZ_CABVJB010000003.1	102825	126105	betalactone	False	fengycin	13	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CABVJB010000003.1/102825-126105	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498155.1/NZ_CABVJB010000003/1/102825/126105
Yersinia	enterocolitica	YE228/02	NZ_CTRG01000001.1	408320	434075	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CTRG01000001.1/408320-434075	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001223065.1/NZ_CTRG01000001/1/408320/434075
Microbacterium	Unclassified	RG1	NZ_CP034121.1	588025	615330	betalactone	False	microansamycin	7	BGC0001666	https://antismash-db.secondarymetabolites.org/go/NZ_CP034121.1/588025-615330	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005347485.1/NZ_CP034121/1/588025/615330
Unclassified	bacterium	None	NZ_UBKJ01000015.1	134761	162442	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBKJ01000015.1/134761-162442	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900465915.1/NZ_UBKJ01000015/1/134761/162442
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	1054040	1094718	betalactone - nrps-like hybrid	False	pyoverdin	2	BGC0000413	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/1054040-1094718	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/1054040/1094718
Pseudomonas	fluorescens	PA3G8	NZ_KN639174.1	2301952	2325203	betalactone	False	fengycin	13	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_KN639174.1/2301952-2325203	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639174/1/2301952/2325203
Bacillus	velezensis	P34	NZ_CP040378.1	1817034	1954388	betalactone - t1nrps - transat-pks hybrid	False	fengycin	100	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/1817034-1954388	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/1817034/1954388
Pseudomonas	fluorescens	PA3G8	NZ_CABVIC010000001.1	232715	255969	betalactone	False	fengycin	13	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CABVIC010000001.1/232715-255969	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498125.1/NZ_CABVIC010000001/1/232715/255969
Bacillus	cereus	FORC087	NZ_WBPC01000018.1	0	19957	betalactone	True	fengycin	40	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000018.1/0-19957	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000018/1/0/19957
Vibrio	parahaemolyticus	RM-13-3	NZ_LFWO01000034.1	291190	319509	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LFWO01000034.1/291190-319509	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001267965.1/NZ_LFWO01000034/1/291190/319509
Proteus	mirabilis	N18-00201	NZ_CP048404.1	2745984	2771709	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP048404.1/2745984-2771709	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010442675.1/NZ_CP048404/1/2745984/2771709
Halomonas	Unclassified	SH5A2	NZ_CP058321.1	1550678	1573344	betalactone	False	plipastatin	15	BGC0000407	https://antismash-db.secondarymetabolites.org/go/NZ_CP058321.1/1550678-1573344	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014263395.1/NZ_CP058321/1/1550678/1573344
Campylobacter	jejuni	CFSAN065345	NZ_PHZO01000001.1	345810	375650	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PHZO01000001.1/345810-375650	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002805115.1/NZ_PHZO01000001/1/345810/375650
Bacillus	cereus	FORC087	NZ_CP029454.1	2372311	2397550	betalactone	False	fengycin	40	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CP029454.1/2372311-2397550	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006384875.1/NZ_CP029454/1/2372311/2397550
Bacillus	cereus	FORC087	NZ_WBPO01000029.1	142008	167247	betalactone	False	fengycin	40	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_WBPO01000029.1/142008-167247	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923485.1/NZ_WBPO01000029/1/142008/167247
Williamsia	limnetica	DSM 45521	NZ_QJSP01000011.1	88650	117869	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000011.1/88650-117869	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000011/1/88650/117869
Williamsia	limnetica	DSM 45521	NZ_QJSP01000020.1	63719	92863	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000020.1/63719-92863	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000020/1/63719/92863
Bacillus	licheniformis	B4089	NZ_LKPM01000028.1	47357	75872	betalactone	False	fengycin	53	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_LKPM01000028.1/47357-75872	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001925025.1/NZ_LKPM01000028/1/47357/75872
Vibrio	mimicus	07-2442	NZ_CP046825.1	1454759	1482280	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046825.1/1454759-1482280	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009763965.1/NZ_CP046825/1/1454759/1482280
Bacillus	pumilus	LNTW65	NZ_CP016784.1	653749	683686	betalactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016784.1/653749-683686	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001704975.1/NZ_CP016784/1/653749/683686
