#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904826.1	217337	289853	t2pks	False	paramagnetoquinone 1 / paramagnetoquinone 2	25	BGC0001730	https://antismash-db.secondarymetabolites.org/go/NZ_KB904826.1/217337-289853	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904826/1/217337/289853
Salinispora	pacifica	CNQ768	NZ_KB904839.1	9217	81883	t2pks	False	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	63	BGC0000240	https://antismash-db.secondarymetabolites.org/go/NZ_KB904839.1/9217-81883	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904839/1/9217/81883
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000005.1	146452	218956	t2pks	False	arixanthomycin A / arixanthomycin B / arixanthomycin C	14	BGC0000200	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000005.1/146452-218956	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000005/1/146452/218956
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	2906226	2973763	t2pks	False	spore pigment	66	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/2906226-2973763	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/2906226/2973763
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	4293146	4365632	butyrolactone - t2pks hybrid	False	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	35	BGC0000262	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/4293146-4365632	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/4293146/4365632
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	966254	1035307	t2pks - terpene hybrid	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/966254-1035307	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/966254/1035307
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6187412	6259901	oligosaccharide - pks-like - t2pks hybrid	False	cytorhodin	82	BGC0001568	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6187412-6259901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6187412/6259901
Nonomuraea	pusilla	DSM 43357	NZ_FOBF01000019.1	6962	79433	lap - t2pks - thiopeptide hybrid	False	xantholipin	14	BGC0000279	https://antismash-db.secondarymetabolites.org/go/NZ_FOBF01000019.1/6962-79433	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109355.1/NZ_FOBF01000019/1/6962/79433
Nonomuraea	pusilla	DSM 43357	NZ_FOBF01000002.1	541859	637231	cyanobactin - lanthipeptide - t2pks hybrid	False	xantholipin	48	BGC0000279	https://antismash-db.secondarymetabolites.org/go/NZ_FOBF01000002.1/541859-637231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109355.1/NZ_FOBF01000002/1/541859/637231
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	903652	974275	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/903652-974275	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/903652/974275
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	2616247	2687488	t2pks	False	JBIR-76 / JBIR-77	64	BGC0001386	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/2616247-2687488	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/2616247/2687488
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	7788096	7860654	t2pks	False	oxytetracycline	95	BGC0000254	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/7788096-7860654	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/7788096/7860654
Streptomyces	davaonensis	JCM 4913	NC_020504.1	2734605	2867588	t1pks - t2pks hybrid	False	fluostatins M-Q	30	BGC0001596	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/2734605-2867588	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/2734605/2867588
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	1729482	1801998	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/1729482-1801998	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/1729482/1801998
Lechevalieria	aerocolonigenes	NBRC 13195	NZ_BBOJ01000004.1	229340	301820	lap - pks-like - t2pks - thiopeptide hybrid	False	LL-D49194α1 (LLD)	30	BGC0001979	https://antismash-db.secondarymetabolites.org/go/NZ_BBOJ01000004.1/229340-301820	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000974445.1/NZ_BBOJ01000004/1/229340/301820
Frankia	alni	ACN14A	NC_008278.1	4732002	4804593	t2pks	False	frankiamicin	100	BGC0001197	https://antismash-db.secondarymetabolites.org/go/NC_008278.1/4732002-4804593	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000058485.1/NC_008278/1/4732002/4804593
Streptomyces	griseoruber	DSM 40281	NZ_KQ948763.1	596786	685741	indole - t2pks hybrid	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948763.1/596786-685741	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514205.1/NZ_KQ948763/1/596786/685741
Streptomyces	griseoruber	DSM 40281	NZ_KQ948766.1	0	61795	pks-like - t2pks hybrid	True	cinerubin B	100	BGC0000212	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948766.1/0-61795	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514205.1/NZ_KQ948766/1/0/61795
Bacillus	megaterium	AFS056967	NZ_CP026738.1	0	67944	t2pks	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP026738.1/0-67944	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003072605.1/NZ_CP026738/1/0/67944
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257829.1	192180	288868	nrps-like - t1nrps - t1pks - t2pks hybrid	False	kedarcidin	4	BGC0000081	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257829.1/192180-288868	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257829/1/192180/288868
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257833.1	3902	76409	pks-like - t2pks hybrid	False	SF2575	71	BGC0000269	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257833.1/3902-76409	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257833/1/3902/76409
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257835.1	134471	206951	t2pks	False	rabelomycin / dehydrorabelomycin / fluostatin F / fluostatin G / fluostatin H	20	BGC0000223	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257835.1/134471-206951	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257835/1/134471/206951
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	8239464	8311926	t2pks	False	julichrome Q3-3 / julichrome Q3-5	37	BGC0002012	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/8239464-8311926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/8239464/8311926
Streptomyces	fungicidicus	TXX3120	NZ_CP023408.1	190271	284108	t2pks - terpene hybrid	False	hopene	92	BGC0000663	https://antismash-db.secondarymetabolites.org/go/NZ_CP023408.1/190271-284108	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003665435.1/NZ_CP023408/1/190271/284108
Streptomyces	mirabilis	OV308	NZ_JQJV01000017.1	72750	145263	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_JQJV01000017.1/72750-145263	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000745715.1/NZ_JQJV01000017/1/72750/145263
Streptomyces	mirabilis	OV308	NZ_KN050745.1	181343	226203	t2pks	True	medermycin	27	BGC0000245	https://antismash-db.secondarymetabolites.org/go/NZ_KN050745.1/181343-226203	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000745715.1/NZ_KN050745/1/181343/226203
Streptomyces	Unclassified	CT34	NZ_KN708638.1	1072188	1143582	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_KN708638.1/1072188-1143582	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000805335.1/NZ_KN708638/1/1072188/1143582
Streptomyces	Unclassified	CT34	NZ_KN708638.1	3438795	3511332	t2pks	False	collinomycin	64	BGC0000266	https://antismash-db.secondarymetabolites.org/go/NZ_KN708638.1/3438795-3511332	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000805335.1/NZ_KN708638/1/3438795/3511332
Streptomyces	purpureus	KA281	NZ_KB913030.1	5706741	5780994	t1nrps - t2pks hybrid	False	ravidomycin	80	BGC0000263	https://antismash-db.secondarymetabolites.org/go/NZ_KB913030.1/5706741-5780994	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000384175.1/NZ_KB913030/1/5706741/5780994
Streptomyces	purpureus	KA281	NZ_KB913030.1	6633996	6745786	arylpolyene - lap - nrps-like - t2pks - thiopeptide hybrid	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_KB913030.1/6633996-6745786	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000384175.1/NZ_KB913030/1/6633996/6745786
Streptomyces	Unclassified	SYP-A7193	NZ_CP045547.1	2876930	2949473	t2pks	False	nybomycin	74	BGC0001965	https://antismash-db.secondarymetabolites.org/go/NZ_CP045547.1/2876930-2949473	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009495655.1/NZ_CP045547/1/2876930/2949473
Streptomyces	griseorubiginosus	BTU6	NZ_CP041168.1	1341125	1412297	t2pks	False	julichrome Q3-3 / julichrome Q3-5	62	BGC0002012	https://antismash-db.secondarymetabolites.org/go/NZ_CP041168.1/1341125-1412297	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006516935.1/NZ_CP041168/1/1341125/1412297
Streptomyces	griseorubiginosus	BTU6	NZ_CP041168.1	4779120	4848150	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP041168.1/4779120-4848150	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006516935.1/NZ_CP041168/1/4779120/4848150
Streptomyces	griseorubens	JSD-1	NZ_KL503830.1	828599	899046	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_KL503830.1/828599-899046	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000709915.1/NZ_KL503830/1/828599/899046
Streptomyces	Unclassified	SYP-A7193	NZ_CP045549.1	0	67127	butyrolactone - phenazine - t2pks hybrid	True	nenestatin	36	BGC0001693	https://antismash-db.secondarymetabolites.org/go/NZ_CP045549.1/0-67127	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009495655.1/NZ_CP045549/1/0/67127
Streptomyces	griseorubiginosus	BTU6	NZ_CP041168.1	8055141	8127639	t2pks	False	granaticin	37	BGC0000227	https://antismash-db.secondarymetabolites.org/go/NZ_CP041168.1/8055141-8127639	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006516935.1/NZ_CP041168/1/8055141/8127639
Streptomyces	griseorubens	JSD-1	NZ_KL503830.1	7491890	7563100	betalactone - lap - nrps-like - pks-like - t2pks hybrid	True	LL-D49194α1 (LLD)	49	BGC0001979	https://antismash-db.secondarymetabolites.org/go/NZ_KL503830.1/7491890-7563100	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000709915.1/NZ_KL503830/1/7491890/7563100
Nocardia	pseudobrasiliensis	DSM 44290	NZ_QQBC01000021.1	0	17658	t2pks	True	arimetamycin B / arimetamycin C / arimetamycin A	13	BGC0000199	https://antismash-db.secondarymetabolites.org/go/NZ_QQBC01000021.1/0-17658	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003350585.1/NZ_QQBC01000021/1/0/17658
Streptomyces	collinus	Tu 365	NC_021985.1	3040813	3123634	oligosaccharide - pks-like - t1nrps - t2pks - thiopeptide hybrid	False	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	29	BGC0000262	https://antismash-db.secondarymetabolites.org/go/NC_021985.1/3040813-3123634	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000444875.1/NC_021985/1/3040813/3123634
Streptomyces	collinus	Tu 365	NC_021985.1	4034255	4106765	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NC_021985.1/4034255-4106765	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000444875.1/NC_021985/1/4034255/4106765
Streptomyces	yokosukanensis	DSM 40224	NZ_KQ948223.1	18	169682	butyrolactone - t1nrps - t1pks - t2pks hybrid	False	streptovaricin	60	BGC0001785	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948223.1/18-169682	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514035.1/NZ_KQ948223/1/18/169682
Streptomyces	Unclassified	OM5714	NZ_WHZR01000003.1	73983	126837	butyrolactone - phenazine - t2pks hybrid	True	lactonamycin	14	BGC0000238	https://antismash-db.secondarymetabolites.org/go/NZ_WHZR01000003.1/73983-126837	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010993835.1/NZ_WHZR01000003/1/73983/126837
Streptomyces	Unclassified	OM5714	NZ_WHZR01000001.1	2590493	2663036	t2pks	False	nybomycin	70	BGC0001965	https://antismash-db.secondarymetabolites.org/go/NZ_WHZR01000001.1/2590493-2663036	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010993835.1/NZ_WHZR01000001/1/2590493/2663036
Saccharomonospora	viridis	DSM 43017	NC_013159.1	3621230	3702486	blactam - t2pks hybrid	False	clavulanic acid	58	BGC0000845	https://antismash-db.secondarymetabolites.org/go/NC_013159.1/3621230-3702486	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000023865.1/NC_013159/1/3621230/3702486
Nonomuraea	indica	DRQ-2	NZ_KZ559477.1	132695	233392	t1nrps - t1pks - t2pks hybrid	True	pradimicin-A	50	BGC0000256	https://antismash-db.secondarymetabolites.org/go/NZ_KZ559477.1/132695-233392	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002850745.1/NZ_KZ559477/1/132695/233392
Streptomyces	luteoverticillatus	CGMCC 15060	NZ_CP034587.1	6308853	6381342	t2pks	False	aclacinomycin	40	BGC0000191	https://antismash-db.secondarymetabolites.org/go/NZ_CP034587.1/6308853-6381342	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003970715.1/NZ_CP034587/1/6308853/6381342
Streptomyces	qinzhouensis	SSL-25	NZ_CP042266.1	6263605	6336157	t2pks	False	spore pigment	83	BGC0000271	https://antismash-db.secondarymetabolites.org/go/NZ_CP042266.1/6263605-6336157	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007856155.1/NZ_CP042266/1/6263605/6336157
