#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pantoea	agglomerans	T5	NZ_CP048033.1	163922	190179	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP048033.1/163922-190179	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010523255.1/NZ_CP048033/1/163922/190179
Klebsiella	pneumoniae	Kp13	NZ_CP003999.1	3455747	3482017	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP003999.1/3455747-3482017	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000512165.1/NZ_CP003999/1/3455747/3482017
Citrobacter	freundii	RHBSTW-00302	NZ_CP016952.1	4316383	4342675	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP016952.1/4316383-4342675	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001718055.1/NZ_CP016952/1/4316383/4342675
Citrobacter	freundii	RHBSTW-00302	NZ_CP056635.1	3310987	3337279	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP056635.1/3310987-3337279	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013743055.1/NZ_CP056635/1/3310987/3337279
Citrobacter	freundii	RHBSTW-00302	NZ_CP054278.1	2422895	2449187	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP054278.1/2422895-2449187	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014169975.1/NZ_CP054278/1/2422895/2449187
Acinetobacter	schindleri	HZE33-1	NZ_CP044474.1	14061	54402	thiopeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP044474.1/14061-54402	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010919095.1/NZ_CP044474/1/14061/54402
Shigella	boydii	59-2708	NZ_CP026846.1	1910803	1937096	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP026846.1/1910803-1937096	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002949495.1/NZ_CP026846/1/1910803/1937096
Klebsiella	aerogenes	HNHF1	NZ_CP047669.1	697194	723459	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CP047669.1/697194-723459	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009909445.1/NZ_CP047669/1/697194/723459
Salinispora	pacifica	CNQ768	NZ_KB904850.1	0	60610	lap - siderophore - terpene - thiopeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904850.1/0-60610	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904850/1/0/60610
Yersinia	enterocolitica	YE228/02	NZ_CTRG01000005.1	256239	282687	thiopeptide	False	O-antigen	14	BGC0000781	https://antismash-db.secondarymetabolites.org/go/NZ_CTRG01000005.1/256239-282687	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001223065.1/NZ_CTRG01000005/1/256239/282687
