#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptococcus	pneumoniae	SMRU106	NZ_FDQP01000002.1	97416	121633	lassopeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000002.1/97416-121633	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000002/1/97416/121633
Bacillus	cereus	FORC087	NZ_WBPC01000017.1	388014	410266	lassopeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000017.1/388014-410266	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000017/1/388014/410266
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802350.1	54579	131665	furan - lassopeptide - t1nrps hybrid	False	coelibactin	36	BGC0000324	https://antismash-db.secondarymetabolites.org/go/NZ_KV802350.1/54579-131665	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802350/1/54579/131665
Streptococcus	pneumoniae	SMRU106	NZ_CMLU01000007.1	65004	83557	lassopeptide	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CMLU01000007.1/65004-83557	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001154365.1/NZ_CMLU01000007/1/65004/83557
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000008.1	29757	52377	lassopeptide	False	citrulassin D	80	BGC0001550	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000008.1/29757-52377	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000008/1/29757/52377
Bacillus	megaterium	WSH-002	NC_017138.1	3891472	3915391	lassopeptide	False	paeninodin	60	BGC0001356	https://antismash-db.secondarymetabolites.org/go/NC_017138.1/3891472-3915391	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000225265.1/NC_017138/1/3891472/3915391
Bacillus	mycoides	VDM019	NZ_KB976199.1	326085	350002	lassopeptide	False	paeninodin	100	BGC0001356	https://antismash-db.secondarymetabolites.org/go/NZ_KB976199.1/326085-350002	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000399045.1/NZ_KB976199/1/326085/350002
Streptococcus	pneumoniae	SMRU106	NZ_FZBS01000003.1	145486	164146	lassopeptide	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FZBS01000003.1/145486-164146	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900194465.1/NZ_FZBS01000003/1/145486/164146
Enterococcus	faecalis	4928STDY7071546	NZ_JTKX01000023.1	86631	110794	lassopeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JTKX01000023.1/86631-110794	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000788255.1/NZ_JTKX01000023/1/86631/110794
Solimonas	Unclassified	K1W22B-7	NZ_CP031704.1	2518788	2582577	arylpolyene - lassopeptide hybrid	False	APE Vf	40	BGC0000837	https://antismash-db.secondarymetabolites.org/go/NZ_CP031704.1/2518788-2582577	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003428335.1/NZ_CP031704/1/2518788/2582577
Bacillus	Unclassified	TYF-LIM-B05	NZ_QXII01000003.1	330003	352465	lassopeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QXII01000003.1/330003-352465	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003717485.1/NZ_QXII01000003/1/330003/352465
