#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Staphylococcus	caprae	SY333	NZ_AP018585.1	82162	154195	lanthidin - t1nrps hybrid	False	capsular polysaccharide	4	BGC0000758	https://antismash-db.secondarymetabolites.org/go/NZ_AP018585.1/82162-154195	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003966585.1/NZ_AP018585/1/82162/154195
Streptococcus	thermophilus	None	NZ_LR822025.1	1684232	1726097	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822025.1/1684232-1726097	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903886745.1/NZ_LR822025/1/1684232/1726097
Unclassified	bacterium	None	NZ_UEHY01000007.1	49803	91970	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UEHY01000007.1/49803-91970	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900468985.1/NZ_UEHY01000007/1/49803/91970
Pseudomonas	aeruginosa	NCTC11445	NZ_JTQH01000008.1	134822	178145	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JTQH01000008.1/134822-178145	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000791765.1/NZ_JTQH01000008/1/134822/178145
Nonomuraea	pusilla	DSM 43357	NZ_FOBF01000001.1	181123	223255	lanthidin	False	quartromicin A1	5	BGC0000133	https://antismash-db.secondarymetabolites.org/go/NZ_FOBF01000001.1/181123-223255	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109355.1/NZ_FOBF01000001/1/181123/223255
Streptomyces	davaonensis	JCM 4913	NC_020504.1	4992059	5038915	lanthidin	False	granaticin	8	BGC0000227	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/4992059-5038915	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/4992059/5038915
Rhizobium	leguminosarum	SM151C	NZ_SIMT01000006.1	590618	617910	lanthidin - lanthipeptide hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIMT01000006.1/590618-617910	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004305375.1/NZ_SIMT01000006/1/590618/617910
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	6900062	6941100	lanthidin	False	himastatin	8	BGC0001117	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/6900062-6941100	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/6900062/6941100
Staphylococcus	capitis	FDAARGOS_753	NZ_CP053957.1	83840	125691	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053957.1/83840-125691	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013267675.1/NZ_CP053957/1/83840/125691
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	9474630	9516713	lanthidin	False	pimaricin	11	BGC0000125	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/9474630-9516713	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/9474630/9516713
Undibacterium	Unclassified	YM2	NZ_AP018441.1	5078793	5120907	lanthidin	False	fluostatins M-Q	4	BGC0001596	https://antismash-db.secondarymetabolites.org/go/NZ_AP018441.1/5078793-5120907	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009937975.1/NZ_AP018441/1/5078793/5120907
Chlorogloeopsis	fritschii	PCC 6912	NZ_RSCJ01000002.1	534339	570417	lanthidin	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RSCJ01000002.1/534339-570417	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003990575.1/NZ_RSCJ01000002/1/534339/570417
Dietzia	timorensis	ID05-A0528	NZ_CP015961.1	2915716	2957689	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015961.1/2915716-2957689	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001659785.1/NZ_CP015961/1/2915716/2957689
Pseudomonas	aeruginosa	BWHPSA043	NZ_KI914485.1	89920	133288	lanthidin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI914485.1/89920-133288	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000520335.1/NZ_KI914485/1/89920/133288
Microbacterium	Unclassified	BH-3-3-3	NZ_CP017674.1	2148982	2190967	lanthidin	False	A54145	3	BGC0000291	https://antismash-db.secondarymetabolites.org/go/NZ_CP017674.1/2148982-2190967	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001792815.1/NZ_CP017674/1/2148982/2190967
Sinosporangium	album	CPCC 201354	NZ_FNCN01000026.1	47714	78006	lanthidin	True	echinomycin	11	BGC0000339	https://antismash-db.secondarymetabolites.org/go/NZ_FNCN01000026.1/47714-78006	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900100605.1/NZ_FNCN01000026/1/47714/78006
