#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Unclassified	bacterium	None	NZ_UBZG01000002.1	73705	128092	hserlactone - phosphonate hybrid	False	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	33	BGC0001587	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000002.1/73705-128092	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000002/1/73705/128092
Unclassified	bacterium	None	NZ_UBZG01000021.1	204	41128	phosphonate	False	meilingmycin	2	BGC0000093	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000021.1/204-41128	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000021/1/204/41128
Bacillus	megaterium	AFS056967	NZ_NUFZ01000010.1	1015869	1057387	phosphonate	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NUFZ01000010.1/1015869-1057387	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002574835.1/NZ_NUFZ01000010/1/1015869/1057387
Bacillus	megaterium	WSH-002	NC_017138.1	4196217	4237735	phosphonate	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017138.1/4196217-4237735	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000225265.1/NC_017138/1/4196217/4237735
Sorangium	cellulosum	So ce 56	NC_010162.1	10170935	10212600	phosphonate	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/10170935-10212600	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/10170935/10212600
Nitrococcus	mobilis	Nb-231	NZ_CH672427.1	1546999	1588652	phosphonate	False	kijanimicin	4	BGC0000082	https://antismash-db.secondarymetabolites.org/go/NZ_CH672427.1/1546999-1588652	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000153205.1/NZ_CH672427/1/1546999/1588652
Bacillus	cereus	FORC087	NZ_LABM01000016.1	1762	45474	phosphonate - sactipeptide hybrid	False	thuricin CD α / thuricin CD β	100	BGC0000599	https://antismash-db.secondarymetabolites.org/go/NZ_LABM01000016.1/1762-45474	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001044825.1/NZ_LABM01000016/1/1762/45474
Burkholderia	gladioli	BCC1732	NZ_CADEQR010000001.1	560192	601878	phosphonate	False	phosphinothricintripeptide	6	BGC0000406	https://antismash-db.secondarymetabolites.org/go/NZ_CADEQR010000001.1/560192-601878	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902829585.1/NZ_CADEQR010000001/1/560192/601878
Paraburkholderia	caffeinilytica	CF1	NZ_CP031466.1	2161399	2203133	phosphonate	False	oxalomycin B	6	BGC0001106	https://antismash-db.secondarymetabolites.org/go/NZ_CP031466.1/2161399-2203133	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003368325.1/NZ_CP031466/1/2161399/2203133
Brevibacillus	laterosporus	ZQ2	NZ_CP025545.1	3700722	3741610	phosphonate	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025545.1/3700722-3741610	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002865525.1/NZ_CP025545/1/3700722/3741610
Paenibacillus	polymyxa	YC0573	NZ_CP017968.3	5945433	5986333	phosphonate	False	tauramamide	9	BGC0001796	https://antismash-db.secondarymetabolites.org/go/NZ_CP017968.3/5945433-5986333	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001874425.3/NZ_CP017968/3/5945433/5986333
Burkholderia	gladioli	BCC1732	NZ_CADEVO010000001.1	300899	342585	phosphonate	False	phosphinothricintripeptide	6	BGC0000406	https://antismash-db.secondarymetabolites.org/go/NZ_CADEVO010000001.1/300899-342585	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902830885.1/NZ_CADEVO010000001/1/300899/342585
