#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Bacillus	subtilis	J-5	NZ_CP026010.1	3181834	3202005	glycocin	False	sublancin 168	100	BGC0000558	https://antismash-db.secondarymetabolites.org/go/NZ_CP026010.1/3181834-3202005	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004101945.1/NZ_CP026010/1/3181834/3202005
Bacillus	Unclassified	5MFCol3.1	NZ_FOST01000018.1	10291	21706	glycocin	True	geocillicin	44	BGC0001862	https://antismash-db.secondarymetabolites.org/go/NZ_FOST01000018.1/10291-21706	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900114335.1/NZ_FOST01000018/1/10291/21706
Bacillus	subtilis	KCTC 13429	NZ_CP013984.1	1992934	2013105	glycocin	False	sublancin 168	100	BGC0000558	https://antismash-db.secondarymetabolites.org/go/NZ_CP013984.1/1992934-2013105	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001534785.1/NZ_CP013984/1/1992934/2013105
Bacillus	subtilis	J-5	NZ_JXHL01000003.1	303836	324007	glycocin	False	sublancin 168	100	BGC0000558	https://antismash-db.secondarymetabolites.org/go/NZ_JXHL01000003.1/303836-324007	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000830605.1/NZ_JXHL01000003/1/303836/324007
Bacillus	Unclassified	C1-1	NZ_RQRY01000005.1	549953	570172	glycocin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RQRY01000005.1/549953-570172	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003856305.1/NZ_RQRY01000005/1/549953/570172
Bacillus	cereus	BAG1X1-1	NZ_KB976161.1	0	9286	glycocin	True	bacillicin BAG2O	100	BGC0001861	https://antismash-db.secondarymetabolites.org/go/NZ_KB976161.1/0-9286	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000399005.1/NZ_KB976161/1/0/9286
Bacillus	cereus	FORC087	NZ_NVBN01000059.1	0	10756	glycocin	True	bacillicn CER074	61	BGC0001863	https://antismash-db.secondarymetabolites.org/go/NZ_NVBN01000059.1/0-10756	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002568455.1/NZ_NVBN01000059/1/0/10756
Bacillus	subtilis	J-5	NZ_CP035226.1	2284060	2304231	glycocin	False	sublancin 168	100	BGC0000558	https://antismash-db.secondarymetabolites.org/go/NZ_CP035226.1/2284060-2304231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004103535.1/NZ_CP035226/1/2284060/2304231
Bacillus	subtilis	J-5	NZ_SDKE01000003.1	3600293	3619023	glycocin	True	sublancin 168	100	BGC0000558	https://antismash-db.secondarymetabolites.org/go/NZ_SDKE01000003.1/3600293-3619023	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007845115.1/NZ_SDKE01000003/1/3600293/3619023
Bacillus	subtilis	J-5	NZ_CP032315.1	1675652	1809657	glycocin - pks-like - t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP032315.1/1675652-1809657	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003612735.1/NZ_CP032315/1/1675652/1809657
