#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	8550829	8671070	aminocoumarin - hgle-ks - nrps-like - nucleoside - t1nrps - t1pks - t3pks hybrid	False	rubradirin	37	BGC0000141	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/8550829-8671070	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/8550829/8671070
Streptomyces	atratus	SCSIO_ZH16	NZ_CP027306.1	5612334	5700782	aminocoumarin - arylpolyene - ladderane - t1nrps hybrid	False	atratumycin	89	BGC0001975	https://antismash-db.secondarymetabolites.org/go/NZ_CP027306.1/5612334-5700782	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003330865.1/NZ_CP027306/1/5612334/5700782
Streptomyces	rishiriensis	NBRC 13407	NZ_BEWA01000022.1	130114	180256	aminocoumarin - other - pks-like hybrid	True	coumermycin A1	100	BGC0000833	https://antismash-db.secondarymetabolites.org/go/NZ_BEWA01000022.1/130114-180256	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003112535.1/NZ_BEWA01000022/1/130114/180256
Streptomyces	malaysiensis	DSM 4137	NZ_CP029823.1	3488009	3574695	aminocoumarin - arylpolyene - ladderane - t1nrps hybrid	False	RP-1776	46	BGC0000429	https://antismash-db.secondarymetabolites.org/go/NZ_CP029823.1/3488009-3574695	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006974005.1/NZ_CP029823/1/3488009/3574695
Nocardiopsis	gilva	YIM 90087	NZ_CP022753.1	397927	474934	aminocoumarin - hgle-ks - other hybrid	False	cathomycin	95	BGC0000834	https://antismash-db.secondarymetabolites.org/go/NZ_CP022753.1/397927-474934	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002263495.1/NZ_CP022753/1/397927/474934
Catenulispora	acidiphila	DSM 44928	NC_013131.1	3103843	3129040	aminocoumarin	False	cacibiocin B	92	BGC0001154	https://antismash-db.secondarymetabolites.org/go/NC_013131.1/3103843-3129040	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000024025.1/NC_013131/1/3103843/3129040
Streptomyces	fodineus	TW1S1	NZ_CP017248.1	6255826	6378081	aminocoumarin - melanin - t1nrps - t1pks hybrid	False	rubradirin	41	BGC0000141	https://antismash-db.secondarymetabolites.org/go/NZ_CP017248.1/6255826-6378081	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001735805.1/NZ_CP017248/1/6255826/6378081
Streptomyces	malaysiensis	DSM 4137	NZ_JAALLH010000001.1	8251437	8339046	aminocoumarin - arylpolyene - ladderane - t1nrps hybrid	False	atratumycin	57	BGC0001975	https://antismash-db.secondarymetabolites.org/go/NZ_JAALLH010000001.1/8251437-8339046	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011800555.1/NZ_JAALLH010000001/1/8251437/8339046
Nocardia	arthritidis	AUSMDU00012717	NZ_CP046172.1	3220801	3263712	aminocoumarin - nrps-like hybrid	False	s56-p1	7	BGC0001764	https://antismash-db.secondarymetabolites.org/go/NZ_CP046172.1/3220801-3263712	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011801145.1/NZ_CP046172/1/3220801/3263712
Streptomyces	niveus	NCIMB 11891	NZ_CM002280.1	7884590	7939798	aminocoumarin - other hybrid	False	cathomycin	100	BGC0000834	https://antismash-db.secondarymetabolites.org/go/NZ_CM002280.1/7884590-7939798	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000497425.1/NZ_CM002280/1/7884590/7939798
Streptomyces	hygroscopicus	XM201	NZ_CP018627.1	8850849	8936831	aminocoumarin - arylpolyene - ladderane - t1nrps hybrid	False	atratumycin	57	BGC0001975	https://antismash-db.secondarymetabolites.org/go/NZ_CP018627.1/8850849-8936831	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002021875.1/NZ_CP018627/1/8850849/8936831
