#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802350.1	54579	131665	furan - lassopeptide - t1nrps hybrid	False	coelibactin	36	BGC0000324	https://antismash-db.secondarymetabolites.org/go/NZ_KV802350.1/54579-131665	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802350/1/54579/131665
Ralstonia	solanacearum	RSCM	NZ_CP025985.1	3103545	3124412	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025985.1/3103545-3124412	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002894285.1/NZ_CP025985/1/3103545/3124412
Vibrio	mimicus	07-2442	NZ_CP046826.1	423463	444465	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046826.1/423463-444465	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009763965.1/NZ_CP046826/1/423463/444465
Lactobacillus	gasseri	DSM 14869	NZ_CP008839.1	2189	23086	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP008839.1/2189-23086	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002287905.1/NZ_CP008839/1/2189/23086
Vibrio	cholerae	N2807	NZ_VSID01000046.1	219899	240901	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSID01000046.1/219899-240901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083585.1/NZ_VSID01000046/1/219899/240901
Vibrio	cholerae	N2807	NZ_LT992491.1	139023	160025	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LT992491.1/139023-160025	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900324435.1/NZ_LT992491/1/139023/160025
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6333487	6360772	butyrolactone - furan hybrid	False	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	5	BGC0000130	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6333487-6360772	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6333487/6360772
Vibrio	cholerae	N2807	NZ_VSGI01000023.1	4793	25795	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSGI01000023.1/4793-25795	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084595.1/NZ_VSGI01000023/1/4793/25795
Streptomyces	davaonensis	JCM 4913	NC_020504.1	5136292	5157321	furan	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/5136292-5157321	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/5136292/5157321
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	55750	144283	butyrolactone - furan - other - phenazine - t1nrps - t3pks hybrid	False	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	63	BGC0001083	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/55750-144283	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/55750/144283
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	9899903	9988669	butyrolactone - furan - other - phenazine - t1nrps - t3pks hybrid	False	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	63	BGC0001083	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/9899903-9988669	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/9899903/9988669
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257834.1	455684	498716	furan - t1pks hybrid	False	foxicins A-D	7	BGC0001598	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257834.1/455684-498716	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257834/1/455684/498716
Streptococcus	equi	H70	NC_012470.1	2085463	2106390	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_012470.1/2085463-2106390	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000026605.1/NC_012470/1/2085463/2106390
