#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Salinispora	pacifica	CNQ768	NZ_KB904828.1	59184	74009	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB904828.1/59184-74009	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375225.1/NZ_KB904828/1/59184/74009
Pseudomonas	putida	Simmons01	NZ_LNNI01000025.1	241694	256540	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LNNI01000025.1/241694-256540	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001542955.1/NZ_LNNI01000025/1/241694/256540
Pseudomonas	fluorescens	PA3G8	NZ_CABVJB010000005.1	195269	210141	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CABVJB010000005.1/195269-210141	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498155.1/NZ_CABVJB010000005/1/195269/210141
Pseudomonas	fluorescens	PA3G8	NZ_KN639174.1	1869660	1884511	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KN639174.1/1869660-1884511	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639174/1/1869660/1884511
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	3812351	3827112	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/3812351-3827112	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/3812351/3827112
Pseudomonas	fluorescens	PA3G8	NZ_CABVIC010000004.1	435254	450135	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CABVIC010000004.1/435254-450135	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902498125.1/NZ_CABVIC010000004/1/435254/450135
Pseudomonas	Unclassified	NFACC39-1	NZ_FODL01000004.1	450762	465640	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FODL01000004.1/450762-465640	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110355.1/NZ_FODL01000004/1/450762/465640
Ochrobactrum	anthropi	OA_392	NZ_RHTC01000006.1	168302	189201	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RHTC01000006.1/168302-189201	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003937425.1/NZ_RHTC01000006/1/168302/189201
Pseudomonas	Unclassified	NFACC42-2	NZ_FOZO01000002.1	355133	369933	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FOZO01000002.1/355133-369933	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900116055.1/NZ_FOZO01000002/1/355133/369933
Pseudomonas	aeruginosa	NCTC11445	NZ_RWNF01000008.1	290406	305167	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RWNF01000008.1/290406-305167	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004371275.1/NZ_RWNF01000008/1/290406/305167
Pseudomonas	soli	57B-090714	NZ_QJRQ01000014.1	37224	52036	naggn	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QJRQ01000014.1/37224-52036	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003205475.1/NZ_QJRQ01000014/1/37224/52036
