#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Gemella	morbillorum	FDAARGOS_741	NZ_CP046314.1	304130	329631	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046314.1/304130-329631	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009730315.1/NZ_CP046314/1/304130/329631
Clostridioides	difficile	VRECD0043	NZ_FULN01000003.1	350078	370222	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FULN01000003.1/350078-370222	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900164025.1/NZ_FULN01000003/1/350078/370222
Ruminococcus	Unclassified	OM08-13AT	NZ_QTZB01000001.1	270129	290273	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QTZB01000001.1/270129-290273	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003462465.1/NZ_QTZB01000001/1/270129/290273
Clostridium	perfringens	ATCC 13124	NC_008261.1	2430708	2450849	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_008261.1/2430708-2450849	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000013285.1/NC_008261/1/2430708/2450849
Hungateiclostridium	thermocellum	ATCC 27405	NC_009012.1	1074528	1094669	sactipeptide	False	dipeptide aldehydes	11	BGC0001575	https://antismash-db.secondarymetabolites.org/go/NC_009012.1/1074528-1094669	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000015865.1/NC_009012/1/1074528/1094669
Clostridium	perfringens	JXJA17	NZ_CP028149.1	2490891	2511032	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP028149.1/2490891-2511032	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003350945.1/NZ_CP028149/1/2490891/2511032
Desulfotomaculum	nigrificans	CO-1-SRB	NC_015565.1	2850240	2870387	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_015565.1/2850240-2870387	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000214435.1/NC_015565/1/2850240/2870387
Peptoclostridium	litorale	DSM 5388	NZ_FSRH01000007.1	74769	94913	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FSRH01000007.1/74769-94913	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900141635.1/NZ_FSRH01000007/1/74769/94913
Streptococcus	intermedius	B196	NC_022246.1	1364687	1390189	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_022246.1/1364687-1390189	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000463355.1/NC_022246/1/1364687/1390189
Clostridium	botulinum	277-00	NZ_JXMY01000007.1	120281	140419	sactipeptide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JXMY01000007.1/120281-140419	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000830755.1/NZ_JXMY01000007/1/120281/140419
