#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6476247	6496637	nucleoside	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6476247-6496637	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6476247/6496637
Xenorhabdus	bovienii	CS03	NZ_FO818637.1	3105215	3127673	nucleoside	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FO818637.1/3105215-3127673	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000973125.1/NZ_FO818637/1/3105215/3127673
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	8214062	8267197	nucleoside - t1nrps hybrid	False	Sch-47554 / Sch-47555	32	BGC0000268	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/8214062-8267197	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/8214062/8267197
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	8550829	8671070	aminocoumarin - hgle-ks - nrps-like - nucleoside - t1nrps - t1pks - t3pks hybrid	False	rubradirin	37	BGC0000141	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/8550829-8671070	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/8550829/8671070
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257822.1	217137	265667	betalactone - nrps-like - nucleoside hybrid	False	neopolyoxin C	100	BGC0000876	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257822.1/217137-265667	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257822/1/217137/265667
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257834.1	67600	152253	nucleoside - t1nrps - transat-pks hybrid	False	cycloheximide	55	BGC0000175	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257834.1/67600-152253	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257834/1/67600/152253
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257834.1	881730	902093	nucleoside	False	toyocamycin	40	BGC0000881	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257834.1/881730-902093	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257834/1/881730/902093
Lentzea	guizhouensis	DHS C013	NZ_CP016793.1	6154860	6255895	arylpolyene - nucleoside - t2pks hybrid	False	atratumycin	26	BGC0001975	https://antismash-db.secondarymetabolites.org/go/NZ_CP016793.1/6154860-6255895	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001701025.1/NZ_CP016793/1/6154860/6255895
Klebsiella	aerogenes	HNHF1	NZ_CP028951.1	1839368	1861782	nucleoside	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP028951.1/1839368-1861782	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003071285.1/NZ_CP028951/1/1839368/1861782
Sinosporangium	album	CPCC 201354	NZ_FNCN01000001.1	8891	36033	nucleoside	False	herboxidiene	6	BGC0001065	https://antismash-db.secondarymetabolites.org/go/NZ_FNCN01000001.1/8891-36033	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900100605.1/NZ_FNCN01000001/1/8891/36033
