#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Bacillus	velezensis	P34	NZ_CP040378.1	1342447	1430270	transat-pks	False	macrolactin H	100	BGC0000181	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/1342447-1430270	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/1342447/1430270
Bacillus	velezensis	P34	NZ_CP040378.1	1650040	1759642	t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/1650040-1759642	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/1650040/1759642
Bacillus	cereus	FORC087	NZ_WBPC01000041.1	168526	231517	t1nrps - transat-pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WBPC01000041.1/168526-231517	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008923765.1/NZ_WBPC01000041/1/168526/231517
Bacillus	velezensis	P34	NZ_CP040378.1	1817034	1954388	betalactone - t1nrps - transat-pks hybrid	False	fengycin	100	BGC0001095	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/1817034-1954388	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/1817034/1954388
Bacillus	velezensis	P34	NZ_CP040378.1	2219677	2325857	transat-pks - transat-pks-like hybrid	False	difficidin	100	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/2219677-2325857	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/2219677/2325857
Sorangium	cellulosum	So ce 56	NC_010162.1	4348262	4481226	pks-like - t3pks - transat-pks hybrid	False	etnangien	100	BGC0000179	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/4348262-4481226	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/4348262/4481226
Sorangium	cellulosum	So ce 56	NC_010162.1	5742336	5873706	t1nrps - t1pks - transat-pks - transat-pks-like hybrid	False	chivosazol	88	BGC0001069	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/5742336-5873706	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/5742336/5873706
Bacillus	velezensis	P34	NZ_JAAHBR010000011.1	0	46710	t1nrps - transat-pks hybrid	True	rhizocticin A	6	BGC0000926	https://antismash-db.secondarymetabolites.org/go/NZ_JAAHBR010000011.1/0-46710	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010671715.1/NZ_JAAHBR010000011/1/0/46710
Bacillus	subtilis	J-5	NZ_CP018295.1	1404333	1492169	transat-pks	False	macrolactin H	100	BGC0000181	https://antismash-db.secondarymetabolites.org/go/NZ_CP018295.1/1404333-1492169	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001889385.1/NZ_CP018295/1/1404333/1492169
Bacillus	subtilis	J-5	NZ_CP018295.1	1756228	1865306	t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP018295.1/1756228-1865306	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001889385.1/NZ_CP018295/1/1756228/1865306
