#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	purpureus	KA281	NZ_KB913030.1	3008394	3030042	bacteriocin - bottromycin hybrid	False	bottromycin A2	39	BGC0000469	https://antismash-db.secondarymetabolites.org/go/NZ_KB913030.1/3008394-3030042	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000384175.1/NZ_KB913030/1/3008394/3030042
Streptomyces	scabiei	NCPPB 4066	NZ_KL997519.1	138063	160697	bacteriocin - bottromycin hybrid	False	bottromycin A2	54	BGC0000469	https://antismash-db.secondarymetabolites.org/go/NZ_KL997519.1/138063-160697	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000738715.1/NZ_KL997519/1/138063/160697
Streptomyces	echinatus	CECT 3313	NZ_JACHJK010000019.1	68521	89295	bottromycin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACHJK010000019.1/68521-89295	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014203595.1/NZ_JACHJK010000019/1/68521/89295
Bradyrhizobium	macuxiense	BR 10355	NZ_VITY01000006.1	430647	451430	bottromycin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VITY01000006.1/430647-451430	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007993935.1/NZ_VITY01000006/1/430647/451430
Streptomyces	scabiei	87.22	NC_013929.1	6301272	6323906	bacteriocin - bottromycin hybrid	False	bottromycin A2	54	BGC0000469	https://antismash-db.secondarymetabolites.org/go/NC_013929.1/6301272-6323906	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000091305.1/NC_013929/1/6301272/6323906
Actinomadura	verrucosospora	NRRL:B18236	NZ_CP053892.1	9287022	9316603	bottromycin - ectoine hybrid	False	ectoine	100	BGC0000853	https://antismash-db.secondarymetabolites.org/go/NZ_CP053892.1/9287022-9316603	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013211575.1/NZ_CP053892/1/9287022/9316603
Neomicrococcus	aestuarii	B18	NZ_CP018135.1	2251168	2271945	bottromycin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP018135.1/2251168-2271945	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001887245.1/NZ_CP018135/1/2251168/2271945
Streptomyces	bottropensis	ATCC 25435	NZ_KB911581.1	7790595	7813209	bacteriocin - bottromycin hybrid	False	bottromycin A2	54	BGC0000469	https://antismash-db.secondarymetabolites.org/go/NZ_KB911581.1/7790595-7813209	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000383595.1/NZ_KB911581/1/7790595/7813209
Micromonospora	Unclassified	NEAU-HG-1	NZ_JAAALO010000001.1	810907	919842	bacteriocin - bottromycin - t1nrps - t1pks - transat-pks - transat-pks-like hybrid	False	kirromycin	32	BGC0001070	https://antismash-db.secondarymetabolites.org/go/NZ_JAAALO010000001.1/810907-919842	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009908295.1/NZ_JAAALO010000001/1/810907/919842
Glutamicibacter	Unclassified	BW78	NZ_NRGU01000039.1	31465	52242	bottromycin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NRGU01000039.1/31465-52242	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002332245.1/NZ_NRGU01000039/1/31465/52242
