#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Bacillus	velezensis	P34	NZ_CP040378.1	911189	952434	pks-like	False	butirosin A / butirosin B	7	BGC0000693	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/911189-952434	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/911189/952434
Streptomyces	aidingensis	CGMCC 4.5739	NZ_FOLM01000012.1	85304	170282	lap - pks-like - t1pks hybrid	False	neocarzilin A / neocarzilin B	50	BGC0000111	https://antismash-db.secondarymetabolites.org/go/NZ_FOLM01000012.1/85304-170282	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112355.1/NZ_FOLM01000012/1/85304/170282
Sorangium	cellulosum	So ce 56	NC_010162.1	4348262	4481226	pks-like - t3pks - transat-pks hybrid	False	etnangien	100	BGC0000179	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/4348262-4481226	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/4348262/4481226
Bacillus	subtilis	J-5	NZ_CP018295.1	941944	983189	pks-like	False	butirosin A / butirosin B	7	BGC0000693	https://antismash-db.secondarymetabolites.org/go/NZ_CP018295.1/941944-983189	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001889385.1/NZ_CP018295/1/941944/983189
Bacillus	velezensis	P34	NZ_JAAHBR010000003.1	65376	106621	pks-like	False	butirosin A / butirosin B	7	BGC0000693	https://antismash-db.secondarymetabolites.org/go/NZ_JAAHBR010000003.1/65376-106621	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010671715.1/NZ_JAAHBR010000003/1/65376/106621
Bacillus	subtilis	KCTC 13429	NZ_CP029465.1	1884764	1988614	pks-like - t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP029465.1/1884764-1988614	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003148415.1/NZ_CP029465/1/1884764/1988614
Bacillus	atrophaeus	B4144_201601	NZ_LQYR01000008.1	633183	748686	pks-like - t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_LQYR01000008.1/633183-748686	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001587405.1/NZ_LQYR01000008/1/633183/748686
Chromobacterium	Unclassified	ATCC 53434	NZ_CP025429.1	3601745	3674647	nrps-like - pks-like - transat-pks hybrid	False	ripostatin A / ripostatin B / ripostatin C	66	BGC0001761	https://antismash-db.secondarymetabolites.org/go/NZ_CP025429.1/3601745-3674647	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002848345.1/NZ_CP025429/1/3601745/3674647
Paenibacillus	polymyxa	YC0573	NZ_CP017968.3	3880451	3982194	pks-like - t1nrps - t3pks - transat-pks hybrid	False	aurantinin B / aurantinin C / aurantinin D	35	BGC0001520	https://antismash-db.secondarymetabolites.org/go/NZ_CP017968.3/3880451-3982194	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001874425.3/NZ_CP017968/3/3880451/3982194
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6187412	6259901	oligosaccharide - pks-like - t2pks hybrid	False	cytorhodin	82	BGC0001568	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6187412-6259901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6187412/6259901
Burkholderia	pseudomallei	MSHR346	NZ_ACOJ01000001.1	619479	719293	pks-like - t1nrps - transat-pks - transat-pks-like hybrid	False	thailandamide / thailandamide lactone	63	BGC0000186	https://antismash-db.secondarymetabolites.org/go/NZ_ACOJ01000001.1/619479-719293	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000182585.2/NZ_ACOJ01000001/1/619479/719293
Burkholderia	gladioli	BCC1732	NZ_CADEVO010000012.1	294982	339735	pks-like - t3pks - transat-pks hybrid	True	macrobrevin	46	BGC0001470	https://antismash-db.secondarymetabolites.org/go/NZ_CADEVO010000012.1/294982-339735	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902830885.1/NZ_CADEVO010000012/1/294982/339735
