#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Vibrio	cholerae	N2807	NZ_VSHR01000014.1	147069	157486	ectoine	False	ectoine	66	BGC0000854	https://antismash-db.secondarymetabolites.org/go/NZ_VSHR01000014.1/147069-157486	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083785.1/NZ_VSHR01000014/1/147069/157486
Unclassified	bacterium	None	NZ_UBWN01000049.1	65187	75574	ectoine	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000049.1/65187-75574	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000049/1/65187/75574
Roseivivax	pacificus	DSM 29329	NZ_QBKN01000013.1	21496	31895	ectoine	False	ectoine	100	BGC0000860	https://antismash-db.secondarymetabolites.org/go/NZ_QBKN01000013.1/21496-31895	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003054175.1/NZ_QBKN01000013/1/21496/31895
Pseudomonas	fluorescens	PA3G8	NZ_KN639174.1	3214001	3224388	ectoine	False	malleobactin A / malleobactin B / malleobactin C / malleobactin D	7	BGC0000386	https://antismash-db.secondarymetabolites.org/go/NZ_KN639174.1/3214001-3224388	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000800625.1/NZ_KN639174/1/3214001/3224388
Vibrio	parahaemolyticus	RM-13-3	NZ_LFWO01000023.1	157542	167929	ectoine	False	ectoine	66	BGC0000854	https://antismash-db.secondarymetabolites.org/go/NZ_LFWO01000023.1/157542-167929	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001267965.1/NZ_LFWO01000023/1/157542/167929
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802333.1	61781	72156	ectoine	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV802333.1/61781-72156	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802333/1/61781/72156
Halomonas	Unclassified	SH5A2	NZ_CP058321.1	1890689	1901082	ectoine	False	ectoine	60	BGC0000857	https://antismash-db.secondarymetabolites.org/go/NZ_CP058321.1/1890689-1901082	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014263395.1/NZ_CP058321/1/1890689/1901082
Williamsia	limnetica	DSM 45521	NZ_QJSP01000014.1	112950	123349	ectoine	False	ectoine	75	BGC0000853	https://antismash-db.secondarymetabolites.org/go/NZ_QJSP01000014.1/112950-123349	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003217475.1/NZ_QJSP01000014/1/112950/123349
Paenibacillus	lautus	BHU3	NZ_NXFP01000009.1	46748	57141	ectoine	False	ectoine	75	BGC0000853	https://antismash-db.secondarymetabolites.org/go/NZ_NXFP01000009.1/46748-57141	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002407025.1/NZ_NXFP01000009/1/46748/57141
Rhizobium	leguminosarum	CC278f	NZ_KI912098.1	67375	77762	ectoine	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI912098.1/67375-77762	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912098/1/67375/77762
Rhizobium	leguminosarum	CC278f	NZ_KI912100.1	2657712	2668099	ectoine	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI912100.1/2657712-2668099	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912100/1/2657712/2668099
