#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Klebsiella	aerogenes	HNHF1	NZ_CP047669.1	147929	190488	ladderane	False	12-epi-hapalindole C isonitrile / 12-epi-hapalindole E / 12-epi-fischerindole U isonitrile / fischerindole L / 12-epi-fischerindole I isonitrile / welwitindolinone A isonitrile / welwitindolinone B isothiocyanate / welwitindolinone C isothiocyanate / N-methylwelwitindolinone C isothiocyanate / N-methylwelwitinsolinone C isonitrile / 3-epi-welwitindolinone B isothiocyanate / 3-(Z-2'-isocyanoethenyl)-indole	6	BGC0000668	https://antismash-db.secondarymetabolites.org/go/NZ_CP047669.1/147929-190488	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009909445.1/NZ_CP047669/1/147929/190488
Proteus	mirabilis	N18-00201	NZ_CP048404.1	3521335	3563897	ladderane	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP048404.1/3521335-3563897	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010442675.1/NZ_CP048404/1/3521335/3563897
Erwinia	endophytica	A41C3	NZ_RQVV01000022.1	35472	78034	ladderane	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_RQVV01000022.1/35472-78034	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009295515.1/NZ_RQVV01000022/1/35472/78034
Sorangium	cellulosum	So ce 56	NC_010162.1	4668185	4710249	ladderane	False	FR901228	9	BGC0000993	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/4668185-4710249	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/4668185/4710249
Pseudomonas	Unclassified	NFACC39-1	NZ_FODL01000003.1	104378	145590	hserlactone - ladderane hybrid	False	cepacin A	12	BGC0001897	https://antismash-db.secondarymetabolites.org/go/NZ_FODL01000003.1/104378-145590	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110355.1/NZ_FODL01000003/1/104378/145590
Serratia	Unclassified	MYb239	NZ_CP023268.1	2381650	2424209	ladderane	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023268.1/2381650-2424209	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002966855.1/NZ_CP023268/1/2381650/2424209
Klebsiella	oxytoca	2880STDY5682786	NZ_FLAI01000001.1	748548	788617	ladderane	True	12-epi-hapalindole C isonitrile / 12-epi-hapalindole E / 12-epi-fischerindole U isonitrile / fischerindole L / 12-epi-fischerindole I isonitrile / welwitindolinone A isonitrile / welwitindolinone B isothiocyanate / welwitindolinone C isothiocyanate / N-methylwelwitindolinone C isothiocyanate / N-methylwelwitinsolinone C isonitrile / 3-epi-welwitindolinone B isothiocyanate / 3-(Z-2'-isocyanoethenyl)-indole	6	BGC0000668	https://antismash-db.secondarymetabolites.org/go/NZ_FLAI01000001.1/748548-788617	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900084045.1/NZ_FLAI01000001/1/748548/788617
Klebsiella	grimontii	None	NZ_CABGGT010000016.1	346203	388765	ladderane	False	12-epi-hapalindole C isonitrile / 12-epi-hapalindole E / 12-epi-fischerindole U isonitrile / fischerindole L / 12-epi-fischerindole I isonitrile / welwitindolinone A isonitrile / welwitindolinone B isothiocyanate / welwitindolinone C isothiocyanate / N-methylwelwitindolinone C isothiocyanate / N-methylwelwitinsolinone C isonitrile / 3-epi-welwitindolinone B isothiocyanate / 3-(Z-2'-isocyanoethenyl)-indole	6	BGC0000668	https://antismash-db.secondarymetabolites.org/go/NZ_CABGGT010000016.1/346203-388765	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902158635.1/NZ_CABGGT010000016/1/346203/388765
Bacillus	cereus	FORC087	NZ_NTYC01000025.1	0	47547	ladderane	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NTYC01000025.1/0-47547	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002558475.1/NZ_NTYC01000025/1/0/47547
Bacillus	thuringiensis	IBL 200	NZ_CM000758.1	6328470	6370927	ladderane	False	S-layer glycan	26	BGC0000794	https://antismash-db.secondarymetabolites.org/go/NZ_CM000758.1/6328470-6370927	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000161715.1/NZ_CM000758/1/6328470/6370927
