#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Phaeobacter	piscinae	S26	NZ_JSWK01000002.1	105671	144166	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_JSWK01000002.1/105671-144166	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000826835.1/NZ_JSWK01000002/1/105671/144166
Phaeobacter	gallaeciensis	P11	NZ_CP010589.1	79181	117679	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010589.1/79181-117679	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002381305.1/NZ_CP010589/1/79181/117679
Thauera	aromatica	K172	NZ_CP028339.1	1167074	1188919	naggn - tropodithietic-acid hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP028339.1/1167074-1188919	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003030465.1/NZ_CP028339/1/1167074/1188919
Acinetobacter	calcoaceticus	ANC 3680	NZ_KB849752.1	1698973	1719618	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KB849752.1/1698973-1719618	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000368945.1/NZ_KB849752/1/1698973/1719618
Phaeobacter	piscinae	S26	NZ_CP010768.1	78677	117173	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010768.1/78677-117173	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002412045.1/NZ_CP010768/1/78677/117173
Phaeobacter	piscinae	S26	NZ_CP010657.1	78684	117181	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010657.1/78684-117181	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002891905.1/NZ_CP010657/1/78684/117181
Janthinobacterium	Unclassified	SLB01	NZ_VZAB01000002.1	1777547	1813262	bacteriocin - tropodithietic-acid hybrid	False	tropodithietic acid	36	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_VZAB01000002.1/1777547-1813262	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008757015.1/NZ_VZAB01000002/1/1777547/1813262
Phaeobacter	piscinae	S26	NZ_CP010806.1	78688	117185	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010806.1/78688-117185	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002888715.1/NZ_CP010806/1/78688/117185
Phaeobacter	Unclassified	S60	NZ_JSWJ01000028.1	105501	143999	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_JSWJ01000028.1/105501-143999	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000826845.1/NZ_JSWJ01000028/1/105501/143999
Halomonas	nigrificans	MBT G8648	NZ_NWUX01000016.1	48308	70351	tropodithietic-acid	False	ravidomycin	5	BGC0000263	https://antismash-db.secondarymetabolites.org/go/NZ_NWUX01000016.1/48308-70351	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002374315.1/NZ_NWUX01000016/1/48308/70351
Phaeobacter	piscinae	S26	NZ_CP010717.1	80091	118587	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010717.1/80091-118587	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002891925.1/NZ_CP010717/1/80091/118587
Acinetobacter	indicus	TQ04	NZ_CP045129.1	1777690	1819255	tropodithietic-acid	False	ravidomycin	5	BGC0000263	https://antismash-db.secondarymetabolites.org/go/NZ_CP045129.1/1777690-1819255	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009914415.1/NZ_CP045129/1/1777690/1819255
Phaeobacter	inhibens	P30	NZ_CP010618.1	79138	117650	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010618.1/79138-117650	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002892205.1/NZ_CP010618/1/79138/117650
Phaeobacter	inhibens	DSM 17395	NC_018291.1	78771	117284	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NC_018291.1/78771-117284	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000154765.2/NC_018291/1/78771/117284
Janthinobacterium	lividum	EIF1	NZ_CP048832.1	4335834	4371389	bacteriocin - tropodithietic-acid hybrid	False	tropodithietic acid	36	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP048832.1/4335834-4371389	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013372045.1/NZ_CP048832/1/4335834/4371389
Phaeobacter	gallaeciensis	P11	NZ_CP021048.1	79216	117714	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP021048.1/79216-117714	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002381365.1/NZ_CP021048/1/79216/117714
Marinobacterium	jannaschii	DSM 6295	NZ_JHVJ01000007.1	77880	98522	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JHVJ01000007.1/77880-98522	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000620085.1/NZ_JHVJ01000007/1/77880/98522
Acinetobacter	pittii	WCHAP100010	NZ_AP021936.1	2415480	2436125	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP021936.1/2415480-2436125	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014168695.1/NZ_AP021936/1/2415480/2436125
Acinetobacter	pittii	WCHAP100010	NZ_SGTC01000001.1	464433	485078	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SGTC01000001.1/464433-485078	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004296295.1/NZ_SGTC01000001/1/464433/485078
Roseobacter	Unclassified	MED193	NZ_CH902583.1	2977304	3012691	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CH902583.1/2977304-3012691	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000152965.1/NZ_CH902583/1/2977304/3012691
Phaeobacter	piscinae	S26	NZ_CP010682.1	78638	117136	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010682.1/78638-117136	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002407245.1/NZ_CP010682/1/78638/117136
Phaeobacter	inhibens	P30	NZ_CP010669.1	79946	118458	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010669.1/79946-118458	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002892005.1/NZ_CP010669/1/79946/118458
Janthinobacterium	lividum	EIF1	NZ_CP049828.1	4365356	4400919	bacteriocin - tropodithietic-acid hybrid	False	tropodithietic acid	36	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP049828.1/4365356-4400919	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013372065.1/NZ_CP049828/1/4365356/4400919
Caulobacter	Unclassified	Ji-3-8	NZ_CP049200.1	35609	78714	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP049200.1/35609-78714	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011045195.1/NZ_CP049200/1/35609/78714
Acinetobacter	indicus	TQ04	NZ_JAAZRO010000002.1	212906	234037	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JAAZRO010000002.1/212906-234037	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_012371115.1/NZ_JAAZRO010000002/1/212906/234037
Phaeobacter	inhibens	P30	NZ_CP010706.1	79942	118454	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010706.1/79942-118454	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002892065.1/NZ_CP010706/1/79942/118454
Phaeobacter	inhibens	P30	NZ_CP010651.1	79933	118444	tropodithietic-acid	False	tropodithietic acid	100	BGC0000932	https://antismash-db.secondarymetabolites.org/go/NZ_CP010651.1/79933-118444	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002892185.1/NZ_CP010651/1/79933/118444
Acinetobacter	pittii	WCHAP100010	NZ_SGTH01000001.1	1229882	1250527	tropodithietic-acid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SGTH01000001.1/1229882-1250527	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004209305.1/NZ_SGTH01000001/1/1229882/1250527
