#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6187412	6259901	oligosaccharide - pks-like - t2pks hybrid	False	cytorhodin	82	BGC0001568	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6187412-6259901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6187412/6259901
Streptomyces	davaonensis	JCM 4913	NC_020504.1	2613656	2670880	bacteriocin - lap - oligosaccharide hybrid	False	landomycin A	9	BGC0000239	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/2613656-2670880	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/2613656/2670880
Terriglobus	saanensis	SP1PR4	NC_014963.1	1321951	1346091	oligosaccharide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_014963.1/1321951-1346091	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000179915.2/NC_014963/1/1321951/1346091
Pseudonocardia	autotrophica	NBRC 12743	NZ_AP018920.1	121153	158956	oligosaccharide	False	phosphonoglycans	7	BGC0000806	https://antismash-db.secondarymetabolites.org/go/NZ_AP018920.1/121153-158956	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003945385.1/NZ_AP018920/1/121153/158956
Streptomyces	collinus	Tu 365	NC_021985.1	3040813	3123634	oligosaccharide - pks-like - t1nrps - t2pks - thiopeptide hybrid	False	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	29	BGC0000262	https://antismash-db.secondarymetabolites.org/go/NC_021985.1/3040813-3123634	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000444875.1/NC_021985/1/3040813/3123634
Nonomuraea	indica	DRQ-2	NZ_KZ559473.1	334953	387704	lipolanthine - oligosaccharide - other hybrid	True	cinerubin B	22	BGC0000212	https://antismash-db.secondarymetabolites.org/go/NZ_KZ559473.1/334953-387704	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002850745.1/NZ_KZ559473/1/334953/387704
Chitinophaga	Unclassified	MD30	NZ_CP023254.1	5191327	5208408	oligosaccharide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023254.1/5191327-5208408	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002290065.1/NZ_CP023254/1/5191327/5208408
Chitinophaga	Unclassified	MD30	NZ_CP023254.1	7252867	7277109	oligosaccharide	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023254.1/7252867-7277109	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002290065.1/NZ_CP023254/1/7252867/7277109
Lentzea	guizhouensis	DHS C013	NZ_CP016793.1	4054120	4105403	oligosaccharide	False	LL-D49194α1 (LLD)	3	BGC0001979	https://antismash-db.secondarymetabolites.org/go/NZ_CP016793.1/4054120-4105403	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001701025.1/NZ_CP016793/1/4054120/4105403
Sinosporangium	album	CPCC 201354	NZ_FNCN01000027.1	29001	76018	oligosaccharide - other hybrid	True	komodoquinone B	17	BGC0001852	https://antismash-db.secondarymetabolites.org/go/NZ_FNCN01000027.1/29001-76018	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900100605.1/NZ_FNCN01000027/1/29001/76018
Actinoplanes	teichomyceticus	ATCC 31121	NZ_CP023865.1	5783791	5850128	oligosaccharide - t1pks hybrid	False	maduropeptin	32	BGC0001008	https://antismash-db.secondarymetabolites.org/go/NZ_CP023865.1/5783791-5850128	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003711105.1/NZ_CP023865/1/5783791/5850128
