#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	Unclassified	CCM_MD2014	NZ_CP009754.1	5704771	5715347	melanin	False	istamycin	4	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP009754.1/5704771-5715347	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000772045.1/NZ_CP009754/1/5704771/5715347
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	4814941	4824146	melanin	False	istamycin	8	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/4814941-4824146	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/4814941/4824146
Streptomyces	cinereoruber	ATCC 19740	NZ_CP023693.1	6802712	6813102	melanin	False	melanin	28	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_CP023693.1/6802712-6813102	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009299385.1/NZ_CP023693/1/6802712/6813102
Streptomyces	platensis	ATCC 23948	NZ_CP023691.1	1002357	1144832	melanin - t1nrps - t1pks hybrid	False	lydicamycin	96	BGC0001477	https://antismash-db.secondarymetabolites.org/go/NZ_CP023691.1/1002357-1144832	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704855.1/NZ_CP023691/1/1002357/1144832
Streptomyces	davaonensis	JCM 4913	NC_020504.1	6186976	6239029	melanin - t1nrps hybrid	False	istamycin	5	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/6186976-6239029	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/6186976/6239029
Streptomyces	davaonensis	JCM 4913	NC_020504.1	9217880	9239553	melanin - terpene hybrid	False	melanin	57	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NC_020504.1/9217880-9239553	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000349325.1/NC_020504/1/9217880/9239553
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	886521	905007	melanin - terpene hybrid	False	melanin	71	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/886521-905007	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/886521/905007
Streptomyces	cacaoi	H2S5	NZ_CP049838.1	3798392	3808875	melanin	False	lactonamycin	8	BGC0000238	https://antismash-db.secondarymetabolites.org/go/NZ_CP049838.1/3798392-3808875	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013085465.1/NZ_CP049838/1/3798392/3808875
Streptomyces	griseoruber	DSM 40281	NZ_KQ948769.1	309845	320349	melanin	False	lactonamycin	8	BGC0000238	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948769.1/309845-320349	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514205.1/NZ_KQ948769/1/309845/320349
Streptomyces	griseoruber	DSM 40281	NZ_KQ948771.1	325707	347386	melanin - terpene hybrid	False	melanin	71	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948771.1/325707-347386	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514205.1/NZ_KQ948771/1/325707/347386
Streptomyces	acidiscabies	NCPPB 4445	NZ_KQ257817.1	16640	27054	melanin	False	istamycin	4	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_KQ257817.1/16640-27054	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001189015.1/NZ_KQ257817/1/16640/27054
Streptomyces	fradiae	ATCC 10745	NZ_CP023696.1	3703325	3713937	melanin	False	istamycin	11	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP023696.1/3703325-3713937	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704425.1/NZ_CP023696/1/3703325/3713937
Streptomyces	aureoverticillatus	HN6	NZ_CP048641.1	4566767	4574094	melanin	False	istamycin	5	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP048641.1/4566767-4574094	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010669165.1/NZ_CP048641/1/4566767/4574094
Streptomyces	aureoverticillatus	HN6	NZ_CP048641.1	5695214	5705622	melanin	False	melanin	28	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_CP048641.1/5695214-5705622	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010669165.1/NZ_CP048641/1/5695214/5705622
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	581258	601608	melanin - terpene hybrid	False	melanin	57	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/581258-601608	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/581258/601608
Streptomyces	lincolnensis	NRRL 2936	NZ_CP016438.1	3706521	3716998	melanin	False	istamycin	5	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP016438.1/3706521-3716998	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001685355.1/NZ_CP016438/1/3706521/3716998
Streptomyces	fungicidicus	TXX3120	NZ_CP023407.1	2746365	2756815	melanin	False	istamycin	4	BGC0000700	https://antismash-db.secondarymetabolites.org/go/NZ_CP023407.1/2746365-2756815	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003665435.1/NZ_CP023407/1/2746365/2756815
Streptomyces	mirabilis	OV308	NZ_KN050739.1	275446	285791	melanin	False	melanin	71	BGC0000908	https://antismash-db.secondarymetabolites.org/go/NZ_KN050739.1/275446-285791	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000745715.1/NZ_KN050739/1/275446/285791
