#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Colwellia	Unclassified	MT41	NZ_CP013145.1	1648007	1705404	hgle-ks - pufa - t1pks hybrid	False	eicosapentaenoic acid-like compound	18	BGC0000864	https://antismash-db.secondarymetabolites.org/go/NZ_CP013145.1/1648007-1705404	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001444365.1/NZ_CP013145/1/1648007/1705404
Xenorhabdus	bovienii	CS03	NZ_FO818637.1	2904841	2956185	hgle-ks - pufa hybrid	False	fabclavine-polyamine	90	BGC0001872	https://antismash-db.secondarymetabolites.org/go/NZ_FO818637.1/2904841-2956185	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000973125.1/NZ_FO818637/1/2904841/2956185
Xenorhabdus	bovienii	SS-2004	NC_013892.1	2884661	2935996	hgle-ks - pufa hybrid	False	fabclavine-polyamine	100	BGC0001872	https://antismash-db.secondarymetabolites.org/go/NC_013892.1/2884661-2935996	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000027225.1/NC_013892/1/2884661/2935996
Shewanella	baltica	OS183	NZ_CM001435.1	1574899	1631277	hgle-ks - pufa hybrid	False	eicosapentaenoic acid	100	BGC0000861	https://antismash-db.secondarymetabolites.org/go/NZ_CM001435.1/1574899-1631277	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000179535.2/NZ_CM001435/1/1574899/1631277
Shewanella	violacea	DSS12	NC_014012.1	1377019	1433334	hgle-ks - pufa hybrid	False	eicosapentaenoic acid	66	BGC0000862	https://antismash-db.secondarymetabolites.org/go/NC_014012.1/1377019-1433334	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000091325.1/NC_014012/1/1377019/1433334
Vibrio	Unclassified	Scap24	NZ_CP041332.1	2764751	2820628	hgle-ks - pufa hybrid	False	eicoseicosapentaenoic acid	26	BGC0000865	https://antismash-db.secondarymetabolites.org/go/NZ_CP041332.1/2764751-2820628	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013394185.1/NZ_CP041332/1/2764751/2820628
Shewanella	colwelliana	CSB03KR	NZ_MCBT01000018.1	198860	254512	hgle-ks - pufa hybrid	False	eicosapentaenoic acid	55	BGC0000862	https://antismash-db.secondarymetabolites.org/go/NZ_MCBT01000018.1/198860-254512	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001735525.1/NZ_MCBT01000018/1/198860/254512
Unclassified	Unclassified	None	NZ_CACSII010000006.1	104469	152075	hgle-ks - pufa hybrid	True	eicosapentaenoic acid-like compound	18	BGC0000864	https://antismash-db.secondarymetabolites.org/go/NZ_CACSII010000006.1/104469-152075	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902705845.1/NZ_CACSII010000006/1/104469/152075
Parashewanella	spongiae	HJ039	NZ_CP037952.1	1654761	1716903	bacteriocin - hgle-ks - pufa hybrid	False	eicosapentaenoic acid	66	BGC0000861	https://antismash-db.secondarymetabolites.org/go/NZ_CP037952.1/1654761-1716903	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004358345.1/NZ_CP037952/1/1654761/1716903
Shewanella	polaris	SM1901	NZ_CP041036.1	3104176	3160101	hgle-ks - pufa hybrid	False	eicosapentaenoic acid	83	BGC0000861	https://antismash-db.secondarymetabolites.org/go/NZ_CP041036.1/3104176-3160101	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006385555.1/NZ_CP041036/1/3104176/3160101
