#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Pantoea	agglomerans	T5	NZ_CP048033.1	256167	276109	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP048033.1/256167-276109	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010523255.1/NZ_CP048033/1/256167/276109
Pantoea	agglomerans	T5	NZ_CP048033.1	3403073	3423712	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP048033.1/3403073-3423712	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010523255.1/NZ_CP048033/1/3403073/3423712
Unclassified	bacterium	None	NZ_UBWN01000017.1	271654	292299	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000017.1/271654-292299	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000017/1/271654/292299
Unclassified	bacterium	None	NZ_UBWN01000025.1	59979	80705	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000025.1/59979-80705	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000025/1/59979/80705
Unclassified	bacterium	None	NZ_UBZG01000002.1	73705	128092	hserlactone - phosphonate hybrid	False	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	33	BGC0001587	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000002.1/73705-128092	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000002/1/73705/128092
Rhizobium	Unclassified	YS-1r	NZ_JPYQ01000012.1	118726	139410	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JPYQ01000012.1/118726-139410	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000757525.1/NZ_JPYQ01000012/1/118726/139410
Unclassified	bacterium	None	NZ_UBZG01000027.1	0	13880	hserlactone	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000027.1/0-13880	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000027/1/0/13880
Unclassified	bacterium	None	NZ_UBZG01000068.1	0	15842	hserlactone	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000068.1/0-15842	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000068/1/0/15842
Yersinia	enterocolitica	YE228/02	NZ_CTRG01000005.1	173132	193777	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CTRG01000005.1/173132-193777	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001223065.1/NZ_CTRG01000005/1/173132/193777
Roseivivax	pacificus	DSM 29329	NZ_QBKN01000001.1	223211	243850	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QBKN01000001.1/223211-243850	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003054175.1/NZ_QBKN01000001/1/223211/243850
Pantoea	agglomerans	T5	NZ_WSSY01000006.1	1260161	1320002	arylpolyene - hserlactone hybrid	False	aryl polyenes	94	BGC0002008	https://antismash-db.secondarymetabolites.org/go/NZ_WSSY01000006.1/1260161-1320002	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010667865.1/NZ_WSSY01000006/1/1260161/1320002
Pantoea	agglomerans	T5	NZ_WSSY01000008.1	296791	317430	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WSSY01000008.1/296791-317430	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010667865.1/NZ_WSSY01000008/1/296791/317430
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	1301293	1321116	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/1301293-1321116	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/1301293/1321116
Pseudomonas	aeruginosa	NCTC11445	NZ_LR134308.1	3830247	3850853	hserlactone	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR134308.1/3830247-3850853	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900636735.1/NZ_LR134308/1/3830247/3850853
Glaciimonas	Unclassified	GS1	NZ_WINI01000004.1	204389	224959	hserlactone	False	obafluorin	14	BGC0001437	https://antismash-db.secondarymetabolites.org/go/NZ_WINI01000004.1/204389-224959	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009497155.1/NZ_WINI01000004/1/204389/224959
