#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Unclassified	bacterium	None	NZ_UBWN01000016.1	89699	111614	tfua-related	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000016.1/89699-111614	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000016/1/89699/111614
Unclassified	bacterium	None	NZ_UBWN01000035.1	15693	33231	tfua-related	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBWN01000035.1/15693-33231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469275.1/NZ_UBWN01000035/1/15693/33231
Legionella	pneumophila	Allentown 1 (D-7475)	NZ_CP021285.1	49372	67142	tfua-related	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021285.1/49372-67142	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003004295.1/NZ_CP021285/1/49372/67142
Unclassified	bacterium	None	NZ_UBZG01000064.1	39172	53798	tfua-related	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000064.1/39172-53798	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000064/1/39172/53798
Rhizobium	Unclassified	YS-1r	NZ_JPYQ01000013.1	192864	242532	t1pks - tfua-related hybrid	False	hygromycin A	6	BGC0000699	https://antismash-db.secondarymetabolites.org/go/NZ_JPYQ01000013.1/192864-242532	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000757525.1/NZ_JPYQ01000013/1/192864/242532
Unclassified	bacterium	None	NZ_UBZG01000015.1	6667	28559	tfua-related	False	exopolysaccharide	9	BGC0000762	https://antismash-db.secondarymetabolites.org/go/NZ_UBZG01000015.1/6667-28559	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900469875.1/NZ_UBZG01000015/1/6667/28559
Rhizobium	leguminosarum	CC278f	NZ_KI912100.1	2037711	2058011	tfua-related	False	exopolysaccharide	33	BGC0000762	https://antismash-db.secondarymetabolites.org/go/NZ_KI912100.1/2037711-2058011	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912100/1/2037711/2058011
Rhizobium	leguminosarum	CC278f	NZ_KI912100.1	4984192	5006161	tfua-related	False	colanic acid	9	BGC0000799	https://antismash-db.secondarymetabolites.org/go/NZ_KI912100.1/4984192-5006161	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912100/1/4984192/5006161
Rhizobium	leguminosarum	CC278f	NZ_KI912103.1	333832	355645	tfua-related	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI912103.1/333832-355645	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912103/1/333832/355645
Rhizobium	leguminosarum	CC278f	NZ_KI912103.1	596823	618739	tfua-related	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI912103.1/596823-618739	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517045.1/NZ_KI912103/1/596823/618739
