#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Fluoribacter	dumoffii	Tex-KL	NZ_CM001371.1	418114	488287	nrps-like - transat-pks-like hybrid	False	legioliulin	50	BGC0000180	https://antismash-db.secondarymetabolites.org/go/NZ_CM001371.1/418114-488287	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000236145.1/NZ_CM001371/1/418114/488287
Bacillus	velezensis	P34	NZ_CP040378.1	1650040	1759642	t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/1650040-1759642	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/1650040/1759642
Bacillus	velezensis	P34	NZ_CP040378.1	2219677	2325857	transat-pks - transat-pks-like hybrid	False	difficidin	100	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_CP040378.1/2219677-2325857	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005696395.1/NZ_CP040378/1/2219677/2325857
Sorangium	cellulosum	So ce 56	NC_010162.1	5742336	5873706	t1nrps - t1pks - transat-pks - transat-pks-like hybrid	False	chivosazol	88	BGC0001069	https://antismash-db.secondarymetabolites.org/go/NC_010162.1/5742336-5873706	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000067165.1/NC_010162/1/5742336/5873706
Bacillus	subtilis	J-5	NZ_CP018295.1	1756228	1865306	t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP018295.1/1756228-1865306	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001889385.1/NZ_CP018295/1/1756228/1865306
Bacillus	velezensis	P34	NZ_JAAHBR010000030.1	537716	643951	transat-pks - transat-pks-like hybrid	False	difficidin	100	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_JAAHBR010000030.1/537716-643951	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010671715.1/NZ_JAAHBR010000030/1/537716/643951
Bacillus	subtilis	J-5	NZ_CP018295.1	2469316	2575495	transat-pks - transat-pks-like hybrid	False	difficidin	100	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_CP018295.1/2469316-2575495	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001889385.1/NZ_CP018295/1/2469316/2575495
Bacillus	velezensis	P34	NZ_JAAHBR010000054.1	0	93280	t1nrps - t3pks - transat-pks - transat-pks-like hybrid	True	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_JAAHBR010000054.1/0-93280	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010671715.1/NZ_JAAHBR010000054/1/0/93280
Bacillus	subtilis	KCTC 13429	NZ_CP029465.1	1884764	1988614	pks-like - t1nrps - t3pks - transat-pks - transat-pks-like hybrid	False	bacillaene	100	BGC0001089	https://antismash-db.secondarymetabolites.org/go/NZ_CP029465.1/1884764-1988614	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003148415.1/NZ_CP029465/1/1884764/1988614
Bacillus	cereus	FORC087	NZ_NINI01000002.1	0	89548	t1nrps - transat-pks-like hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NINI01000002.1/0-89548	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002201705.1/NZ_NINI01000002/1/0/89548
Bacillus	cereus	FORC087	NZ_NINI01000041.1	0	21954	t1nrps - transat-pks-like hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NINI01000041.1/0-21954	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002201705.1/NZ_NINI01000041/1/0/21954
